city,material,available_quantity,processing_capacity,imports,exports,future_availability
Chennai,textile,386.73,437.59,106.7,51.26,479.26
Chennai,paper,788.43,368.34,34.03,127.17,758.61
Salem,metal,741.94,154.61,88.54,84.26,691.83
Chennai,textile,910.97,845.13,156.54,10.63,1064.32
Tiruppur,plastic,1018.91,372.89,91.6,73.25,975.07
Erode,paper,972.53,413.89,141.84,28.15,1076.69
Coimbatore,battery,861.62,838.76,54.91,100.9,855.17
Chennai,plastic,474.01,721.02,83.56,55.19,450.85
Tiruppur,metal,241.78,646.0,144.73,8.05,414.54
Tiruppur,textile,140.32,420.76,152.05,84.85,228.28
Erode,battery,892.61,655.2,10.55,6.37,955.33
Tiruppur,metal,348.31,672.52,96.3,130.2,341.45
Chennai,plastic,223.2,939.38,82.78,110.78,125.55
Tiruppur,plastic,205.82,502.81,167.59,48.89,245.89
Coimbatore,plastic,573.39,600.32,86.76,71.72,577.27
Coimbatore,paper,552.07,670.42,95.51,53.98,530.92
Coimbatore,battery,650.0,112.07,13.69,146.08,490.4
Erode,metal,976.45,152.45,185.02,131.79,1021.82
Salem,textile,606.81,683.29,13.49,99.83,521.61
Chennai,metal,148.66,181.84,185.41,104.95,213.84
Erode,textile,100.21,312.97,179.05,6.33,233.13
Erode,paper,1195.59,272.09,69.42,75.48,1205.43
Erode,paper,878.38,926.46,87.53,32.74,1026.21
Salem,textile,1094.3,823.94,22.51,105.42,1049.95
Erode,paper,951.92,625.53,25.66,116.02,868.37
Tiruppur,plastic,423.18,950.61,63.71,71.83,372.76
Coimbatore,battery,1046.88,663.63,137.12,23.31,1182.14
Chennai,battery,202.46,797.21,60.32,140.37,165.31
Erode,textile,760.49,792.98,29.75,144.54,682.87
Coimbatore,battery,646.07,515.63,69.74,89.24,599.23
Salem,textile,854.21,740.01,19.87,129.66,814.99
Salem,metal,328.03,534.71,178.5,59.86,429.08
Coimbatore,textile,1190.44,793.39,50.0,77.71,1173.63
Tiruppur,paper,521.0,802.08,156.53,38.07,646.81
Tiruppur,plastic,627.23,644.56,116.38,75.53,701.62
Tiruppur,textile,981.24,897.95,59.98,37.56,926.81
Chennai,metal,1056.24,174.46,183.87,47.54,1181.28
Erode,battery,490.64,815.2,96.7,29.76,560.65
Tiruppur,paper,169.04,196.67,29.22,6.64,113.03
Tiruppur,textile,201.3,372.05,180.07,145.95,230.69
Tiruppur,textile,929.34,356.22,178.65,58.34,1077.22
Tiruppur,battery,850.26,248.12,153.2,145.38,930.81
Erode,battery,602.12,581.83,42.13,51.76,629.67
Tiruppur,plastic,1008.19,936.47,129.4,62.27,1045.63
Tiruppur,textile,425.79,770.38,25.13,12.04,487.58
Salem,metal,418.82,967.52,131.9,8.4,588.35
Erode,paper,928.14,993.34,135.22,12.32,1042.47
Erode,battery,1063.15,574.75,166.72,129.21,1011.85
Tiruppur,plastic,616.7,244.64,195.87,27.99,815.21
Salem,battery,468.74,675.45,34.52,67.4,461.53
Salem,paper,1100.79,849.69,66.54,119.45,1032.96
Coimbatore,textile,1161.9,573.94,67.62,57.57,1176.77
Tiruppur,plastic,332.9,578.88,101.65,106.92,313.28
Chennai,battery,904.26,695.43,54.9,19.19,1007.18
Chennai,textile,114.68,172.64,198.63,118.62,290.04
Salem,battery,274.31,964.51,37.1,78.82,211.42
Tiruppur,textile,197.41,210.63,127.72,102.95,268.66
Chennai,battery,428.72,137.98,104.3,83.95,472.02
Coimbatore,plastic,1137.64,277.4,176.32,107.15,1177.59
Tiruppur,paper,671.7,864.64,101.23,59.12,835.45
Erode,battery,825.31,669.94,28.9,92.61,751.23
Tiruppur,plastic,140.5,574.58,86.53,90.38,130.28
Coimbatore,textile,695.32,718.69,71.83,18.74,710.48
Chennai,plastic,450.89,749.62,25.22,31.56,506.77
Erode,battery,984.5,215.72,13.49,105.0,985.6
Tiruppur,metal,769.88,235.49,99.12,78.14,809.12
Chennai,metal,432.64,164.06,27.01,67.9,509.72
Erode,paper,643.56,374.35,140.7,130.27,612.13
Coimbatore,textile,266.22,687.82,38.21,85.37,191.63
Tiruppur,paper,406.08,697.36,136.5,46.5,434.19
Chennai,paper,1019.39,568.41,173.55,5.79,1179.1
Salem,textile,1098.59,797.8,95.63,114.27,1101.08
Salem,textile,1008.61,275.6,179.6,71.5,1144.46
Chennai,plastic,158.09,361.65,196.91,144.3,226.27
Chennai,paper,479.46,445.18,168.96,99.36,597.56
Tiruppur,plastic,990.59,134.53,175.45,79.35,1083.53
Coimbatore,metal,675.81,107.21,28.07,12.86,577.52
Tiruppur,paper,143.22,744.81,57.43,132.27,87.69
Salem,metal,294.64,643.23,105.69,130.73,305.42
Erode,paper,632.3,974.36,62.49,119.9,606.95
Coimbatore,plastic,1120.02,853.24,199.14,8.27,1262.35
Coimbatore,metal,993.66,356.72,55.45,119.11,922.9
Tiruppur,metal,694.4,755.75,77.42,93.84,653.86
Tiruppur,metal,679.76,676.43,59.3,17.27,708.64
Chennai,plastic,1016.51,731.16,159.92,55.89,1102.37
Coimbatore,textile,502.73,272.69,21.63,90.68,465.32
Chennai,battery,708.59,550.52,172.56,81.95,775.45
Erode,textile,826.99,588.32,54.28,88.18,727.98
Erode,paper,443.33,849.02,62.21,111.31,450.87
Coimbatore,battery,1144.11,660.08,144.28,48.22,1176.84
Salem,textile,611.32,667.4,149.51,58.81,681.87
Tiruppur,plastic,188.18,581.1,138.27,65.53,268.37
Tiruppur,paper,270.82,856.0,147.73,134.74,362.39
Coimbatore,plastic,1188.76,288.47,12.24,149.63,1093.61
Coimbatore,metal,717.26,913.63,70.83,102.19,630.87
Tiruppur,battery,390.2,899.39,169.71,73.57,491.4
Salem,plastic,1115.22,965.47,46.0,103.08,1041.32
Salem,plastic,888.94,412.56,139.4,59.07,956.44
Erode,battery,611.9,642.9,71.86,147.62,487.68
Chennai,metal,766.81,150.7,14.54,70.25,679.48
Erode,textile,919.36,676.17,32.78,75.11,791.29
Salem,metal,945.86,118.05,179.19,87.55,1060.45
Salem,paper,176.7,749.16,39.72,128.24,111.42
Erode,textile,625.41,421.76,62.71,98.21,623.7
Erode,textile,250.8,390.03,195.12,148.02,315.46
Salem,metal,1124.41,570.46,65.4,43.7,1212.01
Chennai,textile,624.13,345.06,42.19,95.02,665.81
Tiruppur,textile,133.21,892.99,58.77,90.98,109.32
Chennai,textile,842.96,409.58,62.68,149.52,776.5
Erode,battery,694.46,725.34,161.2,54.33,800.91
Tiruppur,textile,425.69,493.45,63.1,89.37,389.46
Erode,battery,849.55,227.93,131.56,12.93,913.56
Erode,metal,210.68,186.51,90.67,140.38,145.28
Chennai,paper,656.57,227.01,10.15,122.47,554.74
Erode,metal,289.95,698.75,24.95,92.54,190.05
Erode,metal,976.74,990.76,81.7,69.49,1048.21
Salem,plastic,699.79,702.72,192.66,92.39,789.87
Coimbatore,paper,66.71,172.85,119.66,140.75,111.89
Chennai,plastic,795.24,404.87,99.3,129.4,771.54
Erode,textile,434.35,123.17,74.8,121.48,389.64
Coimbatore,paper,1061.08,111.71,189.5,75.94,1217.66
Chennai,textile,78.05,623.28,114.3,36.8,240.69
Salem,plastic,50.82,943.17,41.26,38.87,13.45
Tiruppur,textile,1184.3,383.7,31.91,20.51,1228.3
Salem,battery,74.05,300.78,20.74,19.99,94.97
Tiruppur,plastic,314.41,564.35,58.16,141.38,237.65
Coimbatore,plastic,672.13,743.74,115.78,128.94,698.19
Salem,battery,261.85,493.17,84.55,63.76,291.48
Erode,plastic,288.59,915.27,169.32,73.31,374.06
Tiruppur,battery,555.43,160.52,98.29,124.01,580.26
Coimbatore,textile,65.69,372.9,142.62,119.59,106.14
Chennai,battery,205.53,613.89,87.5,100.91,181.89
Coimbatore,textile,711.06,462.05,81.18,31.53,803.81
Coimbatore,metal,1182.11,367.98,123.94,117.59,1152.31
Tiruppur,metal,1051.95,113.9,92.79,37.52,1159.84
Tiruppur,paper,528.39,772.0,27.83,79.32,465.21
Chennai,battery,1136.71,533.62,118.53,124.7,1258.83
Chennai,battery,557.76,541.55,171.27,107.38,545.15
Salem,battery,713.57,299.03,61.13,121.45,650.24
Salem,plastic,1190.91,217.32,161.25,62.24,1336.89
Chennai,battery,547.05,711.75,125.72,116.5,555.3
Coimbatore,textile,180.83,469.86,133.09,108.25,178.44
Salem,textile,422.76,979.68,17.1,69.54,392.71
Chennai,textile,723.05,423.41,100.32,57.71,799.81
Tiruppur,plastic,488.62,226.78,128.74,110.69,518.67
Chennai,textile,447.59,254.26,25.01,105.53,392.76
Coimbatore,paper,1199.7,319.66,155.03,90.04,1287.1
Salem,paper,1082.58,215.66,14.97,104.81,1021.73
Erode,battery,147.05,333.29,13.6,10.2,157.36
Erode,plastic,1109.99,781.72,149.02,107.83,1124.44
Chennai,battery,302.68,494.8,158.58,118.67,314.86
Chennai,textile,961.02,854.76,134.41,38.12,1015.49
Tiruppur,metal,364.13,288.57,96.51,136.72,272.89
Salem,plastic,878.31,718.55,28.19,138.77,680.1
Salem,textile,156.2,706.61,20.73,102.56,118.4
Tiruppur,textile,508.64,569.91,86.29,48.57,517.95
Salem,textile,287.13,324.87,73.93,90.43,308.42
Tiruppur,paper,906.92,292.21,12.03,117.6,731.22
Tiruppur,textile,1055.58,865.9,157.67,44.01,1233.08
Coimbatore,battery,1169.0,981.76,60.97,10.94,1199.59
Erode,battery,592.35,739.89,93.42,21.36,745.75
Tiruppur,paper,800.36,796.42,78.09,31.56,784.75
Salem,paper,548.48,457.05,188.23,27.2,761.02
Coimbatore,battery,323.8,838.25,49.77,39.93,351.46
Coimbatore,textile,430.89,354.25,115.48,110.91,404.84
Coimbatore,metal,608.97,382.4,36.95,36.0,624.07
Chennai,plastic,528.14,865.34,53.64,39.76,511.53
Erode,paper,723.74,978.47,111.14,136.27,791.21
Chennai,metal,1186.5,449.97,19.01,121.17,1019.61
Coimbatore,battery,542.1,277.73,129.07,104.29,580.11
Coimbatore,plastic,605.14,397.91,150.66,50.35,688.14
Chennai,plastic,962.98,990.41,139.04,147.82,952.44
Erode,battery,1123.66,880.62,54.39,117.86,1055.05
Coimbatore,textile,596.59,811.54,35.37,50.03,651.04
Chennai,metal,1056.68,473.94,86.53,10.25,1174.84
Tiruppur,textile,75.53,373.35,185.0,51.54,219.25
Erode,paper,168.62,948.72,161.06,31.28,224.2
Coimbatore,metal,492.7,462.07,158.83,144.6,497.2
Tiruppur,plastic,482.76,426.87,19.93,104.4,352.54
Chennai,textile,274.01,834.43,162.49,75.53,404.02
Tiruppur,plastic,890.09,136.29,28.01,5.98,849.28
Tiruppur,battery,129.34,996.22,64.87,26.64,66.19
Salem,plastic,849.48,208.23,53.84,55.86,862.58
Erode,textile,842.35,610.31,139.88,5.41,1040.23
Tiruppur,plastic,117.32,374.87,39.96,30.23,105.11
Erode,textile,691.48,441.52,106.24,86.61,660.01
Coimbatore,textile,1051.97,273.32,28.55,135.18,898.78
Tiruppur,metal,684.01,423.59,33.9,90.45,562.96
Erode,plastic,422.89,199.93,94.13,41.72,480.75
Erode,paper,106.53,104.78,72.33,100.76,62.56
Erode,battery,298.56,631.78,183.51,120.68,438.0
Salem,paper,1175.28,109.6,128.32,64.86,1220.01
Tiruppur,textile,148.44,265.11,154.1,8.19,321.5
Salem,battery,66.04,691.41,79.37,93.67,10.0
Chennai,textile,727.28,568.59,151.02,78.91,857.54
Tiruppur,plastic,750.12,261.37,52.89,8.65,832.27
Chennai,battery,196.7,912.97,137.73,135.14,226.52
Erode,metal,552.5,806.08,27.73,80.53,515.01
Erode,metal,288.94,118.25,101.09,79.49,326.14
Erode,paper,724.14,787.83,198.7,114.95,830.37
Chennai,metal,785.95,874.23,189.7,139.83,892.51
Chennai,plastic,908.75,871.99,104.05,23.99,944.72
Erode,textile,999.1,213.35,181.59,130.31,1079.82
Erode,textile,546.58,807.23,97.87,141.44,368.48
Tiruppur,metal,994.81,599.04,44.16,72.82,917.11
Erode,plastic,915.93,830.05,16.24,72.84,906.25
Chennai,paper,1030.3,593.56,47.49,51.0,1047.63
Chennai,plastic,660.49,146.52,40.12,122.84,561.34
Erode,textile,859.5,685.72,193.89,130.13,900.62
Chennai,plastic,597.47,720.32,125.46,83.03,556.7
Chennai,battery,625.27,244.54,74.73,51.98,635.44
Chennai,paper,1004.12,606.14,137.46,106.95,1022.85
Erode,battery,908.19,258.04,22.26,88.76,758.84
Chennai,textile,1037.13,961.15,104.82,140.07,1050.9
Erode,paper,1028.4,481.54,22.63,5.23,1152.24
Chennai,plastic,445.69,997.42,156.76,115.38,445.71
Tiruppur,battery,485.01,525.86,129.78,136.64,455.64
Chennai,metal,405.66,205.19,197.31,49.75,540.8
Chennai,textile,123.65,876.19,192.68,40.78,260.3
Chennai,paper,75.45,676.64,88.65,44.16,146.81
Tiruppur,metal,256.61,720.2,117.36,129.51,193.32
Tiruppur,metal,824.54,203.51,142.02,69.02,840.42
Tiruppur,textile,1156.51,911.34,61.37,121.51,1165.5
Chennai,textile,340.56,493.1,108.83,47.77,381.51
Erode,battery,860.65,176.68,133.52,99.78,816.58
Erode,textile,335.12,935.01,187.11,109.49,400.67
Erode,plastic,316.32,263.1,163.96,24.58,463.55
Erode,textile,1047.6,358.8,73.29,66.85,1061.1
Coimbatore,textile,844.48,808.27,32.11,57.22,867.55
Erode,plastic,263.35,686.51,145.39,104.76,253.14
Tiruppur,textile,1111.79,511.58,170.78,70.59,1174.91
Erode,textile,540.37,583.68,14.28,69.4,516.06
Tiruppur,textile,498.52,465.95,119.62,27.07,639.22
Salem,textile,378.17,960.28,149.48,100.95,416.5
Chennai,paper,640.68,822.74,80.99,61.28,669.08
Salem,textile,154.69,683.39,88.51,63.81,158.23
Salem,battery,345.54,697.74,89.68,144.98,299.01
Tiruppur,paper,608.07,587.83,184.62,135.49,580.23
Tiruppur,paper,278.45,352.64,199.87,43.86,416.77
Erode,metal,808.23,364.57,51.0,28.0,801.23
Tiruppur,plastic,590.87,886.22,154.93,79.4,652.15
Chennai,battery,216.79,763.12,124.26,100.04,232.77
Tiruppur,battery,51.56,547.38,153.03,124.37,53.4
Salem,plastic,519.22,718.72,57.47,97.84,469.17
Erode,textile,1192.14,195.48,54.28,142.81,1148.3
Salem,metal,162.36,113.5,40.61,149.42,54.03
Chennai,metal,73.46,644.04,62.63,130.04,10.0
Chennai,metal,304.72,131.32,87.76,46.93,369.73
Coimbatore,battery,747.49,643.83,167.16,66.63,872.91
Erode,paper,354.79,582.57,95.34,68.82,392.97
Salem,textile,276.5,471.48,53.28,89.66,218.31
Coimbatore,plastic,566.25,583.45,48.67,27.58,579.48
Chennai,battery,1083.64,938.01,192.59,6.9,1314.4
Erode,metal,982.34,952.45,35.83,77.16,902.13
Salem,plastic,663.78,229.45,11.76,122.18,534.32
Chennai,plastic,437.46,626.94,69.97,17.61,461.2
Salem,metal,807.03,337.43,12.29,80.25,713.65
Tiruppur,metal,1157.3,630.52,99.52,88.14,1118.26
Salem,textile,1091.87,877.19,138.07,36.12,1159.85
Erode,metal,632.0,745.5,168.26,112.69,739.57
Salem,plastic,1133.99,848.97,128.44,101.53,1208.25
Coimbatore,paper,538.38,237.67,163.22,78.99,497.52
Chennai,textile,729.37,639.43,89.56,67.62,704.82
Coimbatore,textile,644.03,554.27,38.41,20.06,606.38
Tiruppur,paper,1151.51,869.16,53.79,52.5,1173.05
Tiruppur,textile,976.91,327.89,57.3,90.61,955.67
Erode,battery,689.67,470.27,190.07,23.32,780.7
Coimbatore,textile,315.23,795.59,74.4,25.75,344.51
Erode,textile,701.41,524.58,104.21,111.17,730.73
Erode,battery,818.41,906.23,20.98,25.39,791.66
Coimbatore,paper,632.79,213.89,100.56,115.72,694.76
Salem,metal,684.98,777.54,63.58,36.73,657.2
Erode,battery,92.0,658.26,65.92,17.53,143.86
Salem,battery,322.33,664.59,67.28,145.36,210.59
Chennai,textile,664.38,857.74,120.85,13.93,790.12
Chennai,metal,1135.1,137.69,105.58,89.71,1201.22
Erode,plastic,145.07,213.55,45.23,79.24,121.5
Tiruppur,textile,120.49,573.02,104.36,25.9,193.87
Erode,battery,749.15,194.29,96.3,39.62,841.91
Coimbatore,paper,64.67,725.71,89.42,87.01,10.0
Chennai,textile,307.9,188.59,184.19,86.22,464.79
Chennai,battery,962.45,923.44,42.22,123.52,885.42
Salem,metal,58.36,154.82,91.48,62.9,125.11
Salem,metal,250.85,863.91,66.66,91.79,195.93
Tiruppur,textile,1134.86,428.58,183.39,118.18,1200.27
Salem,metal,747.73,664.11,131.22,96.16,795.9
Coimbatore,metal,72.45,847.62,37.38,146.33,10.0
Salem,plastic,895.23,199.44,173.8,126.68,943.8
Chennai,plastic,56.82,633.2,171.01,56.75,269.0
Chennai,paper,534.01,754.39,30.39,34.88,546.07
Erode,plastic,410.37,516.13,84.11,130.22,344.62
Erode,battery,948.75,937.73,56.69,88.66,952.69
Coimbatore,textile,1056.39,123.94,116.78,36.07,1112.12
Coimbatore,paper,270.84,674.51,134.37,143.34,291.61
Tiruppur,battery,681.91,710.58,125.46,62.13,772.21
Erode,paper,243.47,724.46,132.63,104.67,209.1
Tiruppur,plastic,939.69,510.05,126.26,59.16,973.36
Chennai,paper,841.47,561.32,97.15,98.14,868.03
Salem,paper,1144.53,811.7,81.05,86.61,1223.32
Erode,metal,654.16,752.42,92.85,96.36,593.02
Salem,plastic,622.85,621.58,64.47,58.21,582.89
Tiruppur,battery,110.12,328.11,24.11,20.05,57.57
Chennai,paper,607.74,375.02,108.35,60.38,695.27
Salem,textile,97.72,353.36,56.4,86.25,68.68
Coimbatore,plastic,857.78,670.68,197.08,25.05,1011.05
Erode,metal,345.36,510.51,15.7,62.6,324.57
Coimbatore,metal,403.88,200.43,169.56,149.59,427.96
Tiruppur,textile,1038.0,305.52,51.82,34.17,1031.89
Coimbatore,textile,1119.92,428.18,172.96,43.6,1310.16
Erode,textile,172.92,694.11,168.86,109.17,205.15
Tiruppur,plastic,861.31,771.28,160.99,113.42,910.28
Coimbatore,textile,208.97,459.14,196.18,37.75,313.91
Coimbatore,textile,611.06,731.95,107.51,131.46,676.61
Salem,plastic,149.19,942.91,81.86,88.58,113.74
Coimbatore,metal,1120.11,819.71,92.23,76.5,1183.59
Salem,metal,656.94,586.03,97.6,52.25,811.47
Chennai,battery,1128.43,875.94,178.93,72.84,1208.67
Tiruppur,textile,1155.04,903.7,146.64,89.82,1229.33
Tiruppur,plastic,665.39,720.65,139.06,41.58,770.39
Salem,plastic,965.3,527.57,160.73,57.18,1071.32
Coimbatore,textile,86.07,253.24,130.26,65.88,182.5
Tiruppur,textile,520.58,589.76,113.26,77.09,556.21
Erode,paper,195.06,939.38,124.94,100.63,168.94
Erode,metal,1095.33,674.14,156.14,58.44,1181.46
Tiruppur,textile,378.47,343.82,172.53,9.62,553.86
Chennai,plastic,365.0,279.89,54.05,120.7,293.06
Tiruppur,plastic,519.07,202.55,138.47,106.8,551.41
Chennai,textile,50.06,958.53,164.7,136.08,98.34
Chennai,paper,668.44,237.74,106.06,64.91,727.64
Salem,battery,515.02,245.77,143.16,139.39,458.37
Coimbatore,plastic,965.61,103.39,129.96,91.49,974.94
Chennai,battery,334.01,810.9,130.56,82.24,312.74
Salem,battery,1116.47,462.35,179.16,60.67,1199.11
Tiruppur,plastic,597.33,210.32,186.31,70.84,677.92
Salem,battery,439.44,213.83,88.75,7.15,582.61
Chennai,paper,616.4,923.4,102.95,70.29,620.89
Salem,paper,874.52,889.02,51.1,122.04,759.55
Coimbatore,paper,460.48,990.57,59.89,41.95,462.43
Coimbatore,plastic,101.46,366.8,63.23,26.17,205.16
Coimbatore,metal,829.09,782.57,52.73,16.11,805.64
Salem,textile,640.39,842.79,165.01,140.55,703.97
Tiruppur,paper,790.23,648.37,98.8,95.84,904.31
Tiruppur,textile,1057.07,821.28,189.25,19.28,1177.69
Salem,plastic,619.31,861.88,105.98,113.47,593.28
Salem,plastic,506.83,341.83,76.04,108.35,447.46
Tiruppur,plastic,1089.82,641.95,103.67,118.93,1067.72
Salem,metal,758.65,548.99,197.95,72.04,905.8
Tiruppur,battery,289.23,403.94,163.84,105.87,332.03
Erode,plastic,474.41,749.89,43.09,90.58,495.45
Chennai,paper,847.96,895.79,99.7,60.52,914.45
Tiruppur,plastic,798.88,870.66,31.35,55.42,709.6
Tiruppur,metal,139.98,809.31,168.74,28.58,299.9
Chennai,battery,678.68,738.37,19.51,15.06,720.62
Coimbatore,metal,976.42,812.22,120.46,118.21,1015.39
Chennai,metal,115.23,126.53,43.87,148.03,10.0
Tiruppur,metal,104.09,891.2,164.42,101.4,142.36
Erode,plastic,886.03,440.23,11.54,6.34,881.95
Tiruppur,paper,611.59,120.31,140.52,47.63,623.73
Coimbatore,plastic,518.25,309.05,111.61,33.83,620.32
Salem,plastic,856.97,147.38,21.27,49.27,841.5
Coimbatore,textile,59.37,291.75,127.06,59.41,162.16
Erode,plastic,943.76,356.86,170.4,67.7,1064.5
Chennai,plastic,810.9,999.55,59.98,88.53,800.71
Salem,paper,51.04,743.71,42.53,20.15,45.66
Salem,textile,101.26,973.52,146.05,51.86,134.78
Salem,plastic,565.82,663.62,37.81,32.39,552.28
Tiruppur,textile,400.61,991.16,24.41,100.96,352.02
Salem,plastic,563.59,511.88,59.15,108.76,470.47
Erode,textile,843.38,895.6,49.33,138.14,798.88
Erode,battery,139.52,436.27,140.87,102.29,158.59
Tiruppur,paper,164.69,426.99,105.26,11.29,271.18
Erode,textile,256.06,682.36,98.21,76.82,302.53
Erode,textile,159.3,955.48,196.28,84.09,267.51
Coimbatore,plastic,381.44,244.28,113.46,82.18,422.49
Tiruppur,textile,267.37,522.49,146.86,81.77,311.55
Salem,metal,614.24,969.49,168.13,46.27,710.66
Salem,paper,248.25,421.73,148.59,144.77,154.11
Salem,textile,311.49,303.13,13.98,92.6,277.33
Chennai,textile,264.74,411.35,76.11,73.01,341.87
Coimbatore,paper,173.47,231.07,16.35,73.19,179.2
Erode,plastic,172.96,554.28,142.45,90.09,284.53
Salem,plastic,844.31,580.62,82.04,54.34,910.49
Tiruppur,battery,408.08,884.62,39.62,34.93,424.66
Salem,metal,875.63,768.54,19.66,37.06,874.56
Tiruppur,battery,204.03,949.41,162.8,31.19,258.19
Salem,textile,636.74,215.06,150.41,62.55,691.54
Coimbatore,textile,444.58,317.72,85.72,7.78,459.55
Erode,metal,613.76,422.46,167.29,8.28,744.99
Tiruppur,textile,333.21,913.07,29.83,147.49,195.08
Tiruppur,textile,841.08,944.87,147.24,32.62,921.71
Tiruppur,textile,495.13,606.38,162.56,66.93,586.17
Tiruppur,battery,1193.7,960.91,170.26,104.81,1281.97
Coimbatore,battery,970.93,926.43,124.57,121.44,962.74
Chennai,plastic,818.11,184.12,106.49,28.52,949.6
Erode,textile,280.71,358.6,40.76,41.15,266.88
Coimbatore,textile,1110.06,436.04,181.4,138.03,1146.84
Tiruppur,metal,1050.96,423.25,124.05,22.12,1165.25
Coimbatore,textile,523.79,621.02,84.61,88.77,608.76
Chennai,metal,537.88,482.5,36.75,79.42,502.45
Chennai,paper,428.26,557.48,14.56,50.39,402.27
Coimbatore,metal,378.35,368.24,82.79,126.16,393.36
Tiruppur,battery,554.45,454.02,170.84,66.9,589.87
Salem,battery,661.79,828.13,158.34,36.18,797.2
Salem,battery,1098.36,551.95,193.51,141.54,1150.33
Coimbatore,plastic,794.82,479.58,37.89,74.45,808.73
Erode,battery,362.64,252.73,146.51,116.66,473.38
Erode,textile,1161.1,838.93,48.85,31.99,1163.73
Salem,paper,209.14,773.35,99.23,118.53,217.67
Chennai,textile,765.26,455.82,155.96,66.65,920.07
Salem,paper,645.33,848.64,135.28,55.63,777.0
Tiruppur,paper,446.96,195.83,103.45,116.43,496.19
Salem,paper,334.63,171.69,23.28,97.8,299.84
Coimbatore,battery,296.74,670.65,154.57,147.97,360.45
Chennai,metal,996.03,344.22,45.19,103.79,995.14
Salem,textile,521.81,195.9,182.14,10.98,826.75
Salem,textile,110.08,185.99,135.18,98.83,150.4
Coimbatore,textile,611.31,740.83,175.1,140.44,639.63
Erode,battery,1119.9,806.39,48.0,23.97,1172.81
Coimbatore,battery,899.63,662.69,197.41,82.37,1099.45
Salem,metal,339.63,799.57,191.85,106.04,382.42
Salem,metal,455.96,672.74,152.74,103.38,609.61
Chennai,textile,960.39,528.13,111.96,116.81,911.55
Salem,plastic,744.18,924.78,19.5,27.52,814.39
Tiruppur,battery,955.34,467.87,166.44,103.69,1044.15
Tiruppur,battery,57.8,139.11,181.76,81.5,182.04
Salem,textile,140.31,604.49,73.09,27.47,189.26
Tiruppur,paper,1175.07,755.55,132.31,53.59,1307.51
Erode,textile,250.77,357.45,108.2,43.19,336.13
Erode,plastic,531.13,800.71,149.54,88.31,532.79
Coimbatore,textile,299.81,742.72,80.29,45.45,344.26
Erode,paper,146.91,830.68,146.59,110.79,124.19
Erode,metal,709.27,298.22,173.82,112.7,735.62
Salem,textile,1119.43,409.18,193.06,136.99,1062.77
Salem,paper,475.6,116.5,34.25,114.36,342.2
Salem,plastic,472.2,916.91,67.88,83.77,451.99
Tiruppur,plastic,756.2,578.72,27.45,69.53,704.24
Salem,metal,593.71,709.41,176.16,113.64,641.83
Tiruppur,paper,111.98,110.96,135.65,46.96,164.16
Coimbatore,paper,590.83,612.24,186.34,81.89,642.05
Coimbatore,paper,966.73,498.57,70.51,109.87,953.57
Chennai,textile,954.67,792.94,172.92,5.03,1149.65
Salem,paper,898.24,639.75,43.74,49.04,928.16
Chennai,metal,1122.37,775.08,170.16,73.16,1134.61
Coimbatore,textile,501.61,654.43,33.6,89.03,414.29
Tiruppur,battery,749.45,298.0,101.05,102.93,833.8
Tiruppur,battery,423.9,524.0,165.56,23.07,560.46
Salem,metal,252.58,646.54,100.56,130.53,248.49
Tiruppur,plastic,473.8,148.57,154.96,107.01,509.97
Coimbatore,battery,768.29,475.15,116.44,67.25,931.61
Coimbatore,metal,911.62,942.71,122.4,6.75,1053.74
Tiruppur,textile,1182.6,890.05,180.07,100.59,1188.43
Salem,battery,1077.7,362.37,116.92,19.46,1189.27
Chennai,battery,184.09,431.01,14.83,98.2,33.92
Tiruppur,textile,579.24,913.39,87.87,81.12,464.52
Coimbatore,battery,414.22,332.34,17.17,89.56,288.79
Chennai,textile,801.9,713.09,152.91,78.02,899.7
Salem,battery,365.26,282.39,94.01,13.24,497.95
Tiruppur,metal,726.7,601.26,134.6,77.07,788.34
Tiruppur,metal,122.56,197.07,133.55,50.31,188.68
Salem,paper,1024.06,845.12,82.74,90.42,973.89
Tiruppur,metal,1167.91,655.8,196.47,53.97,1346.66
Salem,paper,672.83,707.67,130.33,72.06,652.7
Chennai,plastic,158.38,254.52,29.48,93.83,114.46
Erode,paper,73.59,324.44,179.23,109.19,198.04
Tiruppur,paper,550.02,280.69,30.44,68.82,510.55
Tiruppur,paper,609.41,662.7,167.2,103.4,665.05
Erode,textile,507.23,662.43,158.17,118.67,528.3
Chennai,plastic,1021.84,532.23,43.71,74.24,837.16
Salem,textile,346.31,429.62,92.5,24.01,332.07
Chennai,paper,982.04,845.25,88.2,80.23,992.05
Tiruppur,metal,622.87,511.87,108.59,25.29,700.71
Tiruppur,textile,328.78,265.9,22.32,115.58,322.17
Coimbatore,battery,522.56,584.73,57.58,134.2,396.29
Salem,battery,1026.5,887.23,42.41,24.75,979.27
Salem,metal,1071.94,304.21,186.56,109.03,1192.04
Erode,battery,281.68,310.77,109.04,29.95,312.15
Erode,paper,285.96,809.7,41.77,9.13,265.62
Erode,paper,1172.38,398.09,32.54,87.71,1121.96
Erode,textile,241.26,734.84,65.4,46.03,267.41
Erode,textile,349.46,116.61,113.67,107.48,328.75
Salem,paper,639.48,397.54,173.5,73.7,764.77
Salem,textile,146.42,412.34,89.62,7.45,166.74
