material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
paper,4251.96,131.66,Electric Box Truck,spring,0.42,0.69,1.95,1.31,2314.1
plastic,4816.62,252.58,Flatbed Carrier,summer,0.18,2.58,2.54,1.8,2778.63
battery,8690.99,29.66,Heavy Duty Dump,winter,5.16,0.48,1.4,2.43,3492.65
battery,5057.41,258.46,Compact Logistics Van,monsoon,4.74,4.99,5.11,5.34,4422.82
paper,2098.43,214.04,Flatbed Carrier,spring,0.54,2.85,2.23,1.98,2323.46
paper,2397.88,239.29,Electric Box Truck,summer,0.31,2.38,3.68,2.16,2491.36
textile,8261.95,133.93,Flatbed Carrier,summer,0.05,0.36,2.01,0.25,2561.16
battery,4527.03,299.46,Compact Logistics Van,monsoon,4.96,7.0,6.31,5.85,4604.72
metal,3380.63,471.2,Flatbed Carrier,spring,0.2,3.33,0.33,0.77,2319.59
paper,5023.72,529.58,Electric Box Truck,monsoon,0.18,6.69,5.55,3.89,4089.73
battery,6507.05,73.77,Flatbed Carrier,winter,4.43,0.46,0.51,2.17,3038.01
textile,7770.72,109.61,Electric Box Truck,winter,0.75,2.67,0.26,0.85,2711.13
battery,5195.62,355.3,Electric Box Truck,monsoon,3.89,5.45,6.46,5.23,4516.84
plastic,1622.03,543.58,Heavy Duty Dump,summer,0.0,4.76,2.61,2.48,2862.17
metal,8823.31,599.85,Flatbed Carrier,summer,0.74,5.17,2.39,2.62,4288.56
textile,9829.99,385.86,Electric Box Truck,monsoon,0.52,6.66,6.49,4.51,5062.34
textile,2267.87,416.09,Compact Logistics Van,winter,1.22,2.83,0.86,2.18,2689.22
textile,1542.43,415.25,Heavy Duty Dump,winter,1.07,4.73,1.07,2.33,2624.22
battery,4662.22,545.98,Compact Logistics Van,spring,5.48,4.63,0.0,3.97,4082.11
paper,2722.18,419.17,Flatbed Carrier,summer,0.41,4.07,1.26,2.0,2694.19
metal,8071.98,170.48,Compact Logistics Van,spring,0.17,1.23,1.57,0.21,2552.46
plastic,2454.83,249.59,Heavy Duty Dump,winter,0.57,1.01,0.68,1.18,2073.82
metal,3906.43,478.4,Heavy Duty Dump,monsoon,0.71,6.81,6.49,4.03,3891.69
battery,9735.84,588.04,Compact Logistics Van,summer,4.54,3.85,1.91,3.48,4823.08
paper,6594.35,466.54,Flatbed Carrier,summer,0.75,2.45,2.51,1.63,3278.21
paper,2719.76,569.71,Flatbed Carrier,spring,0.0,3.66,2.29,1.17,2498.07
metal,1473.01,432.11,Electric Box Truck,spring,0.0,2.4,2.01,1.48,2251.63
metal,3823.43,296.77,Flatbed Carrier,monsoon,0.32,5.12,6.19,3.25,3305.38
battery,9515.94,440.51,Electric Box Truck,winter,6.05,2.09,1.02,3.53,4628.1
textile,9151.76,251.44,Compact Logistics Van,summer,0.35,1.88,2.36,1.69,3509.31
plastic,664.67,482.69,Flatbed Carrier,summer,0.49,2.28,2.51,1.93,2368.03
metal,3191.1,584.51,Heavy Duty Dump,summer,0.0,3.39,1.46,1.78,2876.11
plastic,7980.15,593.71,Heavy Duty Dump,monsoon,0.13,6.72,6.43,3.79,4656.58
paper,2489.37,469.24,Electric Box Truck,summer,0.46,3.59,1.74,1.85,2645.91
paper,6234.12,417.66,Flatbed Carrier,summer,0.39,3.89,1.73,1.8,3234.04
plastic,7145.07,77.52,Flatbed Carrier,winter,0.2,2.38,1.46,0.77,2527.52
paper,1210.84,566.38,Compact Logistics Van,monsoon,0.79,6.14,5.15,3.04,3063.42
battery,9635.29,84.73,Flatbed Carrier,spring,3.84,1.14,0.71,2.03,3548.41
battery,1260.06,592.15,Heavy Duty Dump,winter,4.44,4.41,1.44,3.05,3110.43
plastic,3023.89,149.24,Flatbed Carrier,monsoon,0.12,4.38,4.65,2.89,2823.37
paper,1524.79,420.17,Electric Box Truck,summer,0.16,2.13,2.29,1.99,2472.3
battery,6899.21,11.68,Heavy Duty Dump,summer,4.89,0.32,1.79,3.18,3488.7
plastic,773.66,190.19,Electric Box Truck,winter,0.77,1.42,1.02,0.91,1578.38
plastic,3796.58,72.61,Flatbed Carrier,summer,0.25,0.83,1.4,0.58,1830.2
plastic,3723.52,84.22,Electric Box Truck,monsoon,0.0,4.52,6.84,3.32,3064.19
textile,1288.14,271.23,Heavy Duty Dump,monsoon,1.09,4.34,5.79,4.16,3228.38
textile,3727.16,404.01,Flatbed Carrier,monsoon,1.15,5.63,6.38,4.42,3942.58
metal,6302.86,253.58,Electric Box Truck,winter,1.13,2.66,0.27,1.9,3094.57
plastic,7021.11,212.06,Electric Box Truck,monsoon,0.57,4.5,7.02,3.74,4001.56
battery,529.77,93.25,Heavy Duty Dump,spring,4.73,0.97,1.32,2.8,2269.51
textile,4524.49,20.6,Heavy Duty Dump,winter,0.75,1.11,0.73,0.93,2059.35
textile,5304.57,503.47,Electric Box Truck,monsoon,0.53,6.62,7.15,3.19,3794.51
textile,595.24,128.67,Electric Box Truck,monsoon,0.05,3.2,4.05,2.67,2264.39
metal,6471.57,517.55,Flatbed Carrier,summer,0.41,4.11,1.68,1.48,3251.96
plastic,4524.05,48.35,Flatbed Carrier,spring,0.45,2.13,1.41,1.8,2483.23
textile,4431.69,473.63,Flatbed Carrier,winter,0.49,3.93,1.89,1.86,3004.84
battery,1803.52,83.7,Compact Logistics Van,monsoon,5.26,4.36,5.98,5.71,3795.81
plastic,2133.68,197.18,Flatbed Carrier,spring,0.17,2.02,1.22,0.88,1816.67
plastic,3745.35,16.1,Heavy Duty Dump,spring,0.99,2.14,0.57,1.18,2023.21
textile,4482.93,244.16,Flatbed Carrier,summer,0.0,3.28,1.7,1.25,2462.92
battery,1773.91,211.0,Heavy Duty Dump,spring,4.66,2.17,1.14,3.35,2880.36
paper,7090.32,181.98,Compact Logistics Van,monsoon,0.0,5.72,6.51,3.42,3834.71
textile,5090.55,559.61,Heavy Duty Dump,spring,0.0,5.3,1.04,1.25,2951.59
battery,4595.16,588.58,Flatbed Carrier,monsoon,4.45,6.83,6.91,6.07,5063.85
battery,3907.08,289.17,Compact Logistics Van,winter,4.92,3.12,0.58,3.42,3389.8
battery,9861.41,192.09,Heavy Duty Dump,spring,5.19,0.91,0.76,2.56,3958.3
battery,6758.72,52.37,Flatbed Carrier,spring,5.03,0.74,1.34,2.02,2988.38
plastic,5737.71,516.62,Electric Box Truck,spring,0.83,4.45,1.21,1.76,3242.67
textile,9460.85,93.55,Heavy Duty Dump,summer,0.73,1.37,2.14,1.31,3205.74
plastic,5420.32,386.85,Heavy Duty Dump,summer,0.35,2.43,2.25,1.58,2952.74
plastic,420.98,42.89,Compact Logistics Van,spring,0.63,1.6,1.15,1.88,1774.77
metal,6605.83,574.17,Electric Box Truck,spring,0.57,3.8,1.09,1.82,3497.81
paper,1540.01,460.78,Heavy Duty Dump,summer,0.54,3.36,1.42,1.16,2150.87
textile,1565.11,23.14,Flatbed Carrier,winter,1.56,1.96,1.13,1.78,1908.36
battery,7386.61,10.24,Heavy Duty Dump,winter,4.88,1.42,1.31,2.34,3195.63
metal,674.28,97.63,Heavy Duty Dump,spring,0.0,1.39,0.38,0.36,1199.7
paper,4359.01,102.49,Electric Box Truck,monsoon,0.29,4.54,6.88,3.43,3249.24
textile,6424.54,546.64,Heavy Duty Dump,monsoon,1.22,6.96,4.82,4.21,4505.13
textile,2996.54,573.96,Electric Box Truck,winter,1.02,4.29,0.0,2.09,2968.04
paper,8065.13,508.97,Heavy Duty Dump,winter,0.21,3.39,0.0,1.45,3515.53
paper,7765.91,498.65,Heavy Duty Dump,winter,0.65,4.08,0.98,2.19,3782.13
textile,9206.58,540.95,Flatbed Carrier,monsoon,0.14,5.5,5.09,2.92,4418.69
metal,2950.96,599.6,Electric Box Truck,monsoon,1.09,5.98,5.42,3.58,3660.79
metal,7730.53,532.16,Compact Logistics Van,monsoon,0.0,4.75,6.21,3.48,4398.32
textile,5471.61,192.71,Compact Logistics Van,monsoon,0.82,6.16,5.25,3.07,3398.86
metal,5071.48,454.16,Electric Box Truck,summer,0.48,4.11,1.59,1.99,3152.59
plastic,1717.19,228.09,Flatbed Carrier,spring,1.35,0.68,0.87,1.34,1984.91
paper,7638.47,311.77,Electric Box Truck,spring,0.62,2.59,1.63,1.69,3308.21
textile,3585.52,163.17,Compact Logistics Van,monsoon,0.0,4.65,6.06,3.6,3259.98
textile,3034.09,487.3,Flatbed Carrier,monsoon,1.62,5.71,6.7,4.52,3965.88
textile,4297.68,332.51,Heavy Duty Dump,spring,0.0,2.63,1.09,1.41,2605.42
metal,2294.62,126.2,Flatbed Carrier,summer,0.72,0.48,1.5,0.04,1382.5
paper,2194.65,101.89,Heavy Duty Dump,summer,0.0,0.32,2.0,0.48,1533.08
metal,328.15,111.3,Flatbed Carrier,monsoon,0.53,3.34,5.69,2.94,2316.78
metal,6020.62,97.56,Flatbed Carrier,spring,1.3,0.76,2.09,0.97,2436.82
textile,6140.78,319.02,Electric Box Truck,winter,0.2,2.46,0.9,1.41,2923.36
plastic,9293.43,498.74,Compact Logistics Van,summer,0.11,2.8,3.02,1.8,3880.61
battery,7291.09,485.52,Compact Logistics Van,summer,4.59,4.9,3.16,4.36,4655.65
textile,9026.53,495.96,Compact Logistics Van,spring,1.03,4.23,1.9,2.7,4235.83
metal,2984.22,113.89,Compact Logistics Van,summer,0.35,0.27,2.11,0.84,1850.06
paper,4590.36,81.26,Heavy Duty Dump,spring,0.1,1.01,0.43,0.16,1797.24
textile,5262.16,307.8,Compact Logistics Van,winter,0.62,1.87,0.63,0.69,2426.74
paper,9586.79,514.22,Compact Logistics Van,summer,0.0,3.06,1.76,1.44,3792.04
textile,8098.91,159.39,Compact Logistics Van,summer,0.15,1.92,2.53,1.43,3091.37
battery,5651.12,252.73,Flatbed Carrier,summer,5.37,1.68,1.46,2.93,3437.68
paper,3331.31,106.5,Heavy Duty Dump,monsoon,0.33,4.51,5.93,3.21,2971.33
battery,6748.17,538.53,Heavy Duty Dump,winter,5.22,3.12,0.0,2.49,3782.99
metal,5103.27,295.33,Electric Box Truck,spring,0.48,3.75,0.45,1.29,2651.29
paper,4265.51,463.04,Compact Logistics Van,summer,0.37,3.06,2.66,1.74,2907.27
paper,6615.29,428.5,Heavy Duty Dump,monsoon,1.0,4.65,5.62,3.38,4027.97
metal,4283.61,237.4,Heavy Duty Dump,summer,0.64,3.11,2.11,1.62,2584.16
metal,9446.94,34.71,Flatbed Carrier,spring,0.89,1.3,1.06,0.82,2912.52
metal,5686.28,14.94,Electric Box Truck,winter,0.4,0.89,1.15,0.77,2189.95
textile,800.73,320.09,Heavy Duty Dump,monsoon,0.56,5.59,7.11,3.49,2897.45
plastic,4651.43,150.87,Electric Box Truck,winter,0.79,2.16,1.47,1.61,2544.84
battery,4630.03,418.19,Electric Box Truck,monsoon,4.53,6.68,5.3,5.49,4604.4
metal,9166.31,110.04,Electric Box Truck,spring,0.55,2.23,0.93,0.9,2986.04
paper,1176.71,170.76,Electric Box Truck,monsoon,0.5,5.17,6.47,2.98,2558.2
textile,9444.9,225.4,Heavy Duty Dump,summer,0.85,2.75,2.96,2.6,3939.15
textile,6361.47,336.7,Electric Box Truck,summer,0.94,3.27,1.81,2.06,3276.83
plastic,5237.99,499.22,Heavy Duty Dump,spring,0.99,5.55,1.06,2.21,3335.34
plastic,1743.51,360.66,Flatbed Carrier,summer,0.47,3.01,1.63,1.38,2166.51
metal,6506.81,61.92,Heavy Duty Dump,winter,0.0,0.56,0.0,0.0,2045.53
battery,3280.97,487.97,Heavy Duty Dump,monsoon,5.29,6.04,6.02,5.84,4605.34
plastic,2890.54,496.22,Compact Logistics Van,summer,0.0,4.1,2.67,1.48,2583.07
textile,2299.7,211.12,Electric Box Truck,winter,0.76,1.14,1.23,1.07,1947.41
plastic,6682.94,359.23,Flatbed Carrier,winter,0.14,2.89,1.14,0.89,2835.2
plastic,4060.98,166.53,Heavy Duty Dump,spring,1.01,2.92,0.4,1.99,2625.94
textile,7597.75,392.73,Compact Logistics Van,summer,0.37,2.99,1.44,2.07,3569.53
paper,6944.69,312.42,Flatbed Carrier,spring,1.19,3.44,2.23,2.56,3578.86
paper,9527.3,476.56,Compact Logistics Van,spring,0.2,3.45,1.5,1.74,3871.93
plastic,5414.9,247.36,Heavy Duty Dump,monsoon,0.66,4.87,5.95,3.82,3790.45
battery,712.31,159.54,Flatbed Carrier,summer,5.05,1.56,2.38,3.05,2490.95
paper,3194.65,315.41,Heavy Duty Dump,summer,0.01,2.71,2.79,1.27,2326.6
battery,8366.09,278.02,Heavy Duty Dump,summer,4.58,2.94,1.74,2.9,3944.0
metal,2716.95,279.12,Flatbed Carrier,summer,1.17,0.85,2.01,1.58,2333.66
metal,3215.7,75.84,Electric Box Truck,summer,0.76,1.25,1.39,1.51,2151.23
battery,9240.49,513.07,Compact Logistics Van,monsoon,5.05,4.58,5.01,4.8,5239.9
textile,9317.59,225.14,Flatbed Carrier,summer,0.55,0.74,2.18,0.8,3106.09
metal,7885.03,460.34,Flatbed Carrier,spring,0.2,2.42,0.0,0.66,3068.85
plastic,4522.94,442.84,Heavy Duty Dump,spring,0.67,3.54,0.93,1.43,2790.11
paper,896.04,297.85,Compact Logistics Van,winter,1.04,2.52,0.71,1.29,1898.0
paper,7761.4,318.39,Flatbed Carrier,monsoon,0.4,5.4,6.35,3.6,4200.58
textile,8150.06,141.36,Heavy Duty Dump,winter,0.52,2.26,0.0,1.73,3217.01
plastic,6314.11,341.88,Compact Logistics Van,monsoon,0.86,7.35,5.64,3.66,3994.56
plastic,8826.43,576.93,Electric Box Truck,spring,0.81,5.18,1.23,2.32,4123.55
plastic,2597.24,450.22,Flatbed Carrier,summer,0.94,2.66,3.19,2.39,2882.35
metal,7974.32,222.33,Compact Logistics Van,winter,1.69,2.78,0.33,2.35,3560.23
plastic,817.12,502.14,Flatbed Carrier,spring,0.74,2.6,1.29,1.91,2407.33
paper,1436.13,560.26,Heavy Duty Dump,spring,0.0,5.15,1.15,2.18,2711.93
battery,3468.42,139.19,Flatbed Carrier,spring,5.14,0.29,0.47,2.14,2552.71
paper,2854.91,514.69,Compact Logistics Van,summer,0.41,3.29,1.63,1.36,2543.57
battery,9359.59,15.06,Flatbed Carrier,spring,4.77,0.74,1.32,2.13,3459.81
plastic,7264.75,439.8,Heavy Duty Dump,spring,0.86,4.65,0.95,2.28,3663.61
battery,4162.77,105.56,Flatbed Carrier,summer,4.9,2.05,2.2,2.61,2851.57
plastic,830.33,247.4,Compact Logistics Van,monsoon,0.72,3.63,6.52,4.3,3183.16
paper,9014.64,557.15,Compact Logistics Van,monsoon,0.37,7.48,5.9,4.85,5272.3
battery,7623.13,141.88,Flatbed Carrier,summer,4.77,2.02,1.1,3.31,3832.16
battery,6961.65,207.49,Heavy Duty Dump,summer,5.54,2.88,2.52,3.83,4024.16
paper,2050.92,168.47,Electric Box Truck,spring,0.33,2.77,1.39,1.53,2059.28
textile,7753.98,203.06,Compact Logistics Van,summer,0.75,1.54,1.92,0.91,2847.53
battery,6936.42,383.64,Compact Logistics Van,spring,4.98,2.84,0.56,2.83,3784.16
metal,3235.7,317.91,Flatbed Carrier,winter,1.23,1.95,0.25,0.76,2107.29
plastic,432.42,57.08,Heavy Duty Dump,winter,0.54,1.43,1.42,1.66,1693.25
paper,4780.1,379.63,Electric Box Truck,spring,0.48,3.29,0.06,2.03,3030.94
plastic,6373.22,20.52,Flatbed Carrier,winter,0.16,1.75,0.69,0.72,2297.6
metal,5036.6,529.59,Flatbed Carrier,monsoon,0.08,5.62,6.27,4.3,4277.63
metal,5641.58,68.96,Compact Logistics Van,monsoon,1.23,3.33,5.47,3.4,3429.58
metal,9894.02,282.79,Electric Box Truck,spring,0.0,1.21,1.04,1.03,3385.77
plastic,3816.75,436.04,Compact Logistics Van,spring,1.33,3.8,1.78,1.79,2814.65
battery,8465.59,459.43,Electric Box Truck,winter,5.19,4.02,1.51,3.6,4493.19
plastic,3096.9,426.16,Heavy Duty Dump,winter,0.0,3.4,0.52,1.42,2505.96
battery,5557.46,428.49,Compact Logistics Van,winter,4.7,3.72,0.38,3.95,4091.21
metal,690.63,525.44,Compact Logistics Van,monsoon,0.91,5.78,6.59,3.98,3345.74
paper,488.87,115.17,Heavy Duty Dump,monsoon,0.9,5.77,6.33,4.41,3009.29
metal,5581.61,569.98,Heavy Duty Dump,monsoon,0.89,6.12,5.99,3.89,4239.09
battery,6931.89,183.46,Compact Logistics Van,monsoon,4.57,4.5,5.15,4.52,4303.79
textile,731.86,362.01,Compact Logistics Van,spring,0.38,2.9,0.91,1.15,1884.14
textile,6485.65,464.38,Electric Box Truck,summer,0.76,2.29,2.59,2.59,3690.48
paper,8320.94,495.5,Flatbed Carrier,monsoon,0.0,7.29,5.37,3.38,4412.63
textile,7025.09,107.13,Electric Box Truck,winter,0.0,0.86,0.79,0.56,2446.81
paper,339.91,364.78,Compact Logistics Van,summer,0.64,2.99,1.71,0.98,1738.41
paper,910.96,407.19,Flatbed Carrier,spring,0.61,2.57,0.0,0.25,1563.75
metal,8169.19,573.24,Flatbed Carrier,spring,0.51,4.58,0.68,0.92,3370.87
plastic,2228.47,551.73,Compact Logistics Van,spring,0.22,3.51,0.8,1.13,2371.33
metal,276.28,454.26,Electric Box Truck,monsoon,0.57,4.01,5.16,3.36,2905.0
textile,1859.45,500.87,Electric Box Truck,spring,0.0,3.82,0.96,1.12,2238.96
textile,1131.46,570.82,Electric Box Truck,winter,0.81,3.9,1.06,1.62,2415.42
paper,5536.41,324.06,Flatbed Carrier,summer,0.96,3.8,1.92,1.56,2885.61
metal,5388.47,243.34,Electric Box Truck,spring,0.81,2.34,0.67,1.31,2653.23
paper,4752.22,587.57,Electric Box Truck,spring,1.17,3.28,0.57,1.33,2960.79
plastic,4520.38,384.2,Flatbed Carrier,spring,0.54,2.57,0.68,0.76,2417.94
paper,4796.79,207.14,Flatbed Carrier,spring,0.8,2.0,1.48,1.91,2769.62
metal,2634.99,389.09,Compact Logistics Van,summer,1.25,2.98,1.09,1.92,2603.65
battery,3534.69,376.29,Electric Box Truck,winter,5.66,2.87,0.48,3.18,3319.61
metal,2223.16,415.55,Electric Box Truck,summer,0.11,3.47,1.6,1.37,2316.89
textile,4172.96,208.96,Flatbed Carrier,spring,0.37,1.13,1.01,0.48,2020.11
paper,3685.1,476.69,Electric Box Truck,summer,0.69,2.91,1.11,1.22,2585.26
metal,831.17,42.47,Flatbed Carrier,spring,0.52,1.92,0.6,1.25,1561.82
textile,3711.24,498.42,Compact Logistics Van,monsoon,0.19,6.13,5.94,4.15,3934.46
textile,9053.4,71.58,Heavy Duty Dump,summer,0.71,2.0,2.07,1.6,3234.51
paper,4533.13,52.19,Compact Logistics Van,spring,0.16,2.41,1.57,0.58,1940.26
plastic,666.32,237.43,Flatbed Carrier,winter,0.18,2.44,0.25,1.26,1773.54
battery,8047.93,551.77,Electric Box Truck,monsoon,5.29,7.24,6.34,5.77,5507.52
metal,1495.19,232.07,Heavy Duty Dump,monsoon,0.58,6.36,5.21,3.86,3084.94
plastic,1786.58,157.08,Electric Box Truck,monsoon,1.86,5.46,6.66,4.58,3370.09
textile,4123.48,523.53,Flatbed Carrier,spring,0.03,3.82,0.93,1.19,2704.21
plastic,7121.08,471.76,Flatbed Carrier,summer,0.06,4.59,1.8,1.49,3320.51
metal,9490.92,50.56,Flatbed Carrier,winter,0.55,0.0,1.13,1.08,3054.31
metal,4731.08,253.48,Flatbed Carrier,monsoon,0.66,4.66,6.66,3.36,3467.8
metal,5609.78,146.26,Compact Logistics Van,monsoon,1.19,4.84,5.6,3.87,3727.64
paper,6784.54,547.85,Electric Box Truck,summer,0.5,4.64,1.78,1.93,3549.19
plastic,2726.0,143.59,Heavy Duty Dump,summer,0.0,1.71,1.54,0.76,1805.93
battery,7971.5,88.26,Electric Box Truck,summer,4.64,2.11,1.72,2.62,3519.14
plastic,5837.74,87.22,Compact Logistics Van,winter,0.86,1.04,1.53,0.92,2370.44
battery,6125.2,414.96,Heavy Duty Dump,spring,5.52,1.95,1.27,3.51,3980.43
metal,3621.77,405.49,Flatbed Carrier,spring,0.0,4.02,1.23,2.15,2904.9
paper,2625.56,57.0,Heavy Duty Dump,winter,0.77,1.42,1.76,1.6,2062.4
battery,2302.65,384.09,Electric Box Truck,spring,4.64,3.86,0.82,2.77,2920.97
battery,5427.27,313.5,Electric Box Truck,monsoon,4.96,5.2,5.95,5.11,4453.35
plastic,5515.12,463.36,Compact Logistics Van,spring,0.51,2.13,0.79,1.08,2836.81
textile,4983.35,430.1,Compact Logistics Van,spring,0.4,3.54,0.77,1.24,2771.96
plastic,2160.09,87.2,Electric Box Truck,spring,1.21,1.67,1.44,1.97,2181.37
paper,354.21,163.14,Compact Logistics Van,summer,0.84,1.52,0.93,1.08,1543.44
textile,7562.48,410.33,Compact Logistics Van,monsoon,1.23,6.03,7.56,3.88,4399.62
plastic,6680.4,251.51,Flatbed Carrier,winter,0.35,2.61,1.49,1.61,3030.41
battery,7915.05,251.16,Electric Box Truck,spring,5.52,2.78,2.03,3.73,4205.28
textile,969.57,340.72,Heavy Duty Dump,monsoon,0.6,5.55,6.45,3.85,3117.84
paper,9787.59,439.75,Heavy Duty Dump,summer,0.4,3.14,2.58,1.57,3795.29
metal,5265.0,165.38,Compact Logistics Van,summer,0.1,1.98,1.9,0.98,2388.93
plastic,7397.17,349.0,Compact Logistics Van,summer,0.75,2.8,2.42,1.49,3222.79
textile,8934.57,484.29,Flatbed Carrier,winter,1.02,2.63,1.59,2.05,3910.81
textile,7234.05,411.09,Compact Logistics Van,spring,0.0,2.76,1.49,1.32,3190.22
battery,8480.51,10.14,Compact Logistics Van,summer,4.5,2.81,0.99,2.74,3571.3
textile,400.68,317.91,Heavy Duty Dump,summer,0.72,1.41,2.81,1.98,2145.19
paper,8267.62,70.79,Compact Logistics Van,summer,0.47,0.57,2.47,1.25,2933.91
textile,6835.59,127.36,Compact Logistics Van,winter,0.42,0.96,2.52,0.78,2533.07
metal,5396.58,218.62,Electric Box Truck,winter,0.0,1.62,1.52,1.2,2572.06
plastic,2493.48,356.97,Heavy Duty Dump,monsoon,1.93,5.06,7.69,4.46,3683.6
textile,6077.25,114.77,Electric Box Truck,spring,0.89,0.07,1.39,0.99,2474.96
metal,4956.38,499.8,Flatbed Carrier,monsoon,0.0,7.54,5.03,4.13,4148.7
plastic,8729.92,339.36,Compact Logistics Van,monsoon,0.4,6.75,5.8,3.12,4183.09
textile,9079.87,502.66,Electric Box Truck,winter,0.23,4.91,1.49,1.57,3745.03
paper,1962.98,549.52,Flatbed Carrier,monsoon,0.4,7.11,5.9,4.29,3743.31
paper,7642.97,532.78,Compact Logistics Van,spring,0.39,4.1,0.8,1.63,3547.21
textile,1187.91,163.52,Electric Box Truck,monsoon,0.65,5.43,6.18,4.04,3028.28
paper,2239.48,193.6,Compact Logistics Van,summer,0.53,2.86,2.55,1.24,1993.48
battery,6269.64,146.96,Flatbed Carrier,monsoon,4.91,5.82,5.89,5.82,4722.82
paper,4875.87,274.1,Compact Logistics Van,summer,0.0,2.6,1.13,1.3,2590.81
textile,6607.53,411.91,Heavy Duty Dump,winter,0.99,3.07,0.15,1.75,3271.83
battery,2886.53,129.57,Flatbed Carrier,monsoon,5.68,6.33,5.98,6.82,4546.24
plastic,4284.14,456.8,Heavy Duty Dump,winter,0.22,2.92,1.62,1.3,2702.66
paper,3951.68,357.58,Heavy Duty Dump,spring,0.17,2.38,1.05,1.23,2491.93
textile,4198.34,134.66,Compact Logistics Van,summer,0.77,0.04,2.66,1.69,2479.14
plastic,5649.31,178.07,Flatbed Carrier,monsoon,0.0,5.44,6.71,3.97,3816.97
battery,1123.26,455.03,Flatbed Carrier,summer,5.23,3.04,1.78,3.61,3173.9
textile,1625.82,504.02,Compact Logistics Van,summer,0.06,5.08,1.89,2.06,2625.22
paper,1408.4,297.0,Heavy Duty Dump,summer,0.76,3.25,1.89,1.68,2166.32
textile,4799.17,555.53,Compact Logistics Van,spring,1.14,4.23,1.06,2.64,3519.97
plastic,8481.8,293.35,Flatbed Carrier,monsoon,0.09,2.74,7.85,2.89,3980.33
paper,3789.16,266.17,Heavy Duty Dump,spring,1.18,2.18,0.81,1.84,2631.63
battery,529.77,407.92,Flatbed Carrier,spring,5.52,2.92,0.76,3.3,2869.96
plastic,5228.79,153.03,Flatbed Carrier,monsoon,1.46,3.88,6.55,4.18,3805.19
metal,4001.41,231.82,Compact Logistics Van,monsoon,1.1,5.14,5.96,3.8,3508.38
plastic,2038.59,22.77,Heavy Duty Dump,winter,0.21,1.32,2.0,0.97,1630.96
textile,7674.0,128.86,Flatbed Carrier,summer,0.0,1.71,1.35,0.45,2537.55
textile,9627.38,436.51,Compact Logistics Van,monsoon,0.42,7.59,6.71,4.46,5065.45
metal,8930.1,586.13,Heavy Duty Dump,summer,0.0,3.94,1.37,2.0,4012.85
metal,7305.94,579.37,Heavy Duty Dump,winter,0.52,3.61,1.57,2.03,3723.52
textile,4274.2,233.98,Heavy Duty Dump,spring,1.38,3.02,1.29,1.83,2672.49
paper,7776.28,206.28,Heavy Duty Dump,spring,0.68,0.65,0.92,0.15,2514.33
paper,7316.58,310.86,Heavy Duty Dump,winter,0.3,2.76,1.31,1.25,3053.83
paper,4148.32,561.78,Electric Box Truck,monsoon,0.52,8.92,6.69,5.36,4631.26
plastic,7191.88,556.46,Compact Logistics Van,monsoon,0.42,6.39,6.26,4.44,4761.77
battery,9796.77,62.29,Flatbed Carrier,winter,6.16,1.01,0.73,3.41,4174.16
paper,5932.92,598.24,Flatbed Carrier,spring,0.9,4.94,0.73,2.13,3544.01
battery,3302.64,409.54,Electric Box Truck,spring,4.79,2.94,0.88,3.13,3294.91
metal,2734.13,437.28,Electric Box Truck,monsoon,0.64,6.04,6.06,3.8,3527.26
battery,4385.64,337.27,Heavy Duty Dump,monsoon,4.82,6.79,5.62,5.96,4676.1
plastic,7908.18,584.59,Electric Box Truck,summer,0.21,4.66,0.93,1.93,3794.48
paper,5883.63,62.51,Electric Box Truck,monsoon,0.73,3.88,5.7,2.56,3085.09
paper,3010.76,247.44,Electric Box Truck,summer,0.48,2.63,1.8,1.7,2404.07
metal,5407.34,128.74,Compact Logistics Van,monsoon,0.41,5.9,6.61,3.32,3419.97
metal,7740.08,102.46,Flatbed Carrier,summer,0.2,1.62,1.67,1.59,3031.7
metal,8221.72,226.09,Electric Box Truck,winter,0.0,3.15,1.0,1.62,3278.3
paper,9975.63,301.17,Electric Box Truck,summer,1.18,2.55,2.41,2.22,3957.0
metal,2691.33,518.63,Heavy Duty Dump,monsoon,0.34,6.39,7.26,4.47,3918.02
paper,701.82,449.85,Heavy Duty Dump,spring,0.52,5.02,0.22,1.77,2260.95
paper,6165.11,245.65,Heavy Duty Dump,summer,1.1,1.91,1.67,1.55,2901.08
plastic,7978.43,473.27,Heavy Duty Dump,spring,0.65,3.25,1.32,1.99,3699.1
metal,1741.28,389.22,Electric Box Truck,monsoon,0.42,4.53,5.53,3.45,3131.86
textile,3371.37,504.81,Electric Box Truck,winter,0.37,3.72,1.14,1.34,2614.45
battery,9901.81,399.38,Compact Logistics Van,winter,4.4,1.41,1.16,2.41,4147.06
metal,7643.71,513.26,Electric Box Truck,winter,0.96,2.78,1.97,1.42,3431.1
plastic,673.06,10.6,Compact Logistics Van,monsoon,0.82,3.76,5.28,2.64,2123.4
textile,1619.56,353.1,Heavy Duty Dump,spring,0.0,0.87,2.15,0.99,1959.27
plastic,1211.94,40.73,Electric Box Truck,summer,1.03,1.51,1.38,1.54,1760.26
battery,9121.39,202.78,Flatbed Carrier,monsoon,4.58,5.69,5.53,5.13,4995.1
plastic,8517.78,15.88,Electric Box Truck,winter,0.0,1.93,0.68,0.63,2634.16
