budget,primary_material,equipment_name,cost,roi,priority_score
349375.1,paper,AI Optical Sorter,298160.02,44.33,6.29
657443.32,battery,IoT Weighbridge Scales,580230.17,25.13,5.49
192452.1,metal,IoT Weighbridge Scales,151970.84,44.81,6.74
65700.59,plastic,Solar Decanter Centrifuge,58580.74,37.28,4.79
346952.92,plastic,Automated Compactor Baler,278627.46,45.65,5.59
238159.32,metal,IoT Weighbridge Scales,201228.62,24.44,3.55
107542.12,battery,IoT Weighbridge Scales,102104.51,28.26,4.17
316046.42,textile,Solar Decanter Centrifuge,230330.38,43.8,4.88
544767.7,paper,Automated Compactor Baler,389705.88,41.29,6.04
755377.96,plastic,Automated Compactor Baler,566087.65,18.5,5.74
133406.56,battery,IoT Weighbridge Scales,103302.09,17.85,1.43
556715.98,paper,AI Optical Sorter,475987.79,37.14,6.04
137358.39,battery,IoT Weighbridge Scales,114703.83,14.85,2.01
474387.92,plastic,Automated Compactor Baler,352480.43,43.64,7.37
328659.88,textile,AI Optical Sorter,273088.71,23.49,4.09
402436.53,plastic,IoT Weighbridge Scales,301904.96,23.34,3.51
196397.87,textile,AI Optical Sorter,153342.53,47.56,5.13
294263.6,paper,High-Shear Pelletizer Extruder,243965.37,32.9,4.87
410958.46,textile,IoT Weighbridge Scales,385328.3,12.79,3.62
786890.95,textile,IoT Weighbridge Scales,711032.07,22.09,6.04
532967.43,textile,IoT Weighbridge Scales,380347.6,33.58,5.38
726802.46,paper,Solar Decanter Centrifuge,673298.68,42.07,7.68
199558.7,paper,AI Optical Sorter,164812.88,14.45,1.62
213630.75,metal,AI Optical Sorter,173328.59,12.52,2.66
173471.32,paper,High-Shear Pelletizer Extruder,148563.04,32.58,3.89
188628.8,textile,Solar Decanter Centrifuge,168053.75,30.84,4.44
110079.29,textile,High-Shear Pelletizer Extruder,81551.33,18.64,1.73
201720.46,battery,IoT Weighbridge Scales,161265.09,30.42,2.62
679359.96,paper,IoT Weighbridge Scales,476797.6,12.93,4.49
464967.98,textile,High-Shear Pelletizer Extruder,427541.95,32.08,5.64
534179.14,plastic,Automated Compactor Baler,500254.87,42.32,6.1
272459.36,plastic,Automated Compactor Baler,202293.38,16.57,3.05
234385.58,plastic,High-Shear Pelletizer Extruder,204543.98,38.24,4.36
85229.74,textile,High-Shear Pelletizer Extruder,71480.73,14.76,1.23
417233.06,paper,IoT Weighbridge Scales,327045.17,18.37,4.99
123818.14,battery,Automated Compactor Baler,105225.6,38.23,3.89
227693.0,plastic,IoT Weighbridge Scales,169576.16,40.71,4.25
558159.35,textile,Automated Compactor Baler,437036.89,40.14,8.01
535593.46,battery,High-Shear Pelletizer Extruder,418422.05,36.74,5.76
771211.86,textile,IoT Weighbridge Scales,634296.78,34.71,7.73
62506.86,battery,Automated Compactor Baler,56419.76,21.82,3.36
598671.59,plastic,High-Shear Pelletizer Extruder,497179.44,14.45,4.62
394733.45,textile,IoT Weighbridge Scales,374653.98,16.87,4.13
556592.03,paper,Solar Decanter Centrifuge,408122.47,17.71,4.2
551914.27,battery,High-Shear Pelletizer Extruder,444068.78,24.88,4.54
495335.47,plastic,Solar Decanter Centrifuge,405152.2,31.92,4.83
606703.54,battery,Automated Compactor Baler,496439.35,13.56,4.59
574504.6,battery,AI Optical Sorter,509116.89,26.85,5.59
147878.42,plastic,IoT Weighbridge Scales,113176.27,27.09,2.6
499474.47,plastic,Automated Compactor Baler,385617.33,12.23,2.62
600956.23,textile,High-Shear Pelletizer Extruder,508533.34,45.89,7.57
180806.95,battery,AI Optical Sorter,130697.3,34.52,3.04
441032.77,plastic,IoT Weighbridge Scales,339103.1,29.8,5.9
141271.48,metal,AI Optical Sorter,110053.23,34.57,4.43
271810.67,plastic,AI Optical Sorter,212516.6,17.93,3.88
185878.89,metal,Automated Compactor Baler,150375.8,33.39,3.86
673655.59,battery,Automated Compactor Baler,601687.45,37.74,7.23
484233.23,paper,Solar Decanter Centrifuge,437246.4,12.5,4.47
648991.84,paper,AI Optical Sorter,457561.61,17.54,5.71
714628.47,textile,IoT Weighbridge Scales,644544.47,43.89,7.46
149696.03,battery,AI Optical Sorter,109937.88,12.03,2.36
727417.72,metal,Solar Decanter Centrifuge,547282.86,26.99,6.76
80216.71,metal,IoT Weighbridge Scales,60356.86,47.16,4.97
534201.93,textile,Automated Compactor Baler,478363.26,39.57,6.04
553781.64,textile,Automated Compactor Baler,467261.65,19.45,4.54
428341.96,metal,High-Shear Pelletizer Extruder,345614.83,35.23,5.16
353994.02,battery,AI Optical Sorter,280560.81,39.05,6.13
722746.47,plastic,High-Shear Pelletizer Extruder,678711.67,25.56,5.87
414630.24,battery,Automated Compactor Baler,323094.67,41.12,6.08
706616.49,textile,Solar Decanter Centrifuge,648552.97,40.26,7.82
123130.77,textile,AI Optical Sorter,87846.8,36.1,4.08
223459.95,battery,Automated Compactor Baler,159979.71,18.38,2.95
113191.53,battery,High-Shear Pelletizer Extruder,105996.79,23.27,2.81
693879.84,plastic,Solar Decanter Centrifuge,608019.31,38.71,6.65
704782.36,textile,High-Shear Pelletizer Extruder,662402.42,19.84,6.0
116114.12,plastic,High-Shear Pelletizer Extruder,105560.57,31.76,4.12
433335.23,plastic,High-Shear Pelletizer Extruder,389250.2,47.32,6.39
749366.69,battery,IoT Weighbridge Scales,612380.57,37.4,7.02
509006.4,metal,High-Shear Pelletizer Extruder,442729.0,34.73,5.76
252919.44,battery,Solar Decanter Centrifuge,195903.34,39.92,4.64
58036.47,plastic,Solar Decanter Centrifuge,54783.22,25.29,2.64
317894.25,plastic,Solar Decanter Centrifuge,263895.45,27.86,4.38
430818.38,battery,Automated Compactor Baler,309474.51,35.87,6.37
496524.78,textile,IoT Weighbridge Scales,399974.57,40.26,6.81
536560.34,plastic,High-Shear Pelletizer Extruder,437032.23,21.24,4.52
614085.75,textile,Automated Compactor Baler,544442.73,23.22,5.11
51232.82,battery,AI Optical Sorter,43173.4,29.23,3.59
696557.11,metal,AI Optical Sorter,584032.39,30.47,7.03
614636.49,battery,AI Optical Sorter,541499.23,45.44,7.28
372901.87,paper,IoT Weighbridge Scales,283608.15,14.63,3.85
225874.61,paper,IoT Weighbridge Scales,214260.72,20.38,3.77
90372.89,metal,AI Optical Sorter,72113.3,40.89,4.13
556690.08,metal,AI Optical Sorter,509572.62,43.18,5.92
57433.02,metal,Automated Compactor Baler,46818.45,47.6,5.24
615927.02,metal,AI Optical Sorter,567654.13,26.35,5.71
697191.8,textile,Solar Decanter Centrifuge,581224.56,42.92,7.96
141409.63,paper,High-Shear Pelletizer Extruder,99007.88,23.08,2.94
230873.91,battery,AI Optical Sorter,178428.66,27.03,4.41
728974.25,textile,High-Shear Pelletizer Extruder,570450.77,15.84,5.05
765052.16,metal,Automated Compactor Baler,592545.56,23.53,6.46
141873.4,battery,AI Optical Sorter,101813.16,44.74,4.85
192596.57,paper,Solar Decanter Centrifuge,161041.11,14.8,2.32
690457.16,metal,IoT Weighbridge Scales,616136.8,45.65,8.15
731901.6,plastic,High-Shear Pelletizer Extruder,674848.29,19.17,4.98
332790.45,paper,High-Shear Pelletizer Extruder,291269.46,18.99,2.95
385400.77,paper,AI Optical Sorter,331977.9,17.61,3.17
333022.38,textile,AI Optical Sorter,236430.19,21.86,3.91
766737.1,paper,High-Shear Pelletizer Extruder,604251.53,13.55,4.95
760834.77,textile,Automated Compactor Baler,677811.69,15.91,4.68
785943.18,textile,Automated Compactor Baler,701055.42,34.63,6.92
448332.12,battery,Automated Compactor Baler,383932.96,41.1,7.61
101777.7,plastic,Solar Decanter Centrifuge,79226.39,34.88,3.41
497350.31,paper,Solar Decanter Centrifuge,395657.52,16.76,3.92
197516.15,metal,High-Shear Pelletizer Extruder,170001.91,33.63,3.76
667998.24,plastic,High-Shear Pelletizer Extruder,601355.18,18.49,6.03
132397.34,textile,AI Optical Sorter,115313.78,12.91,1.29
91805.64,textile,High-Shear Pelletizer Extruder,66262.36,19.28,3.08
459117.76,plastic,AI Optical Sorter,347965.23,42.56,5.69
659244.64,paper,AI Optical Sorter,479845.66,32.53,6.2
486173.15,metal,High-Shear Pelletizer Extruder,369518.27,27.98,4.97
707460.37,metal,IoT Weighbridge Scales,657317.2,23.8,5.78
329061.69,plastic,Solar Decanter Centrifuge,258216.64,46.27,6.64
710671.37,plastic,Solar Decanter Centrifuge,543141.73,28.74,7.33
220233.9,battery,Automated Compactor Baler,204773.93,27.26,4.01
383639.32,textile,High-Shear Pelletizer Extruder,302274.21,44.74,6.33
476716.61,plastic,IoT Weighbridge Scales,430452.07,24.31,5.51
322441.51,paper,IoT Weighbridge Scales,301562.81,34.44,4.92
606220.47,textile,AI Optical Sorter,432123.57,26.47,5.35
611722.36,paper,IoT Weighbridge Scales,456714.95,38.98,8.12
459271.98,metal,AI Optical Sorter,407444.13,29.37,4.7
723466.41,paper,AI Optical Sorter,634349.62,21.08,4.17
385044.85,metal,Solar Decanter Centrifuge,289359.28,12.03,3.58
679324.77,paper,Automated Compactor Baler,501536.06,38.21,6.51
500188.56,paper,Automated Compactor Baler,457116.21,27.06,5.45
436757.41,textile,IoT Weighbridge Scales,318765.32,23.8,4.46
661809.04,textile,High-Shear Pelletizer Extruder,494989.52,32.0,5.7
688554.31,textile,High-Shear Pelletizer Extruder,599108.42,21.87,5.86
670756.4,textile,Solar Decanter Centrifuge,559301.46,34.87,6.49
81122.99,textile,AI Optical Sorter,68138.14,42.89,4.33
550195.59,battery,Automated Compactor Baler,513080.11,30.99,5.49
277081.35,battery,AI Optical Sorter,233054.27,33.62,4.97
174691.5,metal,Solar Decanter Centrifuge,149238.69,46.91,5.78
621659.04,metal,Solar Decanter Centrifuge,538774.12,34.44,6.67
501851.88,plastic,Automated Compactor Baler,417623.14,24.04,4.07
653880.8,paper,Solar Decanter Centrifuge,520743.08,30.24,6.35
692000.81,metal,Solar Decanter Centrifuge,623685.94,16.93,4.24
593522.19,textile,IoT Weighbridge Scales,462353.36,42.68,6.75
80700.46,plastic,High-Shear Pelletizer Extruder,71433.29,29.46,4.78
227457.34,plastic,High-Shear Pelletizer Extruder,203744.92,39.01,5.26
392613.35,paper,Automated Compactor Baler,293965.15,30.18,4.39
77345.79,paper,Solar Decanter Centrifuge,68046.42,31.71,3.68
757833.58,metal,Automated Compactor Baler,549535.96,26.16,7.01
309647.67,metal,Solar Decanter Centrifuge,285248.04,20.33,3.78
353181.23,plastic,High-Shear Pelletizer Extruder,323916.37,32.33,3.9
437907.07,metal,High-Shear Pelletizer Extruder,381545.64,22.44,4.52
201097.94,battery,AI Optical Sorter,145576.85,27.09,2.97
97909.83,battery,Solar Decanter Centrifuge,73929.73,30.55,3.65
126775.31,paper,Automated Compactor Baler,89250.71,46.69,6.12
109786.3,textile,Automated Compactor Baler,100206.13,24.45,2.01
76411.38,paper,AI Optical Sorter,61251.68,43.67,5.2
517628.98,textile,Automated Compactor Baler,471685.64,29.15,5.67
552315.84,paper,High-Shear Pelletizer Extruder,428178.2,18.63,4.53
219342.16,metal,Solar Decanter Centrifuge,155751.24,23.74,4.44
401417.75,textile,AI Optical Sorter,379806.87,19.53,3.79
626795.85,paper,Solar Decanter Centrifuge,488572.43,12.32,4.15
336599.68,plastic,IoT Weighbridge Scales,278146.22,26.51,5.14
140559.98,metal,Automated Compactor Baler,124796.99,45.89,6.19
557462.93,battery,Automated Compactor Baler,449962.37,34.63,6.59
742748.63,battery,Automated Compactor Baler,525949.79,20.48,5.01
282730.34,textile,High-Shear Pelletizer Extruder,215034.6,19.33,3.27
353861.42,metal,IoT Weighbridge Scales,303336.45,35.05,5.05
687878.17,battery,High-Shear Pelletizer Extruder,574820.81,35.53,7.38
416920.44,textile,Automated Compactor Baler,369221.61,20.22,3.17
93843.49,textile,Automated Compactor Baler,76818.14,18.05,1.58
93043.88,battery,Automated Compactor Baler,80809.49,12.6,0.72
304208.58,paper,AI Optical Sorter,234416.58,33.07,4.9
148293.97,battery,High-Shear Pelletizer Extruder,122414.65,44.76,5.18
587946.41,plastic,Solar Decanter Centrifuge,538612.74,28.45,4.37
775029.61,plastic,Automated Compactor Baler,709725.54,29.3,6.5
101565.43,textile,IoT Weighbridge Scales,93383.05,19.34,2.58
90957.73,paper,Solar Decanter Centrifuge,72804.77,30.1,4.22
679589.93,battery,Solar Decanter Centrifuge,508448.18,16.65,5.65
403719.77,plastic,IoT Weighbridge Scales,290204.01,25.53,4.14
665408.49,metal,Automated Compactor Baler,520554.15,13.89,3.74
313913.63,battery,Solar Decanter Centrifuge,227327.97,37.94,5.17
261368.75,textile,Solar Decanter Centrifuge,188134.09,13.69,3.08
392794.74,battery,IoT Weighbridge Scales,330137.62,16.03,3.49
507129.42,textile,High-Shear Pelletizer Extruder,422887.93,29.17,5.99
720450.13,metal,High-Shear Pelletizer Extruder,615096.86,45.37,7.99
771543.87,paper,IoT Weighbridge Scales,645648.12,44.06,8.14
293246.66,plastic,Solar Decanter Centrifuge,265655.49,37.52,4.19
490720.24,metal,Solar Decanter Centrifuge,391627.51,28.11,4.77
97925.71,paper,IoT Weighbridge Scales,71372.24,43.31,5.62
404169.82,battery,Solar Decanter Centrifuge,340599.36,44.75,6.3
243224.0,paper,High-Shear Pelletizer Extruder,214837.35,47.84,6.01
265633.4,battery,AI Optical Sorter,244556.42,15.49,2.83
127817.26,textile,Automated Compactor Baler,92365.85,36.05,4.16
149995.11,battery,High-Shear Pelletizer Extruder,105508.88,44.25,5.14
435399.89,battery,High-Shear Pelletizer Extruder,341569.21,37.4,5.81
190628.34,textile,AI Optical Sorter,144686.75,17.17,2.39
434647.16,battery,IoT Weighbridge Scales,398075.03,17.02,3.59
476904.85,paper,Automated Compactor Baler,378190.74,15.33,2.56
700295.14,battery,High-Shear Pelletizer Extruder,586558.68,30.5,6.01
567592.34,paper,AI Optical Sorter,523463.76,17.78,4.29
139648.15,textile,IoT Weighbridge Scales,126442.76,17.0,1.94
610473.17,paper,Automated Compactor Baler,476281.03,18.92,4.15
482408.74,metal,AI Optical Sorter,366823.76,36.53,4.79
586988.52,paper,High-Shear Pelletizer Extruder,423890.58,36.37,6.66
604685.88,metal,IoT Weighbridge Scales,527163.64,41.33,6.76
363043.72,battery,High-Shear Pelletizer Extruder,266272.43,46.32,7.17
458600.81,paper,Automated Compactor Baler,354237.94,20.6,3.44
210157.14,textile,Automated Compactor Baler,147498.36,30.33,3.95
383296.71,textile,High-Shear Pelletizer Extruder,293873.07,30.21,5.55
633295.93,paper,Solar Decanter Centrifuge,500252.42,36.74,6.6
576173.95,plastic,Solar Decanter Centrifuge,462261.85,23.86,5.17
570033.15,metal,High-Shear Pelletizer Extruder,514686.78,22.58,6.13
569690.17,textile,AI Optical Sorter,413654.22,32.48,5.86
448609.43,metal,AI Optical Sorter,358527.46,27.52,5.07
591662.07,textile,Automated Compactor Baler,507605.0,30.67,5.0
88374.13,battery,Solar Decanter Centrifuge,72731.95,23.17,2.77
292107.35,metal,AI Optical Sorter,244930.51,22.73,2.93
391306.73,textile,High-Shear Pelletizer Extruder,334675.48,22.86,4.4
378986.76,plastic,Solar Decanter Centrifuge,312621.29,39.53,6.33
249168.2,metal,Solar Decanter Centrifuge,176559.14,35.0,4.67
269491.32,metal,Automated Compactor Baler,217749.7,47.97,5.66
215245.55,battery,Automated Compactor Baler,197871.33,31.01,3.6
537167.01,textile,Solar Decanter Centrifuge,475701.5,35.15,6.15
286807.55,textile,High-Shear Pelletizer Extruder,216529.8,28.01,4.94
777118.17,metal,High-Shear Pelletizer Extruder,686957.0,21.9,5.83
529330.89,battery,IoT Weighbridge Scales,431934.06,40.41,7.68
798649.93,battery,High-Shear Pelletizer Extruder,603581.65,26.68,7.32
310836.8,metal,High-Shear Pelletizer Extruder,224717.73,36.51,5.23
454393.31,paper,AI Optical Sorter,421656.38,27.81,5.68
79960.98,battery,Automated Compactor Baler,72492.43,37.25,3.72
370171.05,paper,Solar Decanter Centrifuge,346746.64,21.91,4.01
348470.26,textile,AI Optical Sorter,273395.04,44.9,6.58
574650.69,paper,Automated Compactor Baler,447605.26,16.51,4.96
541632.48,plastic,Solar Decanter Centrifuge,398058.22,37.77,7.15
602619.84,metal,Automated Compactor Baler,508123.1,16.94,4.7
753246.1,plastic,Solar Decanter Centrifuge,653753.63,24.02,6.6
68738.06,paper,Automated Compactor Baler,58526.23,34.75,3.01
445287.62,plastic,Automated Compactor Baler,395539.96,38.19,5.9
350860.98,plastic,Solar Decanter Centrifuge,247137.54,13.76,3.3
479577.71,textile,AI Optical Sorter,400610.76,22.23,3.64
678799.73,textile,Solar Decanter Centrifuge,626721.15,36.82,6.83
262848.46,metal,Automated Compactor Baler,228428.17,42.91,5.67
188075.99,textile,High-Shear Pelletizer Extruder,159970.68,23.6,3.53
632670.31,metal,Automated Compactor Baler,547321.23,41.13,7.26
762730.26,paper,AI Optical Sorter,537566.16,27.55,7.81
74758.95,textile,AI Optical Sorter,55443.17,37.64,3.82
420778.11,metal,Solar Decanter Centrifuge,316815.87,17.19,3.43
619232.62,paper,IoT Weighbridge Scales,574614.61,17.28,4.08
167570.32,plastic,Automated Compactor Baler,142170.21,39.17,5.16
282096.93,battery,Solar Decanter Centrifuge,226063.43,47.43,5.54
315911.16,battery,High-Shear Pelletizer Extruder,241590.02,43.63,5.32
197500.42,metal,AI Optical Sorter,168550.97,20.03,4.14
192670.95,textile,AI Optical Sorter,157463.21,14.56,2.7
663730.86,paper,AI Optical Sorter,559953.59,30.53,5.78
367611.51,battery,Solar Decanter Centrifuge,275449.74,15.51,3.41
175136.43,paper,IoT Weighbridge Scales,158562.89,24.75,3.65
557843.2,paper,Solar Decanter Centrifuge,395930.1,28.4,6.87
718230.41,battery,AI Optical Sorter,579034.37,24.3,7.19
219708.0,metal,High-Shear Pelletizer Extruder,197657.88,15.85,2.48
635524.48,textile,Automated Compactor Baler,505692.13,34.7,5.61
282778.17,plastic,Automated Compactor Baler,264127.29,45.87,4.84
181085.96,textile,Automated Compactor Baler,160144.8,21.1,2.94
734156.18,textile,Automated Compactor Baler,646251.01,21.26,5.65
589541.12,textile,Solar Decanter Centrifuge,456828.97,28.48,5.7
84647.36,metal,Automated Compactor Baler,78565.56,18.38,2.37
55282.19,plastic,Solar Decanter Centrifuge,42362.33,35.86,4.73
151809.39,textile,AI Optical Sorter,108610.6,38.44,4.61
441300.06,metal,IoT Weighbridge Scales,395154.31,19.34,3.89
349574.21,battery,IoT Weighbridge Scales,281071.73,18.0,3.4
789632.6,plastic,Automated Compactor Baler,566574.95,14.04,5.48
746572.57,metal,Solar Decanter Centrifuge,679930.79,28.05,5.95
581437.66,battery,AI Optical Sorter,516439.83,30.0,6.04
274905.7,battery,Automated Compactor Baler,236070.44,42.92,5.06
308577.33,paper,Automated Compactor Baler,284741.4,41.29,5.09
732662.49,metal,Solar Decanter Centrifuge,627666.56,13.04,5.47
532789.85,textile,High-Shear Pelletizer Extruder,432848.73,24.43,5.36
711481.67,plastic,High-Shear Pelletizer Extruder,649508.3,43.1,7.19
355080.31,battery,High-Shear Pelletizer Extruder,250329.22,33.12,5.78
55597.36,paper,AI Optical Sorter,40940.74,43.61,2.94
251892.3,metal,IoT Weighbridge Scales,198473.51,27.85,4.12
498224.33,textile,IoT Weighbridge Scales,432118.47,28.13,4.87
415925.15,metal,Solar Decanter Centrifuge,356323.35,24.91,4.57
414414.2,metal,AI Optical Sorter,380117.19,44.56,6.63
50560.78,metal,High-Shear Pelletizer Extruder,44484.65,34.27,4.09
397399.58,metal,IoT Weighbridge Scales,340923.57,31.55,4.83
147035.46,metal,AI Optical Sorter,125823.91,28.09,3.13
173424.54,metal,AI Optical Sorter,161570.34,37.58,5.04
364192.72,battery,Automated Compactor Baler,344578.75,35.99,5.81
132111.77,plastic,IoT Weighbridge Scales,124258.16,46.72,4.35
267077.28,paper,Solar Decanter Centrifuge,251910.24,12.18,2.03
431868.47,textile,Solar Decanter Centrifuge,346239.58,19.95,4.04
449981.27,battery,Automated Compactor Baler,338845.04,20.6,3.92
225743.8,battery,Automated Compactor Baler,163869.5,37.29,3.89
274593.29,metal,High-Shear Pelletizer Extruder,220219.55,47.29,6.87
73634.78,textile,High-Shear Pelletizer Extruder,63198.62,44.36,5.28
517807.79,textile,AI Optical Sorter,377450.82,42.39,6.87
77834.99,paper,Solar Decanter Centrifuge,67567.55,36.81,3.39
306102.05,battery,IoT Weighbridge Scales,276541.03,19.82,3.81
160889.33,textile,High-Shear Pelletizer Extruder,119978.91,32.43,4.07
332755.78,plastic,Solar Decanter Centrifuge,314692.15,31.31,3.77
576022.67,battery,High-Shear Pelletizer Extruder,410345.97,33.58,6.25
306255.93,paper,Solar Decanter Centrifuge,283531.03,37.69,5.62
144186.58,plastic,Automated Compactor Baler,118423.7,17.38,3.07
536192.72,battery,Solar Decanter Centrifuge,492277.8,34.07,5.61
520124.68,textile,AI Optical Sorter,468592.47,41.44,6.77
784210.52,textile,AI Optical Sorter,574918.58,31.69,6.57
363488.06,textile,Automated Compactor Baler,332242.05,15.57,3.43
118040.66,paper,AI Optical Sorter,85635.31,12.57,2.11
727151.02,paper,AI Optical Sorter,625204.78,20.48,5.75
585245.21,metal,AI Optical Sorter,466017.03,27.04,5.02
389950.6,textile,AI Optical Sorter,280660.1,18.9,3.76
405908.26,battery,AI Optical Sorter,320538.35,31.05,5.94
305724.92,metal,AI Optical Sorter,277593.76,26.53,4.41
299974.89,textile,AI Optical Sorter,278809.62,44.7,6.35
468080.73,metal,Automated Compactor Baler,418132.73,15.83,5.36
633821.31,textile,Solar Decanter Centrifuge,514559.99,19.58,5.57
267771.41,paper,High-Shear Pelletizer Extruder,217383.71,46.76,6.24
333011.36,plastic,AI Optical Sorter,274527.61,21.93,3.66
548024.77,battery,IoT Weighbridge Scales,489915.66,24.19,5.27
472802.83,textile,Automated Compactor Baler,399923.37,28.65,5.56
187673.09,metal,High-Shear Pelletizer Extruder,173874.97,16.56,3.17
183889.84,paper,Automated Compactor Baler,137732.58,45.98,5.48
742464.52,metal,Automated Compactor Baler,689507.22,29.77,6.83
390179.61,paper,Automated Compactor Baler,324636.07,19.27,3.72
677871.47,plastic,IoT Weighbridge Scales,597804.08,16.15,4.48
491094.55,battery,Solar Decanter Centrifuge,368408.43,43.69,6.46
515417.64,paper,IoT Weighbridge Scales,450911.15,16.03,3.59
687098.32,battery,High-Shear Pelletizer Extruder,561929.93,47.32,7.84
617404.38,metal,Automated Compactor Baler,528666.63,46.06,7.9
484828.58,paper,High-Shear Pelletizer Extruder,345479.51,14.26,4.37
152042.18,textile,IoT Weighbridge Scales,141519.87,12.57,2.59
597442.64,textile,IoT Weighbridge Scales,427421.6,28.2,5.99
537157.22,metal,AI Optical Sorter,437780.67,22.06,4.06
327043.37,metal,High-Shear Pelletizer Extruder,301076.88,32.58,5.62
430814.11,paper,IoT Weighbridge Scales,327533.36,12.57,2.86
320074.72,battery,Automated Compactor Baler,231455.36,15.63,3.2
247002.3,paper,Solar Decanter Centrifuge,230123.74,29.41,4.76
286665.11,paper,Automated Compactor Baler,264359.16,36.93,4.95
440145.96,metal,AI Optical Sorter,393993.65,25.02,4.4
354813.91,paper,Solar Decanter Centrifuge,259135.85,47.49,6.21
483922.95,paper,Solar Decanter Centrifuge,405781.4,18.28,5.04
334027.52,paper,High-Shear Pelletizer Extruder,287615.48,35.43,6.21
617695.13,metal,AI Optical Sorter,458142.53,40.71,7.34
590083.5,paper,AI Optical Sorter,481480.08,18.26,5.43
514686.94,textile,High-Shear Pelletizer Extruder,467887.92,19.76,3.23
140361.37,battery,Solar Decanter Centrifuge,132457.62,42.33,5.17
123032.55,paper,Solar Decanter Centrifuge,115062.5,36.15,4.23
548317.84,textile,AI Optical Sorter,498357.89,46.62,7.75
505094.67,paper,Solar Decanter Centrifuge,424614.83,39.44,7.25
585205.52,plastic,Solar Decanter Centrifuge,424639.22,31.28,5.9
608447.73,metal,Solar Decanter Centrifuge,576903.6,37.14,6.44
270345.85,metal,High-Shear Pelletizer Extruder,236768.88,12.78,1.99
474202.65,textile,High-Shear Pelletizer Extruder,333543.9,25.06,5.13
500818.38,plastic,AI Optical Sorter,416211.96,36.15,5.56
750059.85,textile,Solar Decanter Centrifuge,633273.03,35.32,6.71
71974.58,battery,AI Optical Sorter,56859.78,14.76,0.88
551503.16,plastic,High-Shear Pelletizer Extruder,480166.13,43.37,5.87
228114.53,plastic,High-Shear Pelletizer Extruder,181714.22,21.62,2.79
144279.43,plastic,IoT Weighbridge Scales,133469.74,35.93,4.21
128914.67,paper,High-Shear Pelletizer Extruder,116208.96,41.71,4.67
573398.3,metal,Solar Decanter Centrifuge,544633.24,18.31,5.32
57585.82,battery,Automated Compactor Baler,46742.18,28.11,2.49
686361.66,paper,AI Optical Sorter,573386.0,34.66,6.5
242685.71,paper,High-Shear Pelletizer Extruder,208231.77,30.13,3.5
504789.59,battery,AI Optical Sorter,358327.11,38.69,6.67
670707.7,metal,High-Shear Pelletizer Extruder,487310.34,18.25,5.8
719044.15,battery,Solar Decanter Centrifuge,551166.74,41.99,8.61
370092.78,plastic,IoT Weighbridge Scales,328472.22,36.96,4.3
380452.34,metal,Solar Decanter Centrifuge,331393.87,43.77,6.27
202633.33,paper,AI Optical Sorter,175294.84,30.82,4.06
274436.31,paper,Automated Compactor Baler,206395.16,19.39,3.1
192139.28,plastic,Automated Compactor Baler,177052.61,39.9,5.45
252063.42,paper,High-Shear Pelletizer Extruder,185096.68,24.11,4.06
490061.09,plastic,Solar Decanter Centrifuge,459133.96,39.61,6.78
591086.87,battery,Automated Compactor Baler,544041.58,30.55,5.08
630989.46,battery,IoT Weighbridge Scales,528880.21,16.13,4.82
251646.16,battery,IoT Weighbridge Scales,178196.09,33.43,3.96
454395.35,battery,AI Optical Sorter,325301.79,31.86,4.37
729989.97,plastic,Solar Decanter Centrifuge,585034.85,13.48,4.57
310466.36,paper,IoT Weighbridge Scales,285876.88,46.14,7.3
688976.94,battery,High-Shear Pelletizer Extruder,527308.04,46.08,7.98
594727.63,metal,High-Shear Pelletizer Extruder,512583.82,46.88,7.9
437848.92,paper,Solar Decanter Centrifuge,386134.92,34.68,5.78
319842.06,battery,Automated Compactor Baler,263262.14,42.12,5.5
99348.66,plastic,AI Optical Sorter,93537.3,16.7,1.7
328877.59,plastic,Automated Compactor Baler,294384.18,19.24,3.54
57476.93,paper,High-Shear Pelletizer Extruder,51838.81,39.77,3.77
736354.12,battery,Automated Compactor Baler,685392.65,19.44,6.43
207063.25,plastic,High-Shear Pelletizer Extruder,183107.03,34.58,4.92
403774.08,textile,Solar Decanter Centrifuge,374273.41,38.27,5.64
319598.47,textile,Automated Compactor Baler,242303.89,16.16,3.33
294579.54,metal,AI Optical Sorter,224643.32,36.1,5.02
505229.84,metal,AI Optical Sorter,424260.85,24.11,5.53
439266.27,plastic,AI Optical Sorter,383958.52,36.19,6.29
612703.87,plastic,Solar Decanter Centrifuge,502986.04,22.61,4.81
244028.8,plastic,High-Shear Pelletizer Extruder,204616.32,12.06,2.8
495236.44,textile,AI Optical Sorter,396605.68,36.35,5.9
192449.57,paper,Solar Decanter Centrifuge,161663.22,25.91,4.49
54398.55,paper,AI Optical Sorter,39138.11,37.44,2.82
740028.62,paper,Solar Decanter Centrifuge,586563.6,32.48,6.73
551865.62,plastic,High-Shear Pelletizer Extruder,485506.46,22.33,5.12
237415.7,plastic,High-Shear Pelletizer Extruder,188984.03,42.76,4.96
138126.38,paper,IoT Weighbridge Scales,128483.66,32.94,4.54
450110.16,plastic,IoT Weighbridge Scales,338964.18,30.72,4.31
663944.92,paper,IoT Weighbridge Scales,515943.65,43.3,7.54
623071.69,textile,Solar Decanter Centrifuge,441810.91,15.67,4.18
328453.19,metal,High-Shear Pelletizer Extruder,255019.44,30.88,5.12
