investment,equipment_cost,recycling_volume_kg,energy_savings_kwh,roi,npv,irr
906685.33,117666.92,4281.71,8798.03,-20.0,-668271.52,1.74
419934.69,280045.26,48435.22,852.33,150.0,964235.16,11.91
665902.11,55570.6,19397.98,8077.38,47.86,130360.41,5.91
461798.62,498647.53,28393.9,3347.39,36.1,83378.12,5.44
259105.76,188249.86,19254.13,873.39,88.78,227015.0,7.55
401095.49,242834.49,36414.15,6635.95,150.0,750867.24,10.85
723327.37,24014.57,11665.7,6684.51,-6.83,-191295.15,3.73
509789.9,22550.47,40420.24,7773.53,150.0,1025667.88,14.66
570998.2,51902.4,38559.24,5920.39,150.0,827554.64,11.66
792861.98,380838.56,40347.1,5276.48,59.58,322005.53,6.38
183308.29,342155.59,31403.22,7474.08,150.0,719350.59,11.87
211386.96,113588.1,44630.07,7549.78,150.0,1370546.27,26.13
912817.06,384183.35,30260.61,6610.5,14.45,-111651.89,4.58
894671.53,297827.24,31987.17,1733.47,18.36,-65389.4,4.73
500225.16,363870.61,14276.19,2182.09,-20.0,-327315.12,3.11
348135.47,135920.3,11530.72,4363.54,28.28,11808.24,5.13
912446.59,263388.63,10208.1,954.32,-20.0,-806530.41,1.57
711348.34,203743.41,41269.72,6663.21,113.52,645146.83,8.54
806429.38,150534.1,34925.59,2787.81,63.85,295127.78,6.55
942115.06,325459.66,16901.08,2841.22,-20.0,-625920.41,2.54
231380.26,353427.66,11717.07,6033.97,16.11,-42602.35,4.64
301403.28,337745.09,40932.05,7824.65,150.0,937454.17,12.36
772808.76,110106.75,5330.86,7049.7,-20.0,-533112.11,1.98
399929.85,227526.19,2526.31,2743.85,-20.0,-475985.83,1.21
81992.58,442009.17,12926.44,5661.9,37.26,50334.19,5.49
87030.35,340086.75,16828.34,8999.61,130.66,359600.64,9.23
893712.28,176139.5,45147.08,9962.35,107.28,701012.09,8.29
834144.88,425538.25,13201.43,5851.68,-20.0,-671468.14,2.34
113893.12,65560.61,49945.74,3401.06,150.0,1597083.28,45.0
760774.72,407199.23,43043.14,9976.76,82.25,531831.47,7.29
279421.66,39368.4,21148.38,1474.79,150.0,434275.02,11.83
71304.59,193004.88,39403.17,5748.57,150.0,1210671.11,27.95
347139.09,334084.16,12368.89,340.94,-20.0,-253279.79,3.15
776135.72,319396.68,38352.83,581.59,50.38,220020.04,6.02
845263.65,317372.58,28606.37,6321.22,20.88,-40359.42,4.84
871211.58,301729.52,29466.57,9908.66,32.11,64470.67,5.28
768893.66,232301.03,35662.45,4014.46,63.41,305290.32,6.54
267431.69,306488.9,46480.92,9305.57,150.0,1226477.2,15.71
374810.01,273285.18,11370.16,9957.18,20.65,-23677.43,4.83
982062.01,331764.29,40416.29,7207.98,47.2,230499.42,5.89
613500.31,45607.04,23283.45,6812.91,81.14,294299.04,7.25
693655.03,199098.86,47142.91,1840.1,130.61,751265.65,9.22
525341.47,351624.31,35159.65,6556.66,92.82,473356.91,7.71
311523.8,94979.15,32161.08,6073.16,150.0,830471.0,15.24
220388.21,358466.79,23303.43,6744.05,106.05,373579.86,8.24
845498.73,101469.65,1938.1,7835.21,-20.0,-693490.9,1.34
629212.55,355826.99,42069.59,8067.55,106.08,635988.07,8.24
962874.14,277248.84,24936.29,4138.49,-4.53,-294691.57,3.82
196006.49,294851.47,14573.61,9228.81,82.59,224829.71,7.3
604031.26,304563.29,18391.31,709.5,-11.63,-267432.81,3.53
80156.58,223200.87,5143.7,6147.1,32.85,18471.28,5.31
886924.36,443799.11,33293.23,2270.07,11.45,-146434.38,4.46
869846.99,445324.85,10636.03,7426.78,-20.0,-776288.25,2.05
322193.57,405267.35,49864.66,494.25,150.0,976688.07,11.73
902497.57,318862.66,48695.75,4757.09,81.13,545239.96,7.25
855018.53,49949.15,17428.67,856.76,-15.31,-292947.94,3.39
976575.98,412147.48,42774.82,9392.06,51.2,287968.64,6.05
130848.31,205086.84,4480.71,2265.77,-20.0,-129589.24,3.08
267897.49,245171.46,14159.55,1189.59,24.25,-4023.75,4.97
209116.53,90692.27,48680.76,7641.07,150.0,1535372.03,30.66
969373.39,231075.43,14640.06,8023.27,-20.0,-511386.48,2.88
359941.22,163704.02,12392.79,1470.85,9.01,-67822.01,4.36
293639.91,190553.48,34025.72,813.14,150.0,690052.26,12.15
249981.59,408331.35,8199.17,3557.92,-20.0,-294814.56,2.77
871425.98,94364.15,5054.1,4948.47,-20.0,-675716.84,1.5
337298.54,290436.01,40386.44,1544.06,150.0,779891.65,11.23
601664.13,262644.2,8059.86,6315.19,-20.0,-439484.29,2.46
309958.4,254160.47,5031.34,4703.92,-20.0,-280676.52,2.52
341140.29,414742.98,3791.96,4302.35,-20.0,-524123.44,1.54
485509.85,368002.92,29140.09,6738.68,68.79,296878.27,6.75
788196.82,433857.43,16379.9,5472.62,-20.0,-535049.08,2.82
848102.67,494936.54,44586.45,3840.38,49.67,262138.29,5.99
235408.19,254908.42,37340.43,5027.18,150.0,897376.62,14.18
509021.82,422350.6,18708.79,8625.99,13.16,-89786.6,4.53
436464.56,177551.89,23245.51,7671.98,98.38,358682.29,7.94
169701.93,114281.22,47620.8,1919.82,150.0,1378164.78,29.32
589340.95,298070.94,24991.6,6518.5,41.73,116912.83,5.67
268335.39,285277.89,19236.49,6684.34,83.9,259367.15,7.36
184162.37,294021.16,10078.25,2930.7,7.96,-65938.95,4.32
257774.31,107762.13,41459.84,2999.93,150.0,1113396.16,20.27
930767.59,485564.73,28991.76,1601.41,-9.61,-394045.03,3.62
405820.83,402911.49,19002.15,1052.77,3.76,-138616.42,4.15
578945.67,425658.01,40000.39,1916.21,74.94,398836.22,7.0
689126.38,125842.05,11692.17,8765.9,-6.76,-208160.92,3.73
287185.51,146358.73,1032.02,8732.56,-20.0,-189320.23,2.82
802965.07,321117.89,37763.02,1690.08,47.29,198007.73,5.89
485407.41,188585.31,5595.05,4964.08,-20.0,-365186.96,2.3
924702.67,39228.38,15281.58,2233.9,-20.0,-391788.16,2.97
276239.32,456048.58,23935.38,4769.73,58.45,194296.98,6.34
772546.86,94156.26,24876.0,4413.86,37.26,83278.99,5.49
617065.16,499787.7,38703.0,4099.08,58.29,294849.51,6.33
836175.4,101940.01,2492.72,2203.59,-20.0,-800727.5,0.73
373390.98,265078.76,31141.33,9123.94,150.0,636981.13,10.01
534361.31,260612.31,3461.91,542.13,-20.0,-664495.8,0.82
573601.96,230325.73,42119.84,1774.66,129.29,668051.11,9.17
73723.08,235538.61,12636.45,686.22,80.31,136033.86,7.21
738368.37,73564.64,30807.66,2954.29,72.18,304391.97,6.89
214821.25,202280.73,40270.84,4042.52,150.0,1046454.9,17.58
763231.17,80233.42,38865.8,2521.95,104.8,535980.7,8.19
693523.47,291575.15,46528.09,3995.76,112.9,689696.86,8.52
112856.93,29194.63,41516.07,5342.41,150.0,1394906.42,45.0
786481.85,132524.29,17909.1,495.02,-15.56,-299347.57,3.38
963417.71,340576.6,46727.05,2801.86,58.74,348952.15,6.35
630890.43,345679.98,16559.94,8511.47,-1.78,-210655.74,3.93
949803.39,444730.46,37214.28,2919.15,19.69,-61622.23,4.79
317535.24,482412.95,1503.94,7217.29,-20.0,-576008.14,1.4
720933.85,318890.98,49515.33,3256.42,111.78,718639.91,8.47
372973.27,57890.91,22697.11,2758.28,143.09,405509.06,9.72
376217.37,420594.46,46838.74,2020.18,150.0,841199.08,10.3
403883.48,465742.67,4028.61,1105.13,-20.0,-706428.03,0.94
204651.44,305702.16,8373.14,9687.15,26.67,5882.22,5.07
474378.8,260728.62,13086.27,4815.41,-4.69,-175625.83,3.81
678817.95,380565.03,37939.54,5863.33,68.81,368673.87,6.75
909141.79,412355.77,38095.36,744.93,24.21,-10770.13,4.97
56534.06,121974.69,33512.66,4229.74,150.0,1060173.59,34.76
432285.95,444601.71,44882.58,9109.92,148.7,864578.47,9.95
348184.17,351706.79,14310.03,2067.98,-4.24,-164695.82,3.83
225400.83,184211.66,22067.92,8343.3,150.0,539203.78,11.6
163896.54,372764.41,27041.29,3021.86,131.04,453459.91,9.24
518178.61,163972.19,30208.02,4451.67,107.78,449695.28,8.31
206185.25,75959.88,27788.09,9043.65,150.0,877579.98,20.59
376759.8,371840.05,33274.41,9329.24,126.29,604161.78,9.05
829931.97,291970.52,33194.49,9004.19,49.83,220360.09,5.99
429542.85,176861.46,1529.74,8300.2,-20.0,-355646.07,2.07
810931.67,70138.17,29266.01,4747.02,57.33,225881.97,6.29
162773.64,490672.75,11520.1,858.89,-20.0,-241900.97,3.15
615105.01,374656.01,2589.73,6655.43,-20.0,-742431.42,1.25
555677.28,69567.2,9453.67,5766.15,-8.07,-166270.16,3.68
331539.73,470391.55,41118.27,9838.96,150.0,829246.71,10.19
296687.3,485467.34,22130.46,3605.68,34.08,55288.39,5.36
97832.05,45327.32,34908.55,4687.7,150.0,1153868.14,45.0
265195.54,314705.75,13390.05,5860.79,28.45,14933.26,5.14
391248.31,415305.07,41214.11,4878.03,135.31,709032.06,9.41
383278.15,194028.7,40480.01,3416.16,150.0,878343.6,12.63
248606.41,60650.4,23867.96,4924.89,150.0,618757.02,15.03
848863.27,126194.57,19668.57,8122.38,10.72,-112963.39,4.43
832442.43,204613.32,23497.08,3172.2,5.47,-163617.02,4.22
935927.13,76949.01,46753.72,6901.89,116.62,739196.82,8.66
554993.55,35676.35,24304.21,4195.93,96.19,334686.18,7.85
203157.87,335076.61,48586.39,5709.45,150.0,1247469.37,16.62
729015.61,52856.22,21465.68,1340.31,21.82,-21259.84,4.87
632156.04,470471.44,33427.11,952.67,31.43,54645.33,5.26
386932.89,284318.42,20757.18,8369.71,68.83,233713.57,6.75
823937.45,313678.89,19299.44,2702.3,-20.0,-417894.37,3.17
150580.6,190350.89,21245.45,6823.06,150.0,543552.57,13.0
675251.83,53651.91,20367.71,1981.43,26.91,9803.92,5.08
198972.07,417105.03,3053.85,4307.99,-20.0,-409232.2,1.68
209793.47,442078.5,28294.99,2467.53,95.83,367517.03,7.83
527305.92,371113.45,47947.78,2360.37,134.7,785379.82,9.39
891872.68,468465.97,45904.61,6427.06,57.59,351541.84,6.3
648329.62,213541.1,37867.5,5406.68,105.55,552801.56,8.22
693566.17,225659.79,36843.33,8279.82,97.37,529517.71,7.89
189114.44,419806.26,27474.53,8477.73,133.53,526605.47,9.34
459736.62,201939.43,45837.98,2661.46,150.0,957733.39,12.26
852001.71,252329.87,26190.68,3222.99,9.55,-138260.71,4.38
594390.09,176101.37,2924.2,2865.59,-20.0,-602601.09,1.09
56060.09,489610.3,48321.61,4072.52,150.0,1191832.62,15.95
741952.31,185986.93,33883.56,8093.21,81.35,415885.53,7.25
949418.43,212101.89,39381.6,2806.1,51.34,242237.48,6.05
990815.69,32369.41,30572.91,6663.16,46.53,174023.82,5.86
703643.28,77786.04,46987.96,1975.6,150.0,860577.6,10.53
641615.73,126884.52,16053.6,5555.29,10.47,-90588.4,4.42
446333.75,96908.29,9375.88,4297.82,-2.91,-122083.29,3.88
769418.83,451023.03,5122.26,4052.42,-20.0,-949521.79,1.11
145233.29,27964.39,33424.22,6104.0,150.0,1107383.65,37.04
204868.16,132230.16,2161.68,8382.48,1.85,-62922.21,4.07
975956.07,85020.58,12342.29,8710.41,-20.0,-433434.8,2.96
930140.61,221421.14,3480.5,586.04,-20.0,-1019401.06,0.57
595252.37,208589.65,2403.97,5915.87,-20.0,-580533.84,1.39
60737.41,397938.54,16015.21,594.53,52.28,99091.43,6.09
608934.61,210888.52,48716.22,5533.15,150.0,966063.18,10.91
311477.22,360530.66,14303.11,9061.58,30.91,30493.18,5.24
405985.87,283936.91,3478.08,4375.99,-20.0,-467051.2,1.62
840745.36,406711.43,11991.61,2415.57,-20.0,-782616.99,1.87
826440.05,466591.24,5672.69,4610.57,-20.0,-990059.37,1.17
370581.57,437930.46,5092.72,2269.03,-20.0,-581317.51,1.41
764844.92,44621.05,25134.23,4532.65,48.76,152125.86,5.95
367681.12,209394.71,26967.09,1781.4,107.87,380809.86,8.31
593396.08,406607.52,38247.89,1708.22,67.68,338977.03,6.71
191787.0,148723.7,18692.66,4202.86,150.0,394566.44,10.81
695712.36,47206.61,2698.96,4040.72,-20.0,-554520.85,1.27
712305.51,112848.96,32433.72,2746.32,77.04,341373.7,7.08
891781.8,449931.17,15567.07,2453.94,-20.0,-754609.91,2.19
440738.77,135455.16,33946.81,8295.43,150.0,774621.62,11.74
689437.52,415688.21,20452.62,1731.91,-16.64,-369514.14,3.33
751053.4,193027.76,33892.27,2852.31,61.64,274486.6,6.47
127168.15,496439.26,8653.87,9886.53,6.54,-93067.75,4.26
978415.94,401032.69,33311.73,5862.51,15.38,-108470.33,4.62
872796.47,158930.97,23916.38,6270.02,16.75,-69846.24,4.67
440630.95,225193.5,17183.95,5729.47,35.5,54621.73,5.42
858045.8,116733.62,46787.22,6953.06,125.39,779656.16,9.02
832109.55,286971.53,39196.32,358.76,49.82,219759.59,5.99
827461.4,39266.65,44605.76,9921.23,150.0,884779.33,10.12
329364.09,120952.91,38502.8,2679.66,150.0,920587.14,15.25
872284.26,69364.44,7171.8,9795.69,-20.0,-463583.77,2.54
690146.95,426505.87,16892.14,6829.54,-17.36,-379756.54,3.31
614529.74,309512.06,34444.09,5838.52,77.38,384792.07,7.1
457609.25,152442.89,38660.49,2417.47,150.0,759922.3,11.25
707736.59,131999.75,31641.18,7521.37,87.01,414286.91,7.48
257778.19,48772.78,7417.71,6138.77,62.91,92253.62,6.52
856974.09,41598.47,36973.41,3544.92,86.71,441155.48,7.47
504601.95,465852.58,17266.6,4760.3,-9.67,-270420.9,3.61
62998.29,59167.39,13670.99,472.95,150.0,353130.95,19.49
649806.56,224671.21,27859.11,1911.54,41.95,116799.26,5.68
331135.43,338635.75,48299.83,694.08,150.0,986057.94,12.38
895865.1,296902.98,28632.06,5102.73,14.85,-98809.94,4.59
115924.38,63140.89,30444.69,3541.39,150.0,939006.19,31.28
921404.66,215163.46,8020.79,7204.24,-20.0,-691771.46,1.96
328685.75,272225.75,35193.81,9022.59,150.0,809644.62,11.76
802581.64,344653.31,34302.03,9470.06,51.84,243775.68,6.07
331032.89,20533.81,14325.77,2335.34,93.11,190567.81,7.72
678742.86,324181.57,30079.61,359.19,28.54,26523.11,5.14
742339.15,175294.6,33587.74,5654.47,74.05,357728.2,6.96
375594.38,84596.61,5626.53,8348.88,6.39,-69229.82,4.26
922477.66,331898.26,6068.27,4139.87,-20.0,-949254.99,1.22
742492.24,394314.02,6792.71,200.3,-20.0,-901476.48,1.04
726530.19,191166.16,13469.59,326.4,-20.0,-452745.89,2.54
563284.44,428552.35,47923.95,5744.3,122.73,772219.9,8.91
538738.26,60827.07,27894.77,3923.79,117.36,441127.72,8.69
626778.52,206588.65,12774.66,1130.66,-20.0,-372734.02,2.77
349172.52,66389.52,9667.95,9875.89,70.17,149138.7,6.81
471898.38,275298.45,43807.31,9956.58,150.0,978059.44,11.57
603578.73,409987.43,17020.11,3196.29,-19.17,-359365.89,3.23
432568.53,342803.49,34427.39,3289.35,101.43,471826.49,8.06
176549.43,323550.2,7287.97,5869.23,-2.86,-112155.62,3.89
708751.02,356293.52,37920.13,8754.02,75.98,431603.92,7.04
524961.04,370519.61,31339.46,2029.07,55.54,216728.15,6.22
74405.16,156579.87,22708.65,6247.64,150.0,689372.04,19.96
857461.36,114197.94,7151.94,9642.1,-20.0,-497947.79,2.44
152642.33,249675.71,29692.62,5505.47,150.0,737281.69,14.19
131730.55,47372.92,6168.69,5938.76,145.85,172520.14,9.83
567127.64,132195.58,32250.93,8236.66,131.33,592529.68,9.25
89500.01,259102.37,34776.21,2672.66,150.0,895660.73,17.88
342382.36,314546.19,44998.83,8137.26,150.0,1065181.61,13.13
603973.71,370506.42,18876.3,6481.46,2.28,-178583.97,4.09
492872.51,111169.35,35385.18,5653.35,150.0,732294.68,11.08
390690.5,457442.81,2025.77,3294.58,-20.0,-700456.86,0.87
104037.33,387933.11,35403.27,3447.25,150.0,792130.09,13.07
691879.76,210049.87,38056.44,4651.0,94.8,501051.6,7.79
441665.74,468670.36,13293.08,1380.38,-20.0,-426126.39,2.66
605315.96,485274.47,19514.12,807.96,-20.0,-408963.78,3.13
372340.0,262847.19,8934.23,6649.4,-8.82,-172682.28,3.65
997861.92,236834.95,18381.7,4126.9,-20.0,-511993.0,2.93
159388.87,443971.33,21326.46,3995.29,70.09,216130.05,6.8
676705.76,232176.04,32763.44,802.17,55.85,222262.06,6.23
823037.18,471441.9,32789.5,9554.75,29.8,47228.25,5.19
193860.7,249159.77,30488.53,5901.02,150.0,733066.69,13.3
431388.69,182280.52,7214.38,4039.08,-20.0,-272066.27,2.79
204527.77,372495.52,11232.72,773.94,-13.24,-177266.28,3.47
574747.83,305710.27,43723.74,5854.42,131.0,743689.73,9.24
378206.81,405445.7,27473.67,976.95,52.74,172153.72,6.11
587558.03,455848.9,20419.32,3103.99,-7.9,-276055.32,3.68
186295.98,92693.85,22205.8,6037.66,150.0,619271.29,16.13
126584.63,470992.92,38001.55,5948.91,150.0,834634.04,12.01
837016.74,58489.64,24365.11,6374.91,36.99,84116.48,5.48
837220.26,396065.39,14576.39,9420.63,-20.0,-512908.54,2.93
168128.55,440064.14,48576.07,1936.1,150.0,1086765.59,13.96
735962.76,39337.05,20865.72,5259.58,34.73,58841.46,5.39
601612.96,469249.88,33940.28,4916.52,48.47,198785.23,5.94
819191.28,476255.75,2081.24,9828.71,-20.0,-989354.7,1.18
131825.53,410905.65,14736.4,1495.36,23.66,-6783.38,4.95
467862.86,329099.16,19666.64,734.74,7.64,-111913.23,4.31
619488.08,453153.57,19777.55,2320.06,-15.15,-345850.38,3.39
470448.48,43214.1,41203.89,8298.14,150.0,1083508.95,15.58
608600.44,189489.39,40189.38,5635.93,135.2,700874.81,9.41
834635.69,323100.22,39435.87,6065.92,60.49,325956.67,6.42
443434.01,479814.01,27514.58,6129.88,46.58,157391.61,5.86
259463.26,320312.38,29008.77,2011.42,123.05,452911.2,8.92
106607.74,310092.47,38420.92,5329.33,150.0,1014901.26,17.21
265433.99,339930.55,4925.18,4529.97,-20.0,-329692.44,2.28
205198.42,108540.34,10912.4,3989.73,85.97,152185.76,7.44
98592.7,210940.85,26073.66,4936.28,150.0,693610.32,16.23
413644.9,422790.37,8121.01,5155.83,-20.0,-437309.85,2.39
108939.35,54154.73,29119.43,5746.98,150.0,962838.22,34.58
884131.84,287779.36,48029.76,677.21,75.92,474347.9,7.04
143107.3,41151.61,10078.57,5504.45,150.0,289653.77,12.88
663293.57,41880.88,47352.57,8453.22,150.0,1104386.42,12.85
331781.86,57050.01,9324.47,1444.06,13.06,-37783.63,4.52
167119.59,268909.61,13046.52,3709.77,52.69,95616.41,6.11
990030.07,348470.84,47500.05,1597.05,54.4,311817.01,6.18
413032.5,286271.27,4761.15,241.04,-20.0,-531945.51,1.2
686912.62,328073.37,21128.65,4998.51,3.25,-178175.41,4.13
444670.85,31522.42,17433.21,1935.41,67.78,161820.67,6.71
143502.98,479225.81,30368.63,7340.83,142.62,583781.6,9.7
349595.56,208710.62,12609.28,1150.26,2.17,-102816.12,4.09
220080.06,402806.74,34199.74,5559.9,150.0,670979.82,10.41
501335.38,462768.46,4564.01,2949.89,-20.0,-738541.94,1.17
382440.96,395564.39,49633.22,2558.57,150.0,967742.29,11.24
880591.97,418698.93,12008.21,4113.46,-20.0,-793212.65,1.95
439189.23,489545.92,9863.7,8031.75,-20.0,-401569.79,2.84
367483.08,370817.77,21580.54,5867.93,48.07,134673.81,5.92
840981.18,405999.47,43454.74,784.25,49.99,246575.4,6.0
707448.03,87193.94,21375.11,5576.17,35.37,64371.36,5.41
432602.51,269413.6,49829.79,1525.13,150.0,1025645.43,12.33
691683.24,210080.46,7517.48,1755.62,-20.0,-604577.1,1.65
951809.45,442208.72,45445.06,9917.02,59.89,385872.49,6.4
247899.62,190610.88,33791.73,4941.26,150.0,826688.73,14.45
447470.06,191749.4,30095.25,5840.82,127.51,522078.33,9.1
203384.94,246435.12,28120.12,5788.81,150.0,643199.75,12.17
249601.83,376290.27,2234.76,3677.35,-20.0,-461953.28,1.31
791202.02,290668.6,13796.96,7010.54,-20.0,-445682.6,2.95
589021.4,402196.93,37016.23,6179.06,77.41,413067.04,7.1
513768.79,83927.42,13805.32,4307.17,19.78,-25987.05,4.79
619334.32,266579.77,15121.04,263.35,-20.0,-366426.75,2.94
521427.26,157100.47,36995.81,434.67,133.65,587450.41,9.35
605586.42,471907.63,9546.05,4822.17,-20.0,-637998.69,2.04
136850.89,320327.32,27976.05,4192.18,150.0,592703.05,11.5
545308.17,450355.84,10618.42,421.13,-20.0,-625206.91,1.86
868581.64,297016.2,44642.26,6050.06,78.35,494409.79,7.13
819653.04,226243.21,37743.14,9147.81,79.61,454178.88,7.18
593516.82,106776.87,14171.08,2146.72,-4.8,-167927.66,3.81
284514.18,167079.42,28201.56,5962.32,150.0,648346.64,12.2
455174.76,315401.97,4997.17,1060.32,-20.0,-575581.14,1.27
213237.99,268677.2,11485.74,2976.19,19.82,-20813.45,4.79
430297.19,409695.74,1679.24,6563.91,-20.0,-625755.87,1.28
685432.7,403354.77,46704.89,397.35,83.4,505803.91,7.34
196094.52,445362.22,23467.41,5732.99,82.3,292321.99,7.29
679875.84,345951.97,46655.28,9970.1,122.45,796407.13,8.9
734149.59,157866.18,44107.87,682.36,112.45,621265.52,8.5
269526.81,450745.14,13553.38,2362.38,-10.19,-203702.92,3.59
181219.03,432373.64,25502.85,6813.95,109.96,415160.95,8.4
277113.06,383859.4,38240.27,3263.46,150.0,715007.54,10.43
440148.5,120651.33,48851.49,6526.91,150.0,1253484.0,16.21
937816.69,165625.06,39312.65,7705.41,72.37,415345.44,6.89
707072.87,483506.71,20284.21,1481.03,-20.0,-466693.36,3.05
688123.42,370068.7,29177.97,2226.82,23.5,-14603.04,4.94
529233.14,169851.07,21945.86,6523.14,61.41,201985.24,6.46
757954.01,131467.85,20860.94,2837.78,9.25,-113459.77,4.37
238700.03,396025.87,45553.38,3828.28,150.0,1002977.55,12.92
763714.98,450557.74,42460.09,1991.57,53.53,274449.79,6.14
958477.29,200804.69,17622.79,811.83,-20.0,-541750.69,2.67
511864.97,72326.54,13178.45,3306.04,12.85,-57740.46,4.51
818385.01,440234.55,15820.85,8615.24,-20.0,-515302.04,2.96
864369.39,387032.46,8188.06,6965.16,-20.0,-806655.88,1.78
947772.86,347619.43,17249.23,5105.68,-20.0,-587674.53,2.74
663438.79,265073.8,6877.69,3258.23,-20.0,-617042.21,1.68
812276.23,433480.66,7727.7,9533.39,-20.0,-755109.51,1.97
362381.49,337910.59,37839.43,8157.07,150.0,779316.87,10.58
948462.22,170201.38,43066.82,1490.53,67.62,378647.1,6.7
719788.86,376149.31,34208.44,2672.68,39.97,129056.56,5.6
879390.99,101052.06,3628.1,7231.16,-20.0,-684080.83,1.51
501701.93,427567.05,19786.46,1849.13,-3.54,-213457.16,3.86
844620.08,283476.62,10270.59,7259.76,-20.0,-605616.15,2.32
535557.96,310070.23,23584.02,8321.35,48.05,154115.45,5.92
838084.58,360506.63,6164.67,8420.77,-20.0,-787644.41,1.72
687462.33,354571.6,18786.16,8816.94,2.0,-193247.7,4.08
739103.02,74043.42,20981.12,8886.53,42.45,111799.64,5.7
94836.87,481479.98,34278.97,6387.48,150.0,740064.15,11.44
307031.29,139420.06,47160.85,3123.07,150.0,1228912.41,18.8
786730.03,208698.46,7823.45,305.01,-20.0,-722609.09,1.37
567044.47,488373.83,19087.67,3700.48,-12.62,-318970.39,3.5
376887.04,269861.04,22592.58,8823.16,89.39,331369.67,7.58
530244.75,263723.76,7780.21,9830.85,-20.0,-294413.19,3.15
287474.25,55214.75,33494.17,6034.59,150.0,938603.42,18.73
444388.37,222652.27,39468.13,2117.98,150.0,723169.19,10.44
829240.65,331398.61,21529.52,4688.68,-9.04,-317646.45,3.64
293814.85,381014.88,26130.86,3344.37,79.44,292119.11,7.18
616247.61,497952.54,22327.85,9222.78,10.0,-135493.51,4.4
377766.0,46271.7,11007.86,4303.21,40.77,52636.43,5.63
258653.18,20108.98,45835.08,8470.02,150.0,1479700.21,31.6
755177.62,100551.01,6897.82,862.53,-20.0,-600967.42,1.49
737827.73,465827.82,22096.26,1367.58,-18.57,-420989.99,3.26
536773.18,187439.32,19366.42,6289.04,39.7,83707.68,5.59
732782.21,73089.73,2743.92,9944.44,-20.0,-474517.12,2.06
271091.93,45838.65,10303.89,581.79,43.68,46700.68,5.75
422220.35,405152.86,17720.98,4553.0,7.54,-116885.24,4.3
691807.43,264269.15,43210.84,8687.15,119.34,718526.0,8.77
59415.16,393462.23,23575.95,9890.64,150.0,584186.6,11.47
509070.47,493710.05,37973.9,2636.33,68.83,349135.55,6.75
561475.23,496225.11,43019.0,1154.2,76.13,429930.21,7.05
721053.4,185878.2,1342.13,4154.11,-20.0,-761865.29,0.8
273016.7,413057.25,17529.2,8309.73,44.92,107902.76,5.8
50568.04,167753.19,12817.1,2488.96,150.0,276291.98,11.35
114777.29,109819.65,28221.93,3055.34,150.0,806394.37,22.99
446525.04,200896.1,43919.34,9071.93,150.0,1060444.53,13.21
518309.12,178474.86,6233.23,9543.35,-20.0,-256617.31,3.16
107215.6,162872.13,15605.24,3339.93,150.0,339535.88,11.31
206072.5,395917.49,7002.4,6422.09,-18.56,-210493.31,3.26
167653.73,53857.11,45562.05,2063.26,150.0,1374203.52,36.08
830187.65,281422.82,4814.97,9563.39,-20.0,-719096.75,1.77
284613.11,432629.77,9271.69,8568.64,-9.22,-197307.35,3.63
62567.37,265654.62,38702.69,9361.0,150.0,1209525.6,23.47
913742.03,413419.94,44521.38,2152.35,47.44,235368.4,5.9
319975.08,158704.89,19475.64,4054.54,98.33,279416.75,7.93
567327.56,96742.29,34871.09,1842.15,131.49,563517.4,9.26
344793.06,261605.66,40025.59,7446.8,150.0,930388.52,12.69
663257.64,94771.17,27805.22,1056.98,60.08,210946.99,6.4
408495.02,218487.93,2950.76,2885.08,-20.0,-457724.13,1.35
957866.99,477743.65,18264.03,622.38,-20.0,-800855.58,2.21
220140.19,208264.54,47441.21,1583.75,150.0,1219597.31,19.27
775340.05,72167.62,49081.62,3939.84,150.0,912610.0,10.4
786472.81,184443.72,31755.77,2081.76,45.44,156683.21,5.82
188719.97,470270.79,45964.72,8897.2,150.0,1114104.95,13.48
644161.78,407968.74,4382.81,3480.93,-20.0,-819996.43,1.11
348017.97,325109.75,18441.93,1655.37,23.82,-7588.43,4.95
616643.72,410904.28,19724.05,1496.23,-14.05,-322308.3,3.44
236853.79,133991.99,15694.98,6499.39,132.45,317512.2,9.3
620898.21,354118.33,18762.6,8275.18,7.25,-140008.56,4.29
243883.28,245139.56,40246.0,1965.55,150.0,923934.58,14.47
154369.96,444168.3,17803.55,6901.93,61.01,171023.73,6.44
74081.17,351222.51,16488.96,746.26,70.04,152176.98,6.8
629322.12,135585.83,19953.55,989.69,14.75,-64014.19,4.59
189805.09,163029.07,5398.22,9126.1,42.62,48997.83,5.7
55744.69,252252.91,7039.13,3215.26,28.45,7921.98,5.14
929756.58,97613.39,48325.78,2216.78,106.39,665818.06,8.26
754487.8,282405.09,44339.46,5629.13,98.02,602754.19,7.92
557831.26,113819.84,9145.24,9181.59,-1.12,-141323.02,3.96
361446.29,198599.48,38231.36,3520.47,150.0,821788.75,12.36
954459.32,374205.33,30274.03,8832.77,16.78,-89623.26,4.67
97125.61,143390.09,23786.78,2424.39,150.0,624840.2,18.02
756709.93,461219.85,21764.74,3552.9,-15.3,-394163.22,3.39
963473.2,233529.17,24963.37,3646.17,-2.23,-262446.01,3.91
914071.05,293098.63,38346.55,8155.71,55.27,289617.26,6.21
374756.59,228173.28,42575.12,3759.9,150.0,932059.16,12.75
