material,month_idx,supply_volume_kg,scarcity_index,disruption_risk
battery,12,2554.28,6.34,4.74
battery,26,2363.94,7.38,4.83
paper,28,4713.73,2.18,1.87
battery,4,2003.97,7.77,5.02
textile,24,3657.68,3.39,2.89
paper,4,3536.58,3.68,1.86
plastic,23,3616.09,3.39,2.96
battery,26,2911.16,7.12,5.34
battery,16,3095.13,5.33,4.42
plastic,23,3154.26,4.77,3.46
metal,10,4483.86,1.63,0.54
metal,27,4193.12,2.0,1.05
plastic,4,4322.11,3.79,3.32
plastic,35,4127.51,2.05,1.65
battery,27,2578.88,5.98,4.6
paper,29,4374.08,1.72,2.08
plastic,26,4034.85,2.99,0.91
battery,2,2446.97,7.67,5.47
textile,1,3733.28,2.78,1.43
paper,8,4587.01,2.39,1.95
battery,9,2869.38,6.4,4.21
textile,15,4708.24,0.89,0.6
textile,33,4759.48,0.32,0.43
battery,4,2251.7,7.15,5.06
metal,6,3250.39,2.91,1.58
textile,16,4640.47,1.13,0.75
plastic,9,4057.47,3.12,2.57
textile,32,4973.41,1.13,1.42
battery,3,2527.81,6.62,4.75
battery,6,2126.37,7.92,5.61
paper,21,4193.34,2.35,1.59
textile,3,4285.12,2.92,2.26
textile,1,4692.94,1.66,0.55
plastic,25,3750.04,4.21,2.79
battery,6,2415.12,7.66,5.8
metal,13,4520.69,0.94,0.32
paper,27,3926.63,2.66,2.58
paper,28,4290.33,1.59,1.8
textile,13,4130.37,1.4,1.26
metal,12,4489.93,1.15,1.34
battery,26,2607.7,6.87,5.18
paper,24,3710.36,2.23,1.43
paper,28,3847.97,2.63,2.53
paper,26,4241.08,2.84,2.92
paper,22,4195.01,2.64,1.65
paper,8,3549.92,3.14,1.31
textile,18,4134.96,1.46,1.2
plastic,23,3577.93,3.45,2.51
paper,27,4711.8,1.58,0.75
textile,31,4143.25,1.24,0.86
paper,28,4558.04,1.56,2.17
plastic,6,3763.03,3.81,2.75
metal,3,4078.53,2.54,1.38
battery,18,3391.92,5.78,4.19
plastic,25,4016.83,3.61,2.78
metal,29,4829.49,1.61,1.34
plastic,19,3783.46,3.15,2.2
metal,34,3867.41,2.06,1.27
plastic,31,4222.41,2.28,1.19
paper,18,4054.69,1.36,1.56
plastic,26,4193.5,4.28,2.62
metal,2,4431.79,2.2,1.79
plastic,30,4054.49,2.0,1.21
textile,13,4285.02,0.87,0.94
plastic,7,3497.51,3.6,2.02
textile,23,3807.54,2.21,1.48
plastic,2,3869.17,3.17,2.57
paper,6,4043.26,2.41,1.55
textile,19,4706.79,1.54,1.17
plastic,4,4035.07,3.66,2.52
battery,7,2320.23,7.43,5.76
battery,8,2305.49,7.05,6.45
textile,13,4878.67,0.61,0.62
paper,25,4329.52,2.67,2.07
battery,26,2314.4,6.99,4.82
paper,3,4118.29,2.43,1.38
battery,8,2314.91,7.34,5.78
battery,7,2185.0,7.42,5.91
paper,35,4353.23,1.79,1.37
battery,1,2376.82,7.42,5.12
battery,33,3324.79,5.3,3.64
plastic,17,3883.66,3.06,2.51
battery,14,3293.19,5.92,4.86
plastic,24,3245.34,4.15,2.68
battery,15,3155.77,4.94,3.91
battery,13,2656.86,6.07,4.14
paper,13,4659.9,0.92,0.78
paper,14,3960.68,1.14,1.26
textile,25,3962.69,2.81,2.06
plastic,30,3891.15,1.64,0.98
metal,17,4461.09,1.71,1.5
plastic,25,3464.02,4.28,3.03
plastic,5,3838.15,3.92,4.09
metal,29,4377.96,1.92,1.04
paper,18,4467.82,1.63,1.13
plastic,28,3537.04,3.48,2.91
plastic,13,4389.64,1.66,0.92
plastic,17,4097.15,2.56,2.05
metal,1,4115.35,2.32,2.11
metal,29,4945.58,1.27,1.22
paper,24,3648.74,2.71,2.1
plastic,35,3780.5,1.77,1.43
plastic,31,4310.57,3.06,1.9
metal,17,3945.63,1.98,1.09
plastic,34,4161.15,2.55,2.44
textile,1,4287.1,2.23,2.3
metal,17,4298.59,1.46,0.74
metal,4,4493.06,2.8,2.76
metal,17,4804.24,1.8,1.36
plastic,20,4059.43,2.98,2.76
textile,33,4612.43,0.78,0.53
textile,27,4306.53,2.21,1.64
textile,26,4214.6,2.78,2.6
textile,34,3613.85,1.83,1.66
metal,7,4026.36,2.99,2.76
paper,32,4800.04,1.15,1.08
textile,17,4478.73,1.88,1.38
metal,12,4531.81,2.05,1.97
plastic,2,3914.49,3.39,1.6
textile,15,4308.6,0.85,0.69
battery,10,2669.16,5.94,5.0
textile,24,3796.01,2.76,2.07
plastic,4,3743.41,3.86,3.56
textile,24,4436.83,2.53,1.38
plastic,29,4073.07,2.98,2.18
paper,9,3655.4,2.14,1.77
metal,26,3560.57,2.53,1.54
paper,18,4612.62,1.5,1.17
paper,33,3966.9,1.41,0.79
battery,26,2108.88,7.78,5.9
paper,16,4373.81,1.47,1.09
metal,8,4657.29,2.09,1.11
plastic,14,3789.67,2.24,1.77
plastic,26,3632.03,3.65,2.77
metal,11,5012.88,1.02,0.94
plastic,12,4372.23,2.26,2.31
paper,26,3058.39,3.19,2.56
metal,9,4138.35,1.45,0.68
metal,20,4796.11,2.22,1.63
paper,14,5234.49,0.07,0.0
paper,22,3492.29,2.97,2.63
battery,6,2212.19,7.64,5.63
textile,11,4829.75,1.16,0.65
textile,23,4091.77,2.81,1.94
metal,21,4401.69,2.29,1.92
metal,24,4432.4,2.55,2.27
paper,34,4708.3,0.52,0.11
battery,1,2645.0,7.83,5.72
plastic,4,3502.96,3.42,2.65
paper,17,4823.41,1.0,0.69
plastic,12,5520.96,1.21,0.46
battery,10,3124.12,6.01,4.29
textile,14,4545.42,1.67,1.49
textile,30,4860.33,0.42,0.0
metal,6,4530.81,2.75,2.21
battery,10,3375.87,5.72,4.06
plastic,18,4046.98,2.3,1.98
battery,10,2524.64,7.1,5.37
battery,23,2475.39,7.15,5.13
textile,2,3700.5,2.36,1.74
metal,18,4123.82,1.44,0.63
textile,30,4549.17,1.07,1.44
paper,19,3799.38,2.45,2.24
metal,23,3927.5,2.61,1.89
plastic,8,3995.53,3.03,1.76
metal,30,4391.5,1.36,1.06
metal,12,4902.76,0.48,0.52
metal,13,4786.2,1.28,0.8
paper,9,4374.0,2.61,1.87
textile,11,4674.38,1.62,1.06
metal,7,4410.34,2.34,2.21
paper,21,4124.48,2.04,1.66
textile,21,3693.81,2.73,2.0
battery,13,2992.42,5.43,3.91
textile,25,2965.06,3.62,2.77
paper,28,4348.04,2.0,1.57
battery,4,1936.81,7.68,5.99
plastic,8,3454.11,3.03,1.97
paper,31,5094.09,0.89,1.02
plastic,23,3246.05,4.59,3.86
metal,35,5225.05,1.12,1.07
metal,14,3917.71,1.78,1.99
metal,16,4606.31,1.0,0.62
metal,1,3953.13,2.1,1.33
battery,26,3013.69,7.12,5.74
paper,9,4680.49,1.37,1.05
battery,34,2771.12,6.28,5.17
metal,16,4361.25,2.08,1.84
paper,30,4276.27,1.41,1.04
textile,4,4099.18,2.85,2.22
paper,16,3805.14,1.82,1.41
metal,13,4885.79,1.67,1.27
paper,19,4049.48,1.39,0.98
paper,4,3627.39,3.54,2.65
plastic,13,4289.5,1.97,1.22
metal,27,3954.28,2.55,1.57
textile,9,4247.7,1.85,0.88
battery,19,2717.26,6.75,5.57
metal,10,5060.2,0.6,0.46
metal,27,4092.01,2.75,2.07
paper,25,3397.2,3.17,2.62
textile,19,4075.22,2.11,1.78
paper,34,4952.09,0.0,0.17
textile,23,4233.63,3.24,2.5
metal,20,4671.42,2.59,2.08
battery,17,2756.01,6.13,4.57
textile,18,4503.17,1.65,0.98
metal,17,4551.47,1.58,1.16
battery,22,2272.5,7.28,5.9
paper,1,3861.96,2.62,1.74
paper,22,4216.36,2.66,1.97
battery,28,2567.7,7.12,5.99
paper,18,4171.2,2.03,1.28
plastic,9,3680.17,3.52,2.62
paper,2,4582.45,2.87,2.26
paper,4,4080.44,2.84,2.16
metal,12,4992.28,1.33,1.03
paper,17,4032.91,1.81,1.66
metal,6,3813.18,3.67,2.75
battery,34,3441.09,5.49,3.94
metal,3,4056.4,2.67,1.7
plastic,7,3497.03,3.99,3.1
paper,6,4306.89,2.67,2.37
plastic,27,4014.3,2.84,1.56
textile,35,4955.8,0.16,0.0
textile,4,4300.64,2.43,2.08
metal,13,4331.93,0.43,0.0
battery,26,2625.88,6.64,5.08
paper,24,4243.55,3.14,3.35
metal,33,4289.7,0.35,0.31
textile,10,4762.97,0.96,1.63
battery,7,2343.25,7.43,5.71
metal,16,4403.48,0.76,0.53
plastic,11,3954.16,2.25,1.09
paper,25,3670.16,3.34,2.48
textile,33,3601.57,1.86,1.43
textile,30,3978.17,1.29,0.97
metal,18,4387.55,1.58,1.04
metal,30,3666.03,2.77,2.43
textile,28,4293.4,2.17,1.36
metal,27,4034.35,2.51,1.3
textile,5,4101.68,3.07,2.51
battery,9,2460.64,7.05,4.79
battery,29,2902.66,6.8,5.3
plastic,35,3540.44,2.75,2.17
plastic,25,3996.23,4.15,3.05
paper,10,4355.92,1.75,1.06
paper,31,5131.47,0.52,0.09
plastic,3,2990.54,3.86,2.76
textile,21,4134.12,3.28,2.1
battery,16,3238.65,5.12,3.65
paper,31,4378.09,1.76,1.32
battery,25,2009.71,8.25,6.39
textile,7,4437.79,2.62,2.2
metal,10,4338.72,0.8,0.73
paper,22,4188.97,2.8,2.13
textile,33,4302.29,0.47,0.49
battery,24,2536.91,7.46,5.88
textile,5,4135.21,2.75,2.32
plastic,27,4326.0,2.86,2.4
metal,25,4311.81,3.57,3.17
metal,18,4421.16,2.04,1.89
plastic,1,4264.24,2.64,1.73
battery,24,1906.23,7.47,5.77
paper,16,4885.28,0.9,0.37
battery,15,2713.16,5.78,4.92
battery,4,1639.54,7.74,5.33
metal,11,4342.74,0.98,1.08
battery,3,2938.86,6.36,4.63
plastic,15,3820.37,2.29,1.81
textile,32,4537.57,0.3,0.65
battery,30,2672.7,5.87,4.23
battery,4,2728.61,7.64,5.23
metal,21,3744.12,2.53,1.44
plastic,2,4054.84,3.64,3.21
battery,33,2753.79,5.87,4.49
textile,18,4907.94,1.57,0.63
paper,35,4777.63,0.77,0.86
textile,9,4120.79,2.1,2.49
metal,9,4027.6,1.92,1.85
textile,4,3772.22,2.65,2.13
paper,16,4670.81,1.1,0.87
metal,20,4061.74,2.09,1.23
plastic,28,3914.93,2.99,2.49
textile,31,4198.36,1.86,1.32
plastic,3,3555.69,3.7,2.59
plastic,26,3067.34,4.27,2.48
paper,25,3978.41,3.15,2.87
metal,32,4846.18,1.49,1.11
metal,10,4665.56,1.42,1.61
battery,13,3320.83,4.88,3.53
textile,6,4300.99,3.12,2.25
metal,11,3962.23,1.97,2.21
textile,22,3546.65,2.67,1.59
metal,9,4519.88,1.9,1.08
battery,5,2361.07,7.66,5.36
battery,29,2957.6,7.25,5.21
battery,19,2783.63,5.97,4.16
textile,5,4849.35,2.01,2.09
textile,28,4957.08,1.79,0.77
metal,16,4615.89,1.16,1.63
plastic,2,3310.35,4.49,3.28
metal,17,3555.67,2.74,1.96
metal,12,5088.26,1.59,1.07
metal,25,3880.99,2.42,2.66
textile,9,3959.69,1.98,1.56
metal,35,4247.13,1.42,1.08
battery,6,1744.89,8.07,5.83
plastic,12,3541.03,3.09,2.61
paper,5,4047.46,2.56,1.74
battery,22,2689.13,7.37,5.98
textile,35,4681.38,1.01,0.44
battery,2,2473.81,6.98,5.66
textile,3,4019.6,3.48,2.92
textile,1,4312.65,2.46,1.79
paper,28,4346.57,2.34,1.98
textile,9,3754.63,1.86,1.83
plastic,30,4085.93,2.57,2.02
plastic,2,3205.67,5.23,3.7
metal,5,3974.31,3.42,2.24
plastic,32,4023.33,2.24,1.25
battery,33,2911.39,6.07,4.75
plastic,35,4216.02,1.56,1.19
textile,3,3949.69,3.15,2.63
plastic,8,4553.4,3.04,2.38
metal,12,4611.3,1.18,0.51
metal,13,4469.31,1.01,0.87
textile,22,3575.34,3.42,2.38
paper,26,3540.74,3.3,2.43
textile,23,4243.26,3.11,1.45
metal,14,5464.8,0.8,0.94
textile,13,5047.12,0.79,0.62
plastic,33,4455.0,1.67,1.35
battery,27,2785.05,7.01,6.29
metal,10,4046.58,2.43,1.92
metal,30,3820.51,1.7,0.45
plastic,21,3560.94,4.03,3.17
plastic,32,3848.45,1.92,1.15
paper,3,3339.56,3.17,2.34
plastic,6,3840.74,3.99,3.52
metal,7,4470.28,2.65,1.63
battery,31,2896.76,5.22,3.28
metal,24,4137.76,3.05,2.21
metal,18,4659.54,1.71,1.07
metal,22,4182.26,2.84,2.38
paper,30,4492.85,1.05,0.45
textile,26,4606.36,1.96,0.87
paper,4,4176.12,2.64,2.03
paper,2,3707.75,3.21,2.6
metal,14,4169.69,2.17,1.67
paper,3,4158.78,3.15,2.74
battery,22,2274.72,7.78,5.27
battery,21,2376.57,7.04,5.34
battery,31,2870.6,7.25,4.94
textile,2,4303.42,2.73,1.38
plastic,32,4690.83,1.71,1.68
metal,15,4139.47,1.73,1.49
plastic,18,4272.11,2.51,1.96
textile,34,4189.86,0.85,0.7
paper,29,4627.38,1.75,1.72
metal,8,4165.96,2.13,1.39
metal,34,4315.1,0.47,0.17
textile,4,3691.22,3.57,2.44
plastic,7,3727.23,3.63,1.76
metal,20,4035.72,2.39,1.39
battery,23,2094.28,7.53,5.99
metal,25,3713.14,3.29,2.56
battery,15,2211.35,6.09,5.18
plastic,10,4401.55,3.37,1.46
textile,18,4766.24,1.72,1.68
metal,9,4324.02,1.44,1.88
metal,34,4864.54,1.76,1.37
textile,19,3857.51,2.64,1.98
paper,33,4793.91,0.44,0.36
metal,34,5114.33,0.58,0.1
metal,7,4546.16,2.18,2.12
metal,22,3727.54,3.38,3.12
battery,35,3488.66,5.44,3.25
metal,32,5123.96,0.58,0.56
plastic,16,4041.52,1.63,1.33
metal,21,4380.8,1.98,1.26
battery,13,3622.51,4.52,3.35
paper,10,4361.31,2.09,2.28
textile,26,3659.53,3.42,2.68
battery,13,3264.6,5.92,5.01
paper,16,4935.6,1.07,0.37
battery,12,2743.68,6.2,5.25
metal,9,4115.15,2.47,1.67
paper,17,5121.14,1.52,1.42
metal,28,4532.82,2.35,1.48
metal,12,4199.56,1.25,1.12
battery,25,2644.21,7.5,5.44
battery,7,2741.66,7.24,6.25
textile,22,3782.35,2.78,2.42
metal,12,4373.04,1.78,0.61
paper,29,4322.33,2.01,1.63
textile,29,4297.88,2.81,1.95
plastic,15,3941.97,1.87,1.7
metal,15,4763.41,0.94,0.71
battery,35,2307.47,6.18,4.76
plastic,32,3968.01,1.8,1.34
battery,10,3095.62,6.33,4.88
textile,23,3177.42,3.72,2.88
battery,20,2451.69,6.92,5.38
plastic,31,4447.82,2.23,1.05
metal,7,3597.48,3.99,3.04
battery,20,2254.93,6.75,4.73
paper,30,4645.03,1.07,1.22
battery,34,3164.44,5.81,4.9
paper,21,4349.5,3.06,1.83
metal,12,4918.72,0.38,0.14
plastic,21,3495.82,3.49,2.36
plastic,7,3507.99,4.03,3.02
paper,35,4671.17,1.51,1.0
plastic,12,4300.39,2.31,2.13
metal,15,4418.82,1.89,1.21
textile,16,4378.11,2.32,1.85
textile,19,4122.95,1.94,1.29
battery,24,1955.62,7.76,5.54
plastic,19,3899.47,3.42,3.48
metal,6,4119.11,2.48,1.16
plastic,33,5151.41,2.07,1.48
plastic,1,4798.62,2.76,2.33
paper,3,4158.52,3.24,2.23
textile,26,3855.88,2.61,1.51
plastic,2,4011.44,3.04,2.83
textile,25,4262.04,2.39,2.44
plastic,14,3901.46,2.22,1.6
battery,25,2709.13,7.1,5.43
paper,10,5046.7,1.35,0.76
metal,13,4563.97,1.05,1.36
battery,30,2714.35,6.35,4.71
textile,23,4145.26,3.44,2.37
plastic,34,4171.81,2.42,2.12
metal,6,4157.17,2.71,2.84
plastic,24,4422.99,3.21,2.15
textile,6,5033.02,2.42,1.39
paper,12,4429.21,1.14,0.69
paper,31,4386.81,2.02,2.34
metal,24,3296.7,4.11,2.85
metal,15,4891.17,0.29,0.8
battery,11,2687.88,6.44,4.95
metal,7,3847.35,3.05,1.75
plastic,24,2803.63,4.93,3.22
metal,5,4122.63,3.03,1.58
plastic,19,3479.56,3.68,2.87
paper,22,4312.14,3.08,2.12
plastic,24,3929.81,3.69,2.91
metal,2,4548.48,3.1,2.48
plastic,11,4432.17,2.29,1.13
battery,3,2854.63,6.71,4.6
metal,32,5190.74,0.62,0.0
plastic,30,3741.3,3.18,1.83
plastic,1,4049.2,3.37,2.8
paper,9,4431.16,2.28,1.32
paper,9,3926.89,2.38,1.71
plastic,19,4634.72,2.24,1.83
textile,33,5009.44,0.96,0.26
textile,4,3749.11,2.83,2.35
textile,24,3633.49,3.08,2.28
plastic,21,3995.95,4.22,3.0
battery,5,1769.31,7.73,5.58
paper,25,3907.85,2.76,1.9
metal,9,4133.7,1.64,1.11
metal,29,4711.74,1.61,2.3
textile,15,4493.53,0.59,1.0
paper,16,4446.88,1.21,1.06
textile,29,3734.05,2.16,1.53
textile,1,3911.95,1.79,1.61
paper,10,4660.47,1.91,0.74
paper,1,4444.26,1.86,1.13
plastic,28,3960.37,3.07,2.33
textile,14,4741.12,0.54,0.27
battery,31,3335.19,5.84,4.44
plastic,2,3698.44,3.41,2.35
metal,25,3888.65,3.51,2.94
metal,2,3948.37,3.03,1.99
paper,1,4019.98,2.67,2.01
metal,5,3986.36,2.55,1.5
battery,11,2479.93,5.33,3.72
metal,17,4735.35,1.5,1.77
textile,11,5148.46,0.79,0.77
metal,23,3719.43,2.82,2.57
metal,16,4459.67,0.95,1.36
metal,8,4172.92,2.21,0.93
metal,28,4017.72,2.12,1.57
battery,3,2593.25,7.96,5.93
metal,31,4178.78,0.83,0.34
paper,8,3853.72,2.15,1.93
plastic,17,4603.37,2.17,1.14
paper,8,3982.88,3.22,3.22
paper,27,3677.68,2.57,1.75
plastic,4,3991.82,4.03,3.42
metal,13,4853.92,0.45,0.31
textile,28,4377.35,1.77,1.96
textile,9,4430.35,2.34,1.79
plastic,24,3594.47,3.7,2.57
battery,16,3530.41,5.6,4.13
paper,20,4358.42,2.36,0.92
textile,33,4997.33,0.89,0.91
textile,15,4161.46,1.19,0.83
plastic,11,3864.29,2.3,1.36
battery,2,3112.54,6.94,5.23
plastic,9,4237.78,2.9,1.75
textile,15,5398.55,0.0,0.0
paper,18,3902.73,1.19,1.25
plastic,27,3382.72,3.69,3.42
textile,7,4674.56,2.26,2.1
paper,30,4370.16,1.23,0.61
metal,26,3639.11,2.7,1.87
paper,27,4448.57,2.68,1.71
paper,1,3916.22,2.73,1.73
battery,4,1785.86,8.28,6.07
plastic,10,3482.02,3.19,2.83
metal,30,5024.3,1.39,0.11
paper,25,4473.96,2.64,1.59
plastic,35,4133.87,2.42,1.23
textile,5,3438.75,2.84,2.02
plastic,2,4157.47,2.75,1.96
metal,25,4190.96,2.9,2.61
battery,8,2078.68,7.3,5.47
battery,23,1965.41,6.99,4.98
metal,29,4439.11,1.86,0.88
plastic,26,4221.37,3.27,2.3
paper,2,4175.9,3.37,3.14
metal,27,4402.48,2.04,1.98
textile,18,4317.37,0.85,0.99
paper,14,4767.49,1.06,0.72
metal,10,4533.09,1.76,1.33
paper,30,4479.74,1.33,0.65
textile,12,4678.5,1.48,1.82
textile,22,4327.66,2.75,1.75
plastic,18,3957.38,2.7,1.32
metal,9,4486.75,2.48,2.87
metal,32,5243.56,0.55,0.98
textile,21,4011.27,3.32,2.36
battery,15,2688.35,5.81,4.76
paper,34,4993.88,0.0,0.63
battery,6,1917.27,8.11,6.45
textile,13,5033.65,0.81,0.4
metal,28,3893.12,2.65,2.81
paper,29,4038.3,1.52,1.42
metal,25,3913.07,3.25,2.73
plastic,25,3216.2,5.14,3.6
plastic,3,2835.95,5.25,3.99
battery,15,3124.53,5.07,3.4
plastic,19,3751.11,3.07,2.01
battery,31,2855.77,6.03,4.41
textile,17,4348.66,1.52,0.84
paper,24,4267.08,3.06,1.54
battery,16,3044.84,6.11,4.44
paper,3,4309.4,2.41,2.45
textile,30,4602.87,1.87,1.56
metal,1,4218.12,2.51,1.79
battery,10,2288.01,6.5,4.63
metal,21,4243.24,1.85,1.61
textile,22,4042.89,2.35,1.28
metal,5,3746.68,3.1,2.93
plastic,33,4180.09,1.8,1.39
battery,28,3067.8,5.97,5.71
plastic,1,3873.14,3.47,2.56
plastic,1,4045.37,2.7,1.12
metal,9,4228.5,2.04,1.11
paper,17,4659.14,1.16,1.21
metal,4,3804.57,2.48,1.74
metal,15,5028.12,0.66,0.53
metal,1,4366.69,2.5,1.72
paper,17,5258.4,0.68,0.74
metal,31,4762.2,0.94,0.19
plastic,35,4688.44,1.12,1.18
battery,20,3296.62,6.24,4.34
plastic,11,3673.54,2.33,2.49
battery,27,2541.11,6.78,5.04
paper,16,4855.13,0.56,0.57
plastic,2,2920.62,3.97,2.83
textile,9,4575.11,1.5,1.24
paper,8,4087.95,2.79,1.76
plastic,17,3896.8,2.45,2.46
plastic,19,3856.0,2.2,1.54
metal,23,4004.79,3.91,3.16
battery,33,3520.08,5.34,3.65
textile,14,4655.13,0.88,0.22
metal,17,4560.56,1.83,2.08
textile,3,4820.14,2.11,0.94
textile,19,5222.11,1.87,1.01
paper,3,4349.58,2.4,1.43
textile,4,4201.39,3.76,2.9
metal,23,3476.54,2.82,1.88
paper,1,4242.86,2.03,1.61
textile,25,3987.84,2.56,1.67
metal,27,4260.14,2.52,2.13
paper,21,4285.96,2.44,1.79
battery,29,2222.38,6.74,4.86
battery,22,2227.95,7.72,5.24
textile,12,5175.24,0.52,1.02
plastic,33,4620.97,2.02,1.49
metal,24,3798.18,1.73,1.03
metal,28,4100.14,2.2,1.86
textile,3,4194.87,2.67,2.32
paper,18,3918.1,1.96,1.91
textile,8,4189.48,2.46,0.82
textile,33,4294.52,1.44,1.36
metal,33,4914.87,0.46,0.0
paper,12,4634.73,1.64,1.71
metal,16,4497.27,0.72,1.07
battery,34,3506.88,6.18,4.11
textile,19,4074.69,2.44,1.92
plastic,32,4374.95,1.78,1.53
textile,9,4537.02,1.91,1.28
battery,20,2312.71,7.23,5.52
metal,8,3618.98,2.52,1.97
plastic,33,4645.15,1.23,1.42
battery,32,2608.67,5.7,3.89
textile,12,4247.07,1.74,1.69
metal,19,4483.1,1.59,1.39
plastic,10,3645.05,2.45,2.76
plastic,19,3997.53,2.95,1.79
plastic,8,3529.97,3.76,2.38
plastic,5,3392.96,5.05,3.91
metal,1,3654.26,2.8,2.22
plastic,18,4334.62,2.1,1.67
plastic,7,4211.99,2.93,1.97
textile,16,4401.13,1.17,0.99
battery,35,2433.46,6.38,4.38
metal,29,4424.14,1.58,1.85
plastic,34,4155.86,2.53,1.42
plastic,23,3697.02,3.68,2.35
paper,2,4338.54,2.7,2.23
paper,4,3967.34,3.23,2.19
plastic,7,3714.4,4.09,2.65
plastic,19,4547.28,2.47,2.26
textile,15,4907.92,0.72,0.54
metal,31,3962.03,1.38,1.11
plastic,23,3979.94,4.71,3.53
metal,11,4297.29,2.36,1.32
plastic,29,3480.39,3.05,2.36
battery,26,2319.19,7.41,5.75
textile,33,4501.68,1.9,1.19
paper,30,4662.78,2.01,1.56
textile,13,4654.94,0.42,0.01
textile,23,4051.92,2.94,2.19
metal,19,4186.91,2.42,1.77
plastic,8,3428.83,3.14,1.9
textile,21,3798.81,3.54,2.19
paper,26,3728.18,2.83,1.28
paper,2,3785.2,3.28,2.48
metal,22,3852.85,3.37,2.71
metal,16,4781.09,0.81,1.22
plastic,7,3400.59,3.33,2.83
battery,13,3589.49,5.59,3.79
textile,35,4436.56,1.63,1.23
textile,10,4437.67,1.57,1.17
battery,22,2910.07,7.71,5.78
battery,19,2639.55,6.88,4.98
plastic,23,3454.94,3.8,2.71
textile,31,4583.76,1.57,1.12
textile,2,3662.4,2.16,1.98
plastic,34,3820.3,2.85,2.59
battery,11,3140.75,5.92,3.67
plastic,32,4176.58,2.15,1.63
plastic,3,4226.89,3.57,3.03
plastic,14,4406.81,1.28,0.7
textile,16,4611.24,1.39,0.7
paper,19,4712.33,0.69,0.0
plastic,31,3866.79,1.97,1.89
paper,10,4303.64,1.95,1.78
battery,7,3439.63,6.42,5.56
metal,22,4105.04,2.67,1.98
plastic,24,3568.03,3.66,2.97
battery,18,2486.76,5.77,4.34
battery,35,3348.54,5.12,4.15
plastic,12,4025.41,2.5,1.31
textile,1,3979.6,2.52,2.41
battery,11,3026.7,5.68,3.96
battery,29,3275.87,6.44,4.4
paper,31,4831.21,0.91,0.9
textile,15,4352.31,1.36,0.88
textile,29,4188.96,1.8,0.89
plastic,30,3668.4,2.75,2.58
battery,7,2280.97,7.34,5.73
metal,31,4405.26,1.46,1.2
metal,7,4485.97,1.95,1.82
battery,26,2145.06,7.99,5.94
textile,30,4733.5,1.34,0.89
textile,15,4783.89,1.01,1.25
battery,27,2751.24,5.98,3.68
textile,35,4911.15,1.12,0.33
plastic,30,4000.55,2.08,1.27
metal,3,4000.13,2.67,1.42
plastic,20,4297.92,2.93,2.11
paper,20,4579.67,1.94,1.02
battery,2,2904.6,7.03,4.77
metal,6,3630.06,3.21,3.29
textile,10,4143.83,1.42,0.6
battery,34,2504.97,6.69,5.26
battery,18,2450.92,6.84,4.84
metal,27,3872.55,2.85,2.86
textile,31,4592.85,1.7,0.61
paper,5,4966.63,2.48,1.44
paper,4,4252.74,1.93,2.31
metal,11,5217.89,0.73,0.31
textile,23,3358.52,3.2,2.5
metal,29,4038.77,2.63,2.15
paper,9,4254.22,2.39,2.38
metal,16,5629.62,0.0,0.0
metal,11,4295.24,1.79,1.95
plastic,26,3425.26,3.41,2.74
metal,2,4128.87,3.36,2.64
metal,17,3949.45,1.23,0.84
metal,9,4210.11,1.81,0.62
textile,21,4123.51,2.79,1.76
plastic,32,4183.68,1.9,2.5
textile,5,3688.86,3.4,2.68
battery,4,2395.29,8.24,6.57
textile,10,4558.49,1.68,1.21
metal,6,3827.02,3.16,1.91
battery,4,2363.46,7.06,5.5
metal,34,4377.69,0.35,0.17
plastic,17,3885.79,1.91,0.9
battery,35,3364.76,5.15,4.16
plastic,6,3721.1,3.31,2.77
battery,19,2476.51,6.21,4.67
plastic,10,3759.03,2.94,2.35
metal,16,4948.97,1.43,1.32
battery,35,3106.54,6.62,4.77
plastic,1,3758.38,3.25,2.31
textile,29,3822.52,1.59,1.59
paper,26,4564.34,1.77,1.74
metal,34,4997.53,0.6,0.0
metal,15,5262.1,1.39,0.95
plastic,29,4237.23,2.06,1.15
textile,5,3993.79,3.62,3.48
battery,3,2834.68,7.1,5.22
plastic,7,3622.34,4.36,2.78
plastic,7,3112.92,4.44,3.32
textile,9,4562.34,1.64,0.75
plastic,7,3516.15,3.92,3.27
metal,11,4444.2,1.85,0.56
paper,28,4584.0,1.23,0.56
paper,12,4934.32,0.76,0.56
textile,12,5072.31,1.04,0.97
battery,19,2773.63,6.92,5.21
metal,13,4569.12,1.08,1.07
plastic,27,3098.61,3.69,2.4
textile,16,4618.4,1.53,1.86
textile,14,4306.67,1.09,0.2
battery,17,3498.49,5.55,4.09
battery,27,2587.85,7.22,5.36
battery,9,3313.34,6.19,4.62
battery,29,2932.73,6.12,4.48
textile,4,4137.32,2.2,2.27
paper,17,4737.13,0.98,0.65
plastic,15,3913.58,1.45,2.03
metal,11,3969.44,1.7,1.48
textile,24,4695.76,1.65,1.41
paper,22,4194.42,2.46,1.53
battery,19,2947.28,6.65,5.26
battery,29,2674.01,6.64,5.42
textile,6,2854.27,4.09,3.15
plastic,4,3757.94,3.43,3.18
battery,32,2513.93,5.76,4.5
metal,6,3821.86,2.71,1.73
battery,8,2627.58,6.76,4.37
paper,14,4433.56,0.72,0.9
battery,28,2108.94,7.2,5.27
plastic,14,4509.77,2.33,1.89
textile,9,4437.04,1.8,1.5
