CO2,NOx,SOx,PM2.5,timestamp,facility,sensor
326.98,5.26,19.77,48.64,2026-07-05T14:20:00,Coimbatore E-Hub,SEN-102
279.0,28.88,24.99,52.32,2026-07-05T14:30:00,EcoFibre Ltd,SEN-103
292.71,31.98,19.55,12.5,2026-07-05T14:40:00,EcoFibre Ltd,SEN-104
334.54,41.42,13.73,37.57,2026-07-05T14:50:00,Coimbatore E-Hub,SEN-100
233.54,39.12,23.35,64.8,2026-07-05T15:00:00,Salem Scrap Yard,SEN-101
284.71,14.5,3.14,49.85,2026-07-05T15:10:00,Coimbatore E-Hub,SEN-102
206.74,41.89,18.0,43.59,2026-07-05T15:20:00,Tiruppur Textiles,SEN-103
375.23,10.02,19.77,23.03,2026-07-05T15:30:00,Coimbatore E-Hub,SEN-104
400.52,42.09,10.42,27.49,2026-07-05T15:40:00,Tiruppur Textiles,SEN-100
307.42,36.01,7.39,28.98,2026-07-05T15:50:00,Coimbatore E-Hub,SEN-101
238.13,6.66,16.65,42.85,2026-07-05T16:00:00,Coimbatore E-Hub,SEN-102
245.26,38.92,23.78,58.67,2026-07-05T16:10:00,Salem Scrap Yard,SEN-103
423.88,18.59,12.48,47.3,2026-07-05T16:20:00,EcoFibre Ltd,SEN-104
336.81,44.6,9.17,28.7,2026-07-05T16:30:00,Salem Scrap Yard,SEN-100
404.86,8.56,24.81,39.76,2026-07-05T16:40:00,Coimbatore E-Hub,SEN-101
261.75,42.15,3.42,15.08,2026-07-05T16:50:00,Salem Scrap Yard,SEN-102
231.88,18.66,12.32,60.23,2026-07-05T17:00:00,Salem Scrap Yard,SEN-103
291.29,31.48,19.28,51.46,2026-07-05T17:10:00,Salem Scrap Yard,SEN-104
238.28,9.59,23.66,53.13,2026-07-05T17:20:00,Coimbatore E-Hub,SEN-100
349.06,21.45,11.26,58.65,2026-07-05T17:30:00,Tiruppur Textiles,SEN-101
238.52,16.95,4.46,34.2,2026-07-05T17:40:00,Coimbatore E-Hub,SEN-102
252.63,22.2,21.11,16.59,2026-07-05T17:50:00,Coimbatore E-Hub,SEN-103
185.08,32.29,23.85,17.54,2026-07-05T18:00:00,Tiruppur Textiles,SEN-104
199.32,9.66,14.57,59.63,2026-07-05T18:10:00,Tiruppur Textiles,SEN-100
154.55,28.26,4.43,58.02,2026-07-05T18:20:00,Coimbatore E-Hub,SEN-101
419.52,20.98,9.52,10.59,2026-07-05T18:30:00,Salem Scrap Yard,SEN-102
384.0,8.95,3.74,29.88,2026-07-05T18:40:00,Tiruppur Textiles,SEN-103
214.41,7.69,15.68,50.64,2026-07-05T18:50:00,EcoFibre Ltd,SEN-104
409.04,13.92,22.08,53.42,2026-07-05T19:00:00,EcoFibre Ltd,SEN-100
431.49,37.75,24.62,24.28,2026-07-05T19:10:00,Salem Scrap Yard,SEN-101
222.02,10.77,4.66,11.5,2026-07-05T19:20:00,Tiruppur Textiles,SEN-102
217.96,29.56,7.82,41.77,2026-07-05T19:30:00,EcoFibre Ltd,SEN-103
373.55,8.06,22.61,53.67,2026-07-05T19:40:00,Tiruppur Textiles,SEN-104
248.45,13.36,3.95,35.67,2026-07-05T19:50:00,Tiruppur Textiles,SEN-100
319.71,12.31,5.21,41.71,2026-07-05T20:00:00,EcoFibre Ltd,SEN-101
287.74,17.13,23.45,16.53,2026-07-05T20:10:00,Tiruppur Textiles,SEN-102
276.23,29.07,23.55,27.15,2026-07-05T20:20:00,Tiruppur Textiles,SEN-103
346.92,43.85,14.93,49.31,2026-07-05T20:30:00,Coimbatore E-Hub,SEN-104
221.74,25.49,19.79,12.42,2026-07-05T20:40:00,Salem Scrap Yard,SEN-100
256.4,27.03,11.27,55.85,2026-07-05T20:50:00,Coimbatore E-Hub,SEN-101
281.45,40.97,24.13,34.43,2026-07-05T21:00:00,Tiruppur Textiles,SEN-102
352.75,31.33,3.61,31.74,2026-07-05T21:10:00,EcoFibre Ltd,SEN-103
158.75,41.29,5.59,22.1,2026-07-05T21:20:00,Coimbatore E-Hub,SEN-104
317.11,14.26,13.56,50.23,2026-07-05T21:30:00,EcoFibre Ltd,SEN-100
400.95,7.01,12.69,30.88,2026-07-05T21:40:00,Tiruppur Textiles,SEN-101
270.96,35.1,14.22,47.26,2026-07-05T21:50:00,Salem Scrap Yard,SEN-102
283.17,40.74,17.14,10.44,2026-07-05T22:00:00,Salem Scrap Yard,SEN-103
279.39,20.16,23.05,23.81,2026-07-05T22:10:00,Tiruppur Textiles,SEN-104
314.24,15.98,22.74,21.84,2026-07-05T22:20:00,Salem Scrap Yard,SEN-100
231.6,5.26,24.5,63.12,2026-07-05T22:30:00,Coimbatore E-Hub,SEN-101
213.27,39.29,20.87,34.23,2026-07-05T22:40:00,Tiruppur Textiles,SEN-102
384.99,15.64,24.78,11.42,2026-07-05T22:50:00,EcoFibre Ltd,SEN-103
287.9,22.24,9.0,20.9,2026-07-05T23:00:00,Coimbatore E-Hub,SEN-104
216.8,17.29,14.57,32.95,2026-07-05T23:10:00,Tiruppur Textiles,SEN-100
319.63,22.69,20.34,49.83,2026-07-05T23:20:00,Tiruppur Textiles,SEN-101
180.07,5.66,17.22,43.13,2026-07-05T23:30:00,EcoFibre Ltd,SEN-102
220.5,38.21,23.81,26.75,2026-07-05T23:40:00,Coimbatore E-Hub,SEN-103
410.52,42.06,11.65,12.78,2026-07-05T23:50:00,EcoFibre Ltd,SEN-104
152.91,39.32,18.82,62.07,2026-07-06T00:00:00,Tiruppur Textiles,SEN-100
241.93,6.61,15.53,31.87,2026-07-06T00:10:00,Coimbatore E-Hub,SEN-101
168.57,26.41,15.02,51.33,2026-07-06T00:20:00,EcoFibre Ltd,SEN-102
314.96,7.02,11.8,55.78,2026-07-06T00:30:00,Coimbatore E-Hub,SEN-103
245.27,15.38,4.01,14.95,2026-07-06T00:40:00,Tiruppur Textiles,SEN-104
251.24,39.83,3.92,21.61,2026-07-06T00:50:00,EcoFibre Ltd,SEN-100
411.19,35.36,18.73,36.64,2026-07-06T01:00:00,Tiruppur Textiles,SEN-101
198.41,27.88,20.52,51.81,2026-07-06T01:10:00,Salem Scrap Yard,SEN-102
370.17,18.86,11.38,16.91,2026-07-06T01:20:00,Salem Scrap Yard,SEN-103
160.4,20.68,18.03,20.64,2026-07-06T01:30:00,EcoFibre Ltd,SEN-104
253.45,18.49,9.17,16.72,2026-07-06T01:40:00,Tiruppur Textiles,SEN-100
222.16,31.9,21.0,47.02,2026-07-06T01:50:00,EcoFibre Ltd,SEN-101
163.59,31.26,14.31,14.51,2026-07-06T02:00:00,EcoFibre Ltd,SEN-102
174.37,44.7,5.59,64.36,2026-07-06T02:10:00,Salem Scrap Yard,SEN-103
255.54,35.47,13.66,45.08,2026-07-06T02:20:00,EcoFibre Ltd,SEN-104
335.82,21.45,11.83,28.17,2026-07-06T02:30:00,Salem Scrap Yard,SEN-100
343.46,5.94,11.88,25.34,2026-07-06T02:40:00,Salem Scrap Yard,SEN-101
383.86,5.65,20.82,12.21,2026-07-06T02:50:00,Tiruppur Textiles,SEN-102
208.5,31.08,19.96,53.53,2026-07-06T03:00:00,Salem Scrap Yard,SEN-103
180.85,10.04,24.52,47.06,2026-07-06T03:10:00,Salem Scrap Yard,SEN-104
430.17,101.46,71.13,125.09,2026-07-06T03:20:00,Salem Scrap Yard,SEN-100
278.72,16.04,19.68,22.44,2026-07-06T03:30:00,EcoFibre Ltd,SEN-101
247.15,31.45,17.0,23.81,2026-07-06T03:40:00,Salem Scrap Yard,SEN-102
331.8,38.98,3.03,50.38,2026-07-06T03:50:00,Tiruppur Textiles,SEN-103
328.24,21.45,4.91,11.53,2026-07-06T04:00:00,EcoFibre Ltd,SEN-104
227.58,6.11,16.52,33.45,2026-07-06T04:10:00,Tiruppur Textiles,SEN-100
297.78,30.34,20.53,31.88,2026-07-06T04:20:00,Salem Scrap Yard,SEN-101
323.06,27.56,13.51,13.82,2026-07-06T04:30:00,Tiruppur Textiles,SEN-102
188.25,37.01,21.85,18.29,2026-07-06T04:40:00,EcoFibre Ltd,SEN-103
238.01,26.02,18.05,59.51,2026-07-06T04:50:00,Tiruppur Textiles,SEN-104
401.26,29.58,15.37,23.95,2026-07-06T05:00:00,Tiruppur Textiles,SEN-100
473.81,78.68,49.73,102.34,2026-07-06T05:10:00,Salem Scrap Yard,SEN-101
355.39,41.11,21.26,17.01,2026-07-06T05:20:00,EcoFibre Ltd,SEN-102
178.33,38.26,23.12,45.74,2026-07-06T05:30:00,Coimbatore E-Hub,SEN-103
755.64,41.33,26.62,141.64,2026-07-06T05:40:00,Salem Scrap Yard,SEN-104
256.98,15.18,2.3,39.72,2026-07-06T05:50:00,Coimbatore E-Hub,SEN-100
397.08,40.95,14.72,54.67,2026-07-06T06:00:00,Coimbatore E-Hub,SEN-101
332.14,20.55,7.53,15.22,2026-07-06T06:10:00,EcoFibre Ltd,SEN-102
174.31,38.19,24.47,32.26,2026-07-06T06:20:00,Coimbatore E-Hub,SEN-103
448.67,28.31,20.69,27.98,2026-07-06T06:30:00,Salem Scrap Yard,SEN-104
296.71,39.38,15.62,48.21,2026-07-06T06:40:00,Tiruppur Textiles,SEN-100
188.5,28.14,17.95,48.53,2026-07-06T06:50:00,Salem Scrap Yard,SEN-101
277.78,44.79,4.13,52.92,2026-07-06T07:00:00,Salem Scrap Yard,SEN-102
235.36,22.72,16.19,56.75,2026-07-06T07:10:00,Tiruppur Textiles,SEN-103
315.32,25.94,8.49,26.39,2026-07-06T07:20:00,Salem Scrap Yard,SEN-104
175.81,7.28,4.43,42.21,2026-07-06T07:30:00,Tiruppur Textiles,SEN-100
164.43,16.83,23.45,38.78,2026-07-06T07:40:00,EcoFibre Ltd,SEN-101
225.69,17.31,16.11,59.39,2026-07-06T07:50:00,EcoFibre Ltd,SEN-102
190.71,40.75,3.72,59.93,2026-07-06T08:00:00,Coimbatore E-Hub,SEN-103
793.15,68.15,30.74,144.3,2026-07-06T08:10:00,Salem Scrap Yard,SEN-104
427.23,44.01,21.16,26.67,2026-07-06T08:20:00,Salem Scrap Yard,SEN-100
268.78,35.25,12.45,32.68,2026-07-06T08:30:00,Salem Scrap Yard,SEN-101
387.0,17.72,15.33,29.01,2026-07-06T08:40:00,Coimbatore E-Hub,SEN-102
251.79,25.24,5.72,46.2,2026-07-06T08:50:00,Tiruppur Textiles,SEN-103
184.24,42.64,22.07,34.86,2026-07-06T09:00:00,Salem Scrap Yard,SEN-104
266.18,31.39,12.17,45.65,2026-07-06T09:10:00,EcoFibre Ltd,SEN-100
274.49,34.22,5.11,20.87,2026-07-06T09:20:00,Coimbatore E-Hub,SEN-101
330.54,28.27,11.23,28.59,2026-07-06T09:30:00,Tiruppur Textiles,SEN-102
352.69,6.52,16.26,48.4,2026-07-06T09:40:00,Tiruppur Textiles,SEN-103
328.57,39.88,15.27,29.0,2026-07-06T09:50:00,Coimbatore E-Hub,SEN-104
308.99,32.14,15.63,18.16,2026-07-06T10:00:00,EcoFibre Ltd,SEN-100
193.04,11.06,11.95,42.76,2026-07-06T10:10:00,Tiruppur Textiles,SEN-101
245.74,23.8,13.56,21.04,2026-07-06T10:20:00,Salem Scrap Yard,SEN-102
339.03,38.15,20.02,25.24,2026-07-06T10:30:00,EcoFibre Ltd,SEN-103
246.93,44.51,9.49,31.68,2026-07-06T10:40:00,Tiruppur Textiles,SEN-104
271.63,25.65,15.35,61.48,2026-07-06T10:50:00,Salem Scrap Yard,SEN-100
194.74,36.44,16.21,28.8,2026-07-06T11:00:00,Tiruppur Textiles,SEN-101
394.32,16.21,5.04,34.19,2026-07-06T11:10:00,Salem Scrap Yard,SEN-102
184.94,10.08,6.35,35.26,2026-07-06T11:20:00,Tiruppur Textiles,SEN-103
282.77,6.93,20.87,55.45,2026-07-06T11:30:00,EcoFibre Ltd,SEN-104
301.06,7.72,7.02,61.45,2026-07-06T11:40:00,Tiruppur Textiles,SEN-100
329.57,21.57,24.03,39.76,2026-07-06T11:50:00,Coimbatore E-Hub,SEN-101
154.3,24.13,2.48,55.08,2026-07-06T12:00:00,Salem Scrap Yard,SEN-102
379.11,25.94,7.22,46.66,2026-07-06T12:10:00,Tiruppur Textiles,SEN-103
153.7,10.72,19.07,23.43,2026-07-06T12:20:00,Tiruppur Textiles,SEN-104
269.34,25.47,13.12,31.05,2026-07-06T12:30:00,Salem Scrap Yard,SEN-100
292.33,5.29,2.59,40.43,2026-07-06T12:40:00,Salem Scrap Yard,SEN-101
413.41,27.31,24.08,12.68,2026-07-06T12:50:00,Coimbatore E-Hub,SEN-102
396.7,41.11,14.07,34.82,2026-07-06T13:00:00,EcoFibre Ltd,SEN-103
402.65,16.86,3.78,19.34,2026-07-06T13:10:00,Salem Scrap Yard,SEN-104
377.03,32.22,5.82,13.25,2026-07-06T13:20:00,EcoFibre Ltd,SEN-100
434.69,10.7,10.79,40.51,2026-07-06T13:30:00,Tiruppur Textiles,SEN-101
200.96,7.22,9.62,52.13,2026-07-06T13:40:00,Salem Scrap Yard,SEN-102
157.2,18.41,6.07,15.41,2026-07-06T13:50:00,Salem Scrap Yard,SEN-103
314.96,43.53,4.64,36.97,2026-07-06T14:00:00,Salem Scrap Yard,SEN-104
203.71,36.9,17.58,40.08,2026-07-06T14:10:00,Salem Scrap Yard,SEN-100
384.49,22.48,16.44,45.61,2026-07-06T14:20:00,Coimbatore E-Hub,SEN-101
222.2,39.97,21.1,22.36,2026-07-06T14:30:00,Coimbatore E-Hub,SEN-102
371.9,29.49,2.38,20.71,2026-07-06T14:40:00,Coimbatore E-Hub,SEN-103
276.0,28.13,21.15,54.23,2026-07-06T14:50:00,Salem Scrap Yard,SEN-104
437.16,40.61,17.0,35.28,2026-07-06T15:00:00,Tiruppur Textiles,SEN-100
305.88,44.86,5.11,47.15,2026-07-06T15:10:00,EcoFibre Ltd,SEN-101
153.32,34.21,15.15,33.87,2026-07-06T15:20:00,EcoFibre Ltd,SEN-102
212.49,19.22,17.39,36.61,2026-07-06T15:30:00,Tiruppur Textiles,SEN-103
431.6,18.99,7.61,46.07,2026-07-06T15:40:00,EcoFibre Ltd,SEN-104
321.09,13.4,19.07,11.39,2026-07-06T15:50:00,Coimbatore E-Hub,SEN-100
162.99,32.97,9.6,50.96,2026-07-06T16:00:00,EcoFibre Ltd,SEN-101
370.51,29.4,13.23,17.33,2026-07-06T16:10:00,Tiruppur Textiles,SEN-102
168.28,32.76,6.2,27.55,2026-07-06T16:20:00,Tiruppur Textiles,SEN-103
235.69,34.38,2.55,42.17,2026-07-06T16:30:00,Coimbatore E-Hub,SEN-104
322.16,7.44,2.71,49.29,2026-07-06T16:40:00,Coimbatore E-Hub,SEN-100
306.41,40.86,6.51,11.24,2026-07-06T16:50:00,Salem Scrap Yard,SEN-101
326.43,17.64,16.42,54.46,2026-07-06T17:00:00,Coimbatore E-Hub,SEN-102
423.91,27.88,6.16,24.78,2026-07-06T17:10:00,EcoFibre Ltd,SEN-103
265.42,22.44,15.66,42.43,2026-07-06T17:20:00,Coimbatore E-Hub,SEN-104
174.47,8.51,5.95,38.49,2026-07-06T17:30:00,Tiruppur Textiles,SEN-100
154.38,19.42,15.91,31.31,2026-07-06T17:40:00,Salem Scrap Yard,SEN-101
389.6,42.31,2.46,18.46,2026-07-06T17:50:00,Tiruppur Textiles,SEN-102
767.29,93.27,67.13,131.72,2026-07-06T18:00:00,Coimbatore E-Hub,SEN-103
366.05,16.49,22.23,12.71,2026-07-06T18:10:00,Tiruppur Textiles,SEN-104
191.29,5.04,22.77,11.35,2026-07-06T18:20:00,Tiruppur Textiles,SEN-100
352.47,14.56,19.43,51.8,2026-07-06T18:30:00,Tiruppur Textiles,SEN-101
429.51,29.81,20.49,14.6,2026-07-06T18:40:00,Salem Scrap Yard,SEN-102
384.57,35.63,17.91,63.11,2026-07-06T18:50:00,EcoFibre Ltd,SEN-103
204.74,43.61,11.85,44.76,2026-07-06T19:00:00,Tiruppur Textiles,SEN-104
243.66,22.1,16.84,50.99,2026-07-06T19:10:00,Coimbatore E-Hub,SEN-100
152.04,25.94,23.19,54.66,2026-07-06T19:20:00,Coimbatore E-Hub,SEN-101
375.38,40.88,21.46,20.05,2026-07-06T19:30:00,Coimbatore E-Hub,SEN-102
157.67,36.52,22.77,24.71,2026-07-06T19:40:00,Coimbatore E-Hub,SEN-103
245.08,37.35,22.14,26.64,2026-07-06T19:50:00,EcoFibre Ltd,SEN-104
385.53,15.95,22.97,15.36,2026-07-06T20:00:00,Coimbatore E-Hub,SEN-100
249.49,25.02,16.85,38.08,2026-07-06T20:10:00,EcoFibre Ltd,SEN-101
169.11,12.09,2.12,34.5,2026-07-06T20:20:00,EcoFibre Ltd,SEN-102
348.69,35.07,20.67,62.02,2026-07-06T20:30:00,EcoFibre Ltd,SEN-103
390.97,44.46,15.75,14.51,2026-07-06T20:40:00,Coimbatore E-Hub,SEN-104
411.91,11.75,3.23,49.46,2026-07-06T20:50:00,Coimbatore E-Hub,SEN-100
176.45,12.78,20.87,47.22,2026-07-06T21:00:00,EcoFibre Ltd,SEN-101
366.12,25.44,15.9,35.35,2026-07-06T21:10:00,Coimbatore E-Hub,SEN-102
429.75,42.35,11.25,35.78,2026-07-06T21:20:00,Salem Scrap Yard,SEN-103
258.89,40.17,18.68,16.19,2026-07-06T21:30:00,Tiruppur Textiles,SEN-104
247.83,7.84,10.05,57.44,2026-07-06T21:40:00,EcoFibre Ltd,SEN-100
224.64,42.68,8.86,52.65,2026-07-06T21:50:00,Coimbatore E-Hub,SEN-101
448.64,41.46,7.09,13.09,2026-07-06T22:00:00,Salem Scrap Yard,SEN-102
253.23,25.82,12.14,58.4,2026-07-06T22:10:00,EcoFibre Ltd,SEN-103
274.76,7.53,11.13,36.07,2026-07-06T22:20:00,Tiruppur Textiles,SEN-104
328.61,21.61,11.71,53.18,2026-07-06T22:30:00,Tiruppur Textiles,SEN-100
405.97,31.94,5.16,25.23,2026-07-06T22:40:00,Salem Scrap Yard,SEN-101
303.86,17.83,15.71,64.77,2026-07-06T22:50:00,Salem Scrap Yard,SEN-102
150.49,20.06,15.13,36.33,2026-07-06T23:00:00,Salem Scrap Yard,SEN-103
150.07,41.6,21.41,50.83,2026-07-06T23:10:00,EcoFibre Ltd,SEN-104
369.86,40.05,18.62,22.75,2026-07-06T23:20:00,EcoFibre Ltd,SEN-100
303.72,18.95,10.62,44.17,2026-07-06T23:30:00,Salem Scrap Yard,SEN-101
374.81,41.71,4.48,22.8,2026-07-06T23:40:00,Tiruppur Textiles,SEN-102
161.69,20.67,20.46,28.77,2026-07-06T23:50:00,Salem Scrap Yard,SEN-103
394.52,40.1,19.78,46.94,2026-07-07T00:00:00,Coimbatore E-Hub,SEN-104
288.22,44.55,13.11,64.28,2026-07-07T00:10:00,EcoFibre Ltd,SEN-100
384.75,40.46,11.17,57.46,2026-07-07T00:20:00,EcoFibre Ltd,SEN-101
253.67,5.28,11.28,22.91,2026-07-07T00:30:00,EcoFibre Ltd,SEN-102
421.24,7.75,24.81,62.33,2026-07-07T00:40:00,Salem Scrap Yard,SEN-103
170.46,12.48,14.78,26.02,2026-07-07T00:50:00,Salem Scrap Yard,SEN-104
281.59,44.1,20.58,50.56,2026-07-07T01:00:00,EcoFibre Ltd,SEN-100
436.02,7.41,8.85,26.39,2026-07-07T01:10:00,Tiruppur Textiles,SEN-101
403.29,41.63,18.51,25.6,2026-07-07T01:20:00,Tiruppur Textiles,SEN-102
422.83,12.61,20.89,39.95,2026-07-07T01:30:00,EcoFibre Ltd,SEN-103
292.96,34.52,5.2,34.2,2026-07-07T01:40:00,Coimbatore E-Hub,SEN-104
303.53,35.78,23.5,60.01,2026-07-07T01:50:00,EcoFibre Ltd,SEN-100
444.24,29.24,13.59,58.31,2026-07-07T02:00:00,Coimbatore E-Hub,SEN-101
313.37,11.4,17.9,19.22,2026-07-07T02:10:00,EcoFibre Ltd,SEN-102
398.95,31.19,11.46,46.48,2026-07-07T02:20:00,Tiruppur Textiles,SEN-103
176.23,20.09,11.51,12.19,2026-07-07T02:30:00,EcoFibre Ltd,SEN-104
228.28,43.78,18.9,48.48,2026-07-07T02:40:00,Coimbatore E-Hub,SEN-100
434.33,10.65,19.56,15.98,2026-07-07T02:50:00,Coimbatore E-Hub,SEN-101
293.32,24.13,19.66,44.57,2026-07-07T03:00:00,Coimbatore E-Hub,SEN-102
431.42,41.71,22.41,44.4,2026-07-07T03:10:00,Tiruppur Textiles,SEN-103
396.1,27.47,17.44,60.95,2026-07-07T03:20:00,Coimbatore E-Hub,SEN-104
328.94,37.58,10.79,17.27,2026-07-07T03:30:00,EcoFibre Ltd,SEN-100
347.33,27.58,23.46,42.26,2026-07-07T03:40:00,Coimbatore E-Hub,SEN-101
397.2,13.16,12.79,54.05,2026-07-07T03:50:00,EcoFibre Ltd,SEN-102
305.19,21.52,6.58,32.68,2026-07-07T04:00:00,Salem Scrap Yard,SEN-103
244.83,7.23,16.03,23.24,2026-07-07T04:10:00,EcoFibre Ltd,SEN-104
313.65,13.28,14.51,22.74,2026-07-07T04:20:00,Tiruppur Textiles,SEN-100
295.16,9.93,9.08,60.93,2026-07-07T04:30:00,Salem Scrap Yard,SEN-101
324.47,33.59,7.53,34.41,2026-07-07T04:40:00,Salem Scrap Yard,SEN-102
310.37,12.82,5.82,60.41,2026-07-07T04:50:00,EcoFibre Ltd,SEN-103
417.07,9.6,2.09,37.61,2026-07-07T05:00:00,Tiruppur Textiles,SEN-104
414.27,6.98,7.91,35.58,2026-07-07T05:10:00,Coimbatore E-Hub,SEN-100
176.13,24.5,17.9,24.4,2026-07-07T05:20:00,Coimbatore E-Hub,SEN-101
296.71,19.07,22.92,41.29,2026-07-07T05:30:00,Salem Scrap Yard,SEN-102
243.66,34.0,20.31,55.81,2026-07-07T05:40:00,Tiruppur Textiles,SEN-103
432.3,29.93,19.06,54.28,2026-07-07T05:50:00,Salem Scrap Yard,SEN-104
283.79,5.8,3.44,31.31,2026-07-07T06:00:00,EcoFibre Ltd,SEN-100
257.09,30.39,6.29,51.22,2026-07-07T06:10:00,Coimbatore E-Hub,SEN-101
328.93,24.39,2.62,30.93,2026-07-07T06:20:00,EcoFibre Ltd,SEN-102
364.54,43.29,11.82,36.13,2026-07-07T06:30:00,Salem Scrap Yard,SEN-103
310.69,29.73,17.66,46.67,2026-07-07T06:40:00,Salem Scrap Yard,SEN-104
150.28,6.57,24.48,23.33,2026-07-07T06:50:00,Salem Scrap Yard,SEN-100
191.51,34.53,21.71,61.63,2026-07-07T07:00:00,EcoFibre Ltd,SEN-101
380.92,44.02,15.19,28.79,2026-07-07T07:10:00,Salem Scrap Yard,SEN-102
299.18,12.14,4.49,56.32,2026-07-07T07:20:00,EcoFibre Ltd,SEN-103
268.09,23.94,21.65,28.7,2026-07-07T07:30:00,Tiruppur Textiles,SEN-104
175.28,19.24,17.65,25.08,2026-07-07T07:40:00,Coimbatore E-Hub,SEN-100
361.98,26.41,16.61,20.81,2026-07-07T07:50:00,Tiruppur Textiles,SEN-101
374.4,38.46,18.2,61.07,2026-07-07T08:00:00,Tiruppur Textiles,SEN-102
435.94,33.77,23.39,39.02,2026-07-07T08:10:00,Coimbatore E-Hub,SEN-103
396.49,9.06,20.21,54.64,2026-07-07T08:20:00,Tiruppur Textiles,SEN-104
330.17,11.65,10.73,43.95,2026-07-07T08:30:00,Coimbatore E-Hub,SEN-100
187.23,9.86,18.59,20.11,2026-07-07T08:40:00,Tiruppur Textiles,SEN-101
337.01,29.1,13.27,39.08,2026-07-07T08:50:00,Coimbatore E-Hub,SEN-102
368.4,37.53,7.92,52.59,2026-07-07T09:00:00,Tiruppur Textiles,SEN-103
347.49,22.51,8.37,40.7,2026-07-07T09:10:00,Tiruppur Textiles,SEN-104
418.02,20.51,8.62,49.86,2026-07-07T09:20:00,Coimbatore E-Hub,SEN-100
292.43,18.45,23.17,10.66,2026-07-07T09:30:00,Tiruppur Textiles,SEN-101
168.93,17.98,17.47,28.55,2026-07-07T09:40:00,EcoFibre Ltd,SEN-102
220.98,24.34,11.87,14.12,2026-07-07T09:50:00,Tiruppur Textiles,SEN-103
403.7,9.57,7.87,55.54,2026-07-07T10:00:00,Salem Scrap Yard,SEN-104
323.04,9.77,2.84,12.9,2026-07-07T10:10:00,EcoFibre Ltd,SEN-100
365.72,26.9,23.71,23.8,2026-07-07T10:20:00,Tiruppur Textiles,SEN-101
161.98,22.96,15.29,41.4,2026-07-07T10:30:00,Tiruppur Textiles,SEN-102
335.17,40.39,7.32,32.23,2026-07-07T10:40:00,Salem Scrap Yard,SEN-103
441.02,39.6,15.82,48.55,2026-07-07T10:50:00,EcoFibre Ltd,SEN-104
355.55,16.6,6.63,24.59,2026-07-07T11:00:00,Coimbatore E-Hub,SEN-100
427.39,7.25,13.17,60.2,2026-07-07T11:10:00,Salem Scrap Yard,SEN-101
169.16,17.7,7.07,38.34,2026-07-07T11:20:00,EcoFibre Ltd,SEN-102
179.87,5.64,24.16,30.73,2026-07-07T11:30:00,Coimbatore E-Hub,SEN-103
153.17,20.76,21.57,29.02,2026-07-07T11:40:00,EcoFibre Ltd,SEN-104
379.9,21.26,22.24,45.68,2026-07-07T11:50:00,EcoFibre Ltd,SEN-100
231.47,17.65,21.43,36.2,2026-07-07T12:00:00,Tiruppur Textiles,SEN-101
352.92,17.04,6.23,51.6,2026-07-07T12:10:00,Salem Scrap Yard,SEN-102
358.74,42.77,24.9,34.77,2026-07-07T12:20:00,Coimbatore E-Hub,SEN-103
445.4,13.36,5.0,21.19,2026-07-07T12:30:00,Tiruppur Textiles,SEN-104
401.58,37.34,9.31,10.48,2026-07-07T12:40:00,Salem Scrap Yard,SEN-100
415.57,8.47,14.38,60.23,2026-07-07T12:50:00,Salem Scrap Yard,SEN-101
186.22,44.08,6.3,34.49,2026-07-07T13:00:00,Salem Scrap Yard,SEN-102
259.02,42.53,8.34,28.27,2026-07-07T13:10:00,EcoFibre Ltd,SEN-103
427.1,44.9,2.75,22.96,2026-07-07T13:20:00,Salem Scrap Yard,SEN-104
266.17,16.31,9.0,64.06,2026-07-07T13:30:00,Tiruppur Textiles,SEN-100
251.64,21.21,7.5,44.59,2026-07-07T13:40:00,Salem Scrap Yard,SEN-101
204.2,42.91,7.03,27.94,2026-07-07T13:50:00,Tiruppur Textiles,SEN-102
296.77,10.33,7.58,26.04,2026-07-07T14:00:00,Salem Scrap Yard,SEN-103
239.98,23.97,5.86,29.51,2026-07-07T14:10:00,Salem Scrap Yard,SEN-104
409.67,28.09,17.5,10.92,2026-07-07T14:20:00,Coimbatore E-Hub,SEN-100
606.76,82.61,34.34,90.61,2026-07-07T14:30:00,Coimbatore E-Hub,SEN-101
189.32,36.9,13.68,51.27,2026-07-07T14:40:00,Salem Scrap Yard,SEN-102
300.58,41.4,18.5,42.01,2026-07-07T14:50:00,Coimbatore E-Hub,SEN-103
283.07,42.56,8.78,36.15,2026-07-07T15:00:00,Coimbatore E-Hub,SEN-104
174.97,39.52,13.05,13.78,2026-07-07T15:10:00,Tiruppur Textiles,SEN-100
368.06,39.96,7.08,18.71,2026-07-07T15:20:00,Salem Scrap Yard,SEN-101
441.55,25.5,8.69,35.82,2026-07-07T15:30:00,Coimbatore E-Hub,SEN-102
334.52,12.03,13.8,49.35,2026-07-07T15:40:00,EcoFibre Ltd,SEN-103
218.24,11.65,9.65,61.7,2026-07-07T15:50:00,Salem Scrap Yard,SEN-104
287.02,18.17,3.21,34.76,2026-07-07T16:00:00,EcoFibre Ltd,SEN-100
445.11,7.01,4.22,49.63,2026-07-07T16:10:00,Coimbatore E-Hub,SEN-101
379.76,8.17,3.08,11.07,2026-07-07T16:20:00,Tiruppur Textiles,SEN-102
729.89,55.34,7.87,127.42,2026-07-07T16:30:00,Salem Scrap Yard,SEN-103
