buyer,seller,material,quantity,seller_initial_price,buyer_target_price,final_price,rounds,success
Electro-Recycle,Salem Scrap Yard,metal,7186.0,115.44,90.84,101.16,5,1
Tiruppur Textiles,Chennai Polymers,paper,4454.0,17.72,13.86,15.44,2,1
Electro-Recycle,Salem Steel,battery,7109.0,17.63,13.79,15.38,3,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,1261.0,22.16,18.12,20.67,5,1
Tiruppur Textiles,Coimbatore E-Hub,battery,6324.0,19.11,12.31,0.0,5,0
Electro-Recycle,Chennai Polymers,paper,6457.0,17.05,13.45,15.18,3,1
Electro-Recycle,Salem Scrap Yard,paper,3310.0,19.31,12.34,15.59,4,1
EcoFibre Ltd,Chennai Polymers,metal,6256.0,116.62,84.24,102.12,3,1
Electro-Recycle,Salem Steel,metal,1616.0,129.03,85.42,109.41,2,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,3897.0,22.21,18.65,20.94,3,1
Kovai Paper Mills,Salem Steel,textile,1785.0,16.9,12.72,14.73,5,1
Tiruppur Textiles,Salem Scrap Yard,battery,831.0,17.67,12.11,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,plastic,5613.0,22.79,17.88,0.0,3,0
Tiruppur Textiles,Salem Steel,paper,565.0,18.69,12.54,15.78,5,1
Kovai Paper Mills,Salem Steel,textile,5192.0,16.85,13.47,15.0,2,1
EcoFibre Ltd,Chennai Polymers,textile,9033.0,16.69,12.89,15.02,2,1
Electro-Recycle,Salem Steel,metal,2160.0,124.07,89.67,108.35,3,1
Electro-Recycle,Salem Scrap Yard,battery,5426.0,17.6,12.54,15.01,3,1
Kovai Paper Mills,Coimbatore E-Hub,battery,5177.0,17.71,13.76,15.45,4,1
EcoFibre Ltd,Coimbatore E-Hub,battery,942.0,18.36,13.46,14.73,3,1
Electro-Recycle,Coimbatore E-Hub,paper,7596.0,17.36,12.53,14.75,2,1
Kovai Paper Mills,Salem Steel,paper,7481.0,17.68,12.75,14.95,3,1
EcoFibre Ltd,Salem Scrap Yard,textile,6544.0,18.57,13.28,16.56,2,1
Electro-Recycle,Chennai Polymers,metal,2394.0,113.15,82.61,0.0,5,0
Tiruppur Textiles,Salem Scrap Yard,paper,9092.0,17.6,12.24,15.06,2,1
Electro-Recycle,Chennai Polymers,battery,770.0,17.55,13.24,0.0,3,0
Electro-Recycle,Salem Steel,battery,9081.0,16.51,12.7,13.7,5,1
Kovai Paper Mills,Chennai Polymers,battery,7736.0,16.81,12.11,14.6,4,1
EcoFibre Ltd,Salem Scrap Yard,metal,3456.0,119.07,90.26,0.0,4,0
Kovai Paper Mills,Coimbatore E-Hub,paper,3983.0,19.44,12.02,15.21,5,1
Kovai Paper Mills,Salem Steel,plastic,1651.0,22.84,17.49,20.72,4,1
Electro-Recycle,Salem Steel,paper,3463.0,17.94,13.84,15.86,5,1
EcoFibre Ltd,Coimbatore E-Hub,textile,1213.0,19.16,13.46,16.45,3,1
Tiruppur Textiles,Coimbatore E-Hub,battery,8410.0,18.93,13.79,15.9,2,1
EcoFibre Ltd,Salem Steel,textile,6898.0,17.84,12.98,15.35,2,1
Kovai Paper Mills,Salem Steel,battery,8560.0,18.43,12.06,15.29,2,1
EcoFibre Ltd,Chennai Polymers,textile,5567.0,18.26,13.72,16.21,4,1
Tiruppur Textiles,Salem Steel,metal,2669.0,128.6,85.72,110.94,2,1
Kovai Paper Mills,Coimbatore E-Hub,battery,3367.0,16.89,13.57,15.1,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,8584.0,19.09,13.05,15.44,3,1
Tiruppur Textiles,Salem Steel,textile,2400.0,18.2,12.9,15.18,2,1
Tiruppur Textiles,Salem Steel,battery,1315.0,18.16,12.4,15.04,4,1
Tiruppur Textiles,Coimbatore E-Hub,paper,9530.0,16.79,12.98,15.61,5,1
Electro-Recycle,Chennai Polymers,textile,1977.0,18.08,14.25,16.14,5,1
Kovai Paper Mills,Salem Scrap Yard,textile,2760.0,18.61,13.46,15.72,2,1
EcoFibre Ltd,Chennai Polymers,metal,1765.0,117.76,82.56,99.91,4,1
Electro-Recycle,Salem Scrap Yard,battery,3077.0,17.47,13.32,16.25,5,1
Tiruppur Textiles,Salem Scrap Yard,battery,2785.0,18.32,12.2,15.57,4,1
Electro-Recycle,Chennai Polymers,battery,8343.0,18.27,13.01,15.99,2,1
EcoFibre Ltd,Coimbatore E-Hub,textile,9191.0,19.05,12.95,16.0,3,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,5815.0,25.92,17.05,0.0,5,0
Kovai Paper Mills,Salem Scrap Yard,battery,3779.0,18.74,12.85,15.73,5,1
Kovai Paper Mills,Salem Steel,battery,1574.0,18.59,12.0,15.29,5,1
Electro-Recycle,Salem Scrap Yard,battery,4322.0,16.72,13.68,14.42,2,1
Tiruppur Textiles,Salem Steel,textile,7711.0,18.57,13.27,16.22,5,1
Electro-Recycle,Coimbatore E-Hub,textile,1980.0,19.24,13.66,16.94,3,1
Tiruppur Textiles,Salem Scrap Yard,textile,4810.0,18.56,13.71,17.12,2,1
Electro-Recycle,Coimbatore E-Hub,battery,9890.0,17.38,12.03,14.94,2,1
Kovai Paper Mills,Salem Scrap Yard,paper,8480.0,19.22,13.62,16.54,3,1
Electro-Recycle,Chennai Polymers,textile,576.0,16.83,12.94,15.79,5,1
Kovai Paper Mills,Chennai Polymers,textile,9180.0,17.19,12.41,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,plastic,2279.0,23.33,17.28,20.47,2,1
Tiruppur Textiles,Coimbatore E-Hub,paper,8998.0,17.43,12.63,0.0,2,0
Electro-Recycle,Salem Steel,battery,3499.0,19.07,12.11,15.67,5,1
Tiruppur Textiles,Chennai Polymers,metal,4098.0,126.92,86.78,103.37,3,1
EcoFibre Ltd,Salem Scrap Yard,plastic,7176.0,24.72,17.91,21.16,4,1
Electro-Recycle,Chennai Polymers,battery,8984.0,18.12,12.73,15.9,5,1
EcoFibre Ltd,Salem Steel,battery,8471.0,18.04,13.81,15.89,3,1
Tiruppur Textiles,Salem Scrap Yard,textile,9054.0,18.44,12.93,16.44,4,1
Kovai Paper Mills,Coimbatore E-Hub,textile,9000.0,17.76,14.17,0.0,2,0
Electro-Recycle,Coimbatore E-Hub,textile,6557.0,17.96,12.71,14.76,4,1
Electro-Recycle,Salem Steel,textile,7400.0,17.02,12.78,14.8,5,1
EcoFibre Ltd,Coimbatore E-Hub,battery,7996.0,16.82,12.04,14.27,3,1
Tiruppur Textiles,Coimbatore E-Hub,battery,1222.0,16.94,13.66,0.0,5,0
Electro-Recycle,Chennai Polymers,battery,830.0,18.09,12.78,16.4,3,1
EcoFibre Ltd,Coimbatore E-Hub,metal,6111.0,119.75,89.46,105.45,4,1
Tiruppur Textiles,Salem Steel,paper,7242.0,19.23,14.23,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,textile,7144.0,16.81,13.9,15.19,5,1
Electro-Recycle,Salem Steel,paper,6191.0,18.31,12.62,15.28,4,1
EcoFibre Ltd,Salem Steel,textile,7060.0,18.13,14.2,16.48,4,1
Electro-Recycle,Coimbatore E-Hub,metal,9346.0,127.74,85.37,102.84,5,1
Tiruppur Textiles,Chennai Polymers,metal,5739.0,118.8,81.37,94.57,5,1
Tiruppur Textiles,Coimbatore E-Hub,paper,2406.0,19.38,13.12,16.18,5,1
Electro-Recycle,Salem Steel,metal,5728.0,119.7,94.61,104.24,4,1
Kovai Paper Mills,Coimbatore E-Hub,metal,6160.0,113.55,83.78,98.64,3,1
Electro-Recycle,Salem Scrap Yard,metal,6104.0,128.09,94.98,108.16,4,1
Electro-Recycle,Chennai Polymers,metal,3014.0,116.31,81.3,96.9,5,1
Tiruppur Textiles,Salem Scrap Yard,metal,1518.0,115.86,80.09,0.0,3,0
Kovai Paper Mills,Salem Scrap Yard,paper,1476.0,19.28,13.86,16.07,3,1
Tiruppur Textiles,Coimbatore E-Hub,battery,6043.0,18.41,13.14,15.44,3,1
Tiruppur Textiles,Coimbatore E-Hub,metal,3546.0,120.51,90.37,105.41,2,1
EcoFibre Ltd,Coimbatore E-Hub,paper,2260.0,19.33,13.87,17.06,4,1
Kovai Paper Mills,Salem Scrap Yard,metal,3759.0,118.49,82.29,100.53,5,1
Electro-Recycle,Salem Steel,paper,5749.0,16.74,12.2,15.1,2,1
Electro-Recycle,Coimbatore E-Hub,metal,9830.0,110.62,89.26,99.58,2,1
EcoFibre Ltd,Salem Scrap Yard,textile,6596.0,17.02,14.16,16.31,3,1
EcoFibre Ltd,Salem Scrap Yard,plastic,9673.0,23.97,16.06,20.18,2,1
Electro-Recycle,Salem Steel,textile,2120.0,17.7,12.38,15.96,2,1
Electro-Recycle,Salem Steel,paper,5299.0,19.34,12.28,15.5,3,1
Kovai Paper Mills,Salem Steel,textile,1040.0,18.2,13.06,16.15,2,1
Electro-Recycle,Chennai Polymers,battery,9555.0,17.52,14.17,16.89,5,1
Kovai Paper Mills,Salem Scrap Yard,metal,8135.0,120.14,81.9,101.53,2,1
Kovai Paper Mills,Salem Scrap Yard,paper,5210.0,19.48,13.54,16.38,2,1
EcoFibre Ltd,Salem Scrap Yard,textile,3770.0,17.71,13.9,16.32,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,3560.0,18.78,12.71,0.0,5,0
Kovai Paper Mills,Salem Scrap Yard,metal,1347.0,123.01,84.94,103.25,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,5291.0,18.66,13.15,17.11,3,1
Tiruppur Textiles,Salem Scrap Yard,textile,624.0,19.13,12.04,15.63,3,1
EcoFibre Ltd,Salem Steel,plastic,5256.0,22.25,17.58,19.22,5,1
EcoFibre Ltd,Salem Scrap Yard,textile,8114.0,18.22,13.4,15.81,4,1
EcoFibre Ltd,Salem Scrap Yard,paper,1057.0,18.67,13.87,16.17,2,1
Electro-Recycle,Coimbatore E-Hub,textile,1637.0,16.51,14.08,14.67,4,1
Electro-Recycle,Salem Steel,textile,2660.0,19.3,14.11,16.75,5,1
EcoFibre Ltd,Salem Steel,paper,9932.0,17.43,12.22,15.21,5,1
Electro-Recycle,Coimbatore E-Hub,paper,1383.0,16.92,12.72,14.48,4,1
EcoFibre Ltd,Chennai Polymers,battery,6215.0,17.59,13.2,15.46,3,1
Kovai Paper Mills,Salem Scrap Yard,plastic,8973.0,23.71,16.59,21.05,5,1
Electro-Recycle,Coimbatore E-Hub,textile,2572.0,18.98,12.35,15.96,2,1
EcoFibre Ltd,Salem Steel,plastic,4362.0,23.43,16.32,20.84,3,1
Kovai Paper Mills,Salem Steel,paper,4635.0,16.69,13.54,14.86,2,1
Electro-Recycle,Salem Scrap Yard,paper,6444.0,19.09,14.09,16.93,3,1
Tiruppur Textiles,Salem Scrap Yard,metal,6727.0,115.56,85.98,99.53,4,1
Electro-Recycle,Salem Steel,textile,5789.0,18.19,12.48,15.85,4,1
Tiruppur Textiles,Coimbatore E-Hub,metal,2660.0,121.84,91.04,104.53,3,1
Electro-Recycle,Chennai Polymers,paper,4304.0,18.32,12.89,15.27,5,1
EcoFibre Ltd,Chennai Polymers,paper,5470.0,18.78,13.74,16.02,3,1
Kovai Paper Mills,Salem Scrap Yard,paper,4562.0,17.63,14.12,16.03,2,1
Kovai Paper Mills,Chennai Polymers,paper,7498.0,18.37,12.22,15.85,2,1
Tiruppur Textiles,Salem Scrap Yard,textile,9773.0,16.64,12.09,14.74,4,1
Tiruppur Textiles,Salem Scrap Yard,plastic,1004.0,24.31,17.49,20.25,4,1
Kovai Paper Mills,Salem Steel,plastic,6188.0,24.64,18.74,21.78,3,1
EcoFibre Ltd,Coimbatore E-Hub,metal,6694.0,125.9,81.69,103.12,5,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,2743.0,25.23,17.1,20.59,4,1
Kovai Paper Mills,Salem Steel,textile,4035.0,18.23,13.58,15.54,5,1
Kovai Paper Mills,Salem Steel,textile,1289.0,17.77,12.94,15.3,2,1
Kovai Paper Mills,Salem Steel,metal,1661.0,116.15,81.67,105.23,3,1
Electro-Recycle,Coimbatore E-Hub,plastic,3304.0,25.44,16.69,0.0,4,0
Kovai Paper Mills,Salem Scrap Yard,paper,3139.0,18.01,13.04,15.25,3,1
Kovai Paper Mills,Coimbatore E-Hub,battery,5372.0,19.07,12.6,15.39,4,1
Electro-Recycle,Salem Steel,paper,5874.0,19.3,13.59,16.46,3,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,1325.0,24.93,17.88,21.61,4,1
Kovai Paper Mills,Salem Scrap Yard,metal,5896.0,119.76,90.53,106.36,4,1
Kovai Paper Mills,Salem Scrap Yard,plastic,2419.0,25.75,17.13,22.26,4,1
Electro-Recycle,Salem Steel,metal,900.0,125.99,86.49,107.32,2,1
Electro-Recycle,Salem Steel,textile,3839.0,18.12,13.04,15.45,3,1
Electro-Recycle,Salem Scrap Yard,paper,7970.0,19.17,13.05,0.0,2,0
Kovai Paper Mills,Chennai Polymers,textile,3838.0,17.75,13.35,15.61,2,1
Kovai Paper Mills,Coimbatore E-Hub,paper,7293.0,18.83,13.24,16.06,3,1
Kovai Paper Mills,Chennai Polymers,battery,5979.0,17.71,12.45,15.09,5,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,9944.0,23.64,17.63,20.97,2,1
EcoFibre Ltd,Salem Steel,paper,3924.0,18.42,12.7,15.05,2,1
Tiruppur Textiles,Salem Steel,plastic,4870.0,23.33,16.66,20.36,4,1
Tiruppur Textiles,Coimbatore E-Hub,battery,6708.0,16.9,12.6,14.54,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,1410.0,18.89,13.27,16.05,5,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,1641.0,22.72,18.02,20.51,2,1
Tiruppur Textiles,Chennai Polymers,plastic,7155.0,25.62,16.05,20.82,5,1
Tiruppur Textiles,Salem Steel,battery,4223.0,18.11,12.34,14.04,4,1
EcoFibre Ltd,Salem Scrap Yard,battery,3048.0,16.99,13.58,15.36,3,1
Kovai Paper Mills,Salem Steel,textile,1021.0,19.33,12.14,15.59,5,1
Electro-Recycle,Coimbatore E-Hub,textile,9119.0,16.78,13.33,15.03,2,1
Kovai Paper Mills,Salem Steel,battery,9350.0,18.0,13.17,14.85,2,1
Electro-Recycle,Salem Scrap Yard,paper,8330.0,17.86,13.65,15.6,4,1
Kovai Paper Mills,Coimbatore E-Hub,paper,1166.0,18.57,12.75,16.15,3,1
EcoFibre Ltd,Salem Steel,paper,5729.0,17.31,13.2,15.74,4,1
Kovai Paper Mills,Coimbatore E-Hub,paper,7074.0,18.92,13.7,15.91,2,1
Electro-Recycle,Salem Steel,plastic,5747.0,25.15,17.7,20.91,2,1
EcoFibre Ltd,Salem Steel,metal,4986.0,123.27,85.72,101.71,5,1
Tiruppur Textiles,Coimbatore E-Hub,paper,4409.0,19.18,13.16,16.73,2,1
Tiruppur Textiles,Salem Scrap Yard,metal,2780.0,124.65,89.16,105.81,5,1
Tiruppur Textiles,Salem Steel,metal,1987.0,128.97,93.53,114.9,2,1
Electro-Recycle,Salem Scrap Yard,paper,5524.0,17.3,13.11,15.21,2,1
Kovai Paper Mills,Salem Steel,metal,1028.0,117.94,84.03,104.62,2,1
Electro-Recycle,Chennai Polymers,plastic,5405.0,24.22,16.3,19.96,4,1
Kovai Paper Mills,Salem Steel,battery,4425.0,18.0,14.23,16.65,4,1
Tiruppur Textiles,Salem Scrap Yard,battery,6906.0,17.03,14.04,15.01,2,1
Tiruppur Textiles,Salem Scrap Yard,plastic,5496.0,24.89,16.52,19.8,3,1
EcoFibre Ltd,Coimbatore E-Hub,paper,9292.0,17.92,12.86,0.0,5,0
Tiruppur Textiles,Salem Steel,battery,9059.0,18.18,12.51,14.69,4,1
Kovai Paper Mills,Chennai Polymers,metal,7484.0,126.71,82.44,105.89,4,1
Tiruppur Textiles,Salem Steel,textile,6283.0,16.65,12.16,14.78,3,1
EcoFibre Ltd,Chennai Polymers,metal,4259.0,122.65,92.94,116.33,4,1
EcoFibre Ltd,Chennai Polymers,paper,1330.0,16.54,12.68,14.47,4,1
Electro-Recycle,Salem Steel,paper,8186.0,19.24,12.6,16.95,2,1
Electro-Recycle,Coimbatore E-Hub,plastic,7246.0,24.54,16.86,19.64,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,4342.0,17.38,13.26,14.93,3,1
Tiruppur Textiles,Chennai Polymers,paper,2378.0,18.03,12.35,14.96,2,1
Tiruppur Textiles,Salem Steel,textile,6912.0,18.29,12.59,16.23,2,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,6912.0,25.8,18.33,23.74,4,1
Kovai Paper Mills,Salem Steel,paper,2453.0,17.32,14.08,16.31,3,1
Tiruppur Textiles,Salem Steel,textile,8995.0,16.99,12.33,14.11,5,1
EcoFibre Ltd,Coimbatore E-Hub,paper,6824.0,16.95,13.78,15.21,5,1
Kovai Paper Mills,Chennai Polymers,paper,7933.0,17.64,13.96,0.0,2,0
EcoFibre Ltd,Salem Steel,metal,5143.0,124.71,87.31,99.27,3,1
Kovai Paper Mills,Salem Steel,plastic,4074.0,23.26,17.78,0.0,2,0
Electro-Recycle,Chennai Polymers,plastic,1861.0,22.42,16.34,19.88,2,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,2273.0,22.75,16.3,18.62,5,1
Kovai Paper Mills,Salem Scrap Yard,textile,5920.0,17.04,13.46,15.06,3,1
EcoFibre Ltd,Chennai Polymers,textile,9285.0,19.35,14.21,15.33,2,1
EcoFibre Ltd,Coimbatore E-Hub,metal,1113.0,121.75,80.92,104.06,2,1
EcoFibre Ltd,Chennai Polymers,metal,7108.0,114.35,83.81,97.43,2,1
Electro-Recycle,Salem Scrap Yard,battery,3624.0,17.59,13.05,0.0,3,0
Tiruppur Textiles,Chennai Polymers,battery,8766.0,17.76,12.99,15.0,2,1
Tiruppur Textiles,Coimbatore E-Hub,battery,4816.0,17.06,12.78,14.73,3,1
Tiruppur Textiles,Coimbatore E-Hub,metal,9222.0,112.31,94.19,96.89,3,1
EcoFibre Ltd,Salem Steel,textile,7069.0,17.33,13.14,15.39,5,1
Electro-Recycle,Salem Scrap Yard,textile,6481.0,17.64,12.77,15.32,2,1
Kovai Paper Mills,Salem Scrap Yard,plastic,4270.0,23.25,18.62,20.69,5,1
EcoFibre Ltd,Salem Steel,metal,1442.0,124.86,80.76,0.0,3,0
Kovai Paper Mills,Salem Steel,battery,670.0,16.9,14.12,15.28,3,1
Kovai Paper Mills,Salem Scrap Yard,textile,4669.0,17.84,12.51,15.39,3,1
Tiruppur Textiles,Coimbatore E-Hub,metal,7304.0,116.86,83.63,99.47,4,1
EcoFibre Ltd,Salem Steel,textile,7580.0,18.82,13.83,16.3,4,1
Electro-Recycle,Salem Steel,plastic,6987.0,23.62,17.35,19.86,3,1
Electro-Recycle,Salem Scrap Yard,textile,3153.0,16.71,12.88,15.26,2,1
Kovai Paper Mills,Coimbatore E-Hub,battery,4259.0,19.12,12.11,15.13,2,1
EcoFibre Ltd,Coimbatore E-Hub,textile,9149.0,17.1,14.11,15.44,2,1
Kovai Paper Mills,Salem Steel,battery,779.0,17.08,13.5,15.3,3,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,2576.0,24.36,16.6,19.93,4,1
Kovai Paper Mills,Salem Steel,metal,8642.0,120.39,88.44,107.72,2,1
Kovai Paper Mills,Coimbatore E-Hub,battery,6601.0,16.85,12.13,14.71,5,1
Kovai Paper Mills,Salem Steel,textile,5049.0,18.59,12.87,15.58,5,1
Kovai Paper Mills,Salem Steel,battery,5690.0,17.93,12.73,14.83,2,1
Tiruppur Textiles,Salem Steel,paper,9583.0,18.16,13.01,15.14,4,1
Kovai Paper Mills,Chennai Polymers,battery,1718.0,17.68,13.9,15.31,2,1
Electro-Recycle,Salem Scrap Yard,paper,2342.0,18.1,13.82,15.66,5,1
Electro-Recycle,Chennai Polymers,paper,2557.0,18.0,12.32,0.0,3,0
EcoFibre Ltd,Salem Scrap Yard,metal,5504.0,119.58,80.26,99.04,2,1
EcoFibre Ltd,Chennai Polymers,textile,829.0,18.64,13.66,16.22,3,1
Kovai Paper Mills,Salem Scrap Yard,plastic,2061.0,22.74,16.38,19.81,5,1
Tiruppur Textiles,Salem Steel,battery,2115.0,18.56,12.04,15.03,4,1
Electro-Recycle,Salem Scrap Yard,paper,5791.0,18.05,13.87,15.4,3,1
Tiruppur Textiles,Chennai Polymers,paper,5861.0,16.82,13.11,15.56,5,1
EcoFibre Ltd,Salem Scrap Yard,battery,5053.0,16.74,12.16,14.69,4,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,2946.0,25.54,16.64,21.19,4,1
Tiruppur Textiles,Salem Scrap Yard,battery,3131.0,18.8,12.76,15.65,4,1
EcoFibre Ltd,Salem Scrap Yard,paper,2280.0,17.73,12.24,14.43,2,1
EcoFibre Ltd,Salem Scrap Yard,textile,2895.0,16.79,13.48,15.01,2,1
Tiruppur Textiles,Salem Scrap Yard,textile,4051.0,16.54,12.6,14.61,3,1
Kovai Paper Mills,Chennai Polymers,paper,8428.0,17.48,12.31,15.23,5,1
EcoFibre Ltd,Chennai Polymers,paper,3773.0,17.41,12.58,0.0,2,0
Electro-Recycle,Chennai Polymers,paper,6123.0,18.98,12.57,16.13,4,1
EcoFibre Ltd,Salem Scrap Yard,textile,4552.0,18.54,12.45,0.0,4,0
Electro-Recycle,Salem Steel,metal,9887.0,117.96,85.47,103.9,3,1
EcoFibre Ltd,Chennai Polymers,plastic,9091.0,22.98,18.19,0.0,5,0
Electro-Recycle,Salem Steel,paper,1000.0,18.54,13.78,0.0,3,0
EcoFibre Ltd,Chennai Polymers,metal,955.0,116.72,82.32,100.12,2,1
Tiruppur Textiles,Salem Scrap Yard,plastic,5369.0,25.22,18.08,21.32,3,1
EcoFibre Ltd,Salem Scrap Yard,metal,6639.0,111.78,80.87,93.82,3,1
Kovai Paper Mills,Salem Steel,plastic,6747.0,24.26,17.1,21.11,5,1
Kovai Paper Mills,Coimbatore E-Hub,textile,833.0,19.47,13.8,16.78,3,1
Kovai Paper Mills,Chennai Polymers,metal,1232.0,123.6,92.46,0.0,2,0
Kovai Paper Mills,Salem Steel,battery,5164.0,16.5,12.38,14.27,5,1
Electro-Recycle,Chennai Polymers,battery,7313.0,17.85,14.11,0.0,4,0
Kovai Paper Mills,Salem Scrap Yard,textile,7508.0,18.34,13.2,15.61,4,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,6172.0,25.11,16.93,21.22,3,1
Electro-Recycle,Coimbatore E-Hub,metal,9164.0,123.54,93.12,108.47,2,1
Kovai Paper Mills,Chennai Polymers,paper,9003.0,17.49,12.61,0.0,4,0
Electro-Recycle,Coimbatore E-Hub,metal,7517.0,113.32,85.24,100.91,3,1
Electro-Recycle,Chennai Polymers,plastic,1831.0,25.91,18.36,22.45,5,1
Kovai Paper Mills,Chennai Polymers,textile,6618.0,17.03,12.68,15.03,3,1
Electro-Recycle,Coimbatore E-Hub,metal,2562.0,111.21,86.65,98.74,2,1
Electro-Recycle,Coimbatore E-Hub,battery,4535.0,18.24,13.5,0.0,3,0
Electro-Recycle,Salem Steel,battery,1939.0,17.94,13.52,15.48,4,1
EcoFibre Ltd,Coimbatore E-Hub,textile,1465.0,16.87,13.93,15.29,5,1
Tiruppur Textiles,Chennai Polymers,textile,1371.0,18.56,13.67,16.3,4,1
Kovai Paper Mills,Chennai Polymers,battery,7689.0,18.69,14.09,16.31,4,1
Electro-Recycle,Coimbatore E-Hub,textile,520.0,19.4,13.36,16.31,4,1
Tiruppur Textiles,Chennai Polymers,paper,4814.0,17.11,12.61,0.0,2,0
Kovai Paper Mills,Salem Steel,textile,9272.0,17.37,13.27,15.15,3,1
Electro-Recycle,Coimbatore E-Hub,textile,3990.0,16.58,13.45,14.79,2,1
Kovai Paper Mills,Coimbatore E-Hub,textile,2264.0,18.04,12.31,14.7,3,1
Tiruppur Textiles,Chennai Polymers,plastic,4335.0,22.49,17.83,19.84,4,1
Tiruppur Textiles,Salem Scrap Yard,paper,1543.0,18.01,14.01,15.37,3,1
Electro-Recycle,Salem Scrap Yard,metal,1294.0,121.57,83.89,105.66,3,1
Tiruppur Textiles,Salem Scrap Yard,plastic,4869.0,22.25,16.32,18.48,5,1
Tiruppur Textiles,Coimbatore E-Hub,paper,1620.0,17.75,12.6,15.66,2,1
Tiruppur Textiles,Salem Steel,paper,4480.0,17.72,12.48,14.14,4,1
Electro-Recycle,Salem Steel,plastic,1057.0,23.05,16.11,19.44,4,1
Tiruppur Textiles,Salem Steel,metal,9498.0,123.38,91.21,110.53,4,1
Tiruppur Textiles,Salem Steel,metal,1985.0,110.31,89.69,0.0,5,0
Kovai Paper Mills,Salem Scrap Yard,plastic,8535.0,22.49,17.46,20.64,3,1
Kovai Paper Mills,Coimbatore E-Hub,metal,4731.0,128.49,85.96,108.5,2,1
Kovai Paper Mills,Salem Scrap Yard,metal,3086.0,127.09,92.68,105.93,2,1
Kovai Paper Mills,Salem Scrap Yard,paper,9160.0,17.27,12.82,0.0,4,0
Tiruppur Textiles,Coimbatore E-Hub,paper,1059.0,18.06,12.08,14.66,3,1
EcoFibre Ltd,Chennai Polymers,metal,7411.0,112.8,87.7,105.31,3,1
Electro-Recycle,Chennai Polymers,metal,5997.0,119.39,86.59,96.55,3,1
Electro-Recycle,Salem Steel,paper,8470.0,19.05,13.97,15.93,4,1
Tiruppur Textiles,Salem Steel,textile,9059.0,18.06,13.53,15.76,5,1
Tiruppur Textiles,Coimbatore E-Hub,battery,4106.0,17.2,13.17,14.8,4,1
Electro-Recycle,Salem Steel,textile,7836.0,18.67,13.45,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,metal,5696.0,129.53,90.5,115.29,2,1
Tiruppur Textiles,Chennai Polymers,metal,6210.0,123.58,90.88,107.33,2,1
EcoFibre Ltd,Chennai Polymers,plastic,4296.0,23.32,18.58,20.73,4,1
Kovai Paper Mills,Chennai Polymers,paper,5360.0,17.5,13.87,15.84,2,1
Electro-Recycle,Salem Scrap Yard,battery,5778.0,16.89,13.69,0.0,4,0
Kovai Paper Mills,Salem Steel,metal,2120.0,115.06,80.61,99.82,3,1
EcoFibre Ltd,Salem Steel,battery,9450.0,16.75,13.53,15.07,4,1
Tiruppur Textiles,Chennai Polymers,battery,7993.0,16.77,14.15,15.96,4,1
Tiruppur Textiles,Salem Steel,textile,5468.0,19.27,13.08,15.95,5,1
Tiruppur Textiles,Chennai Polymers,paper,1763.0,17.73,12.84,14.89,3,1
Electro-Recycle,Coimbatore E-Hub,battery,1522.0,18.53,13.09,15.74,4,1
Tiruppur Textiles,Salem Scrap Yard,paper,905.0,17.25,13.66,0.0,3,0
EcoFibre Ltd,Chennai Polymers,plastic,9202.0,24.58,17.25,21.43,3,1
Tiruppur Textiles,Salem Scrap Yard,plastic,8488.0,24.84,17.6,20.3,4,1
Tiruppur Textiles,Salem Steel,textile,9153.0,19.37,12.06,0.0,3,0
EcoFibre Ltd,Salem Steel,plastic,4034.0,24.2,16.87,19.59,3,1
Electro-Recycle,Salem Scrap Yard,plastic,7681.0,23.67,17.05,21.09,3,1
EcoFibre Ltd,Salem Steel,plastic,1068.0,24.82,18.72,21.46,3,1
Electro-Recycle,Salem Steel,paper,9908.0,18.57,12.24,14.15,5,1
Tiruppur Textiles,Coimbatore E-Hub,textile,1625.0,18.46,13.73,0.0,3,0
Electro-Recycle,Coimbatore E-Hub,plastic,4244.0,23.32,17.34,19.92,5,1
EcoFibre Ltd,Salem Scrap Yard,paper,5512.0,17.6,14.04,14.36,4,1
Electro-Recycle,Salem Steel,metal,1680.0,114.86,91.93,104.29,3,1
Kovai Paper Mills,Salem Steel,plastic,5278.0,25.57,16.58,21.14,3,1
