plant,equipment,power_usage,operating_hours,production,season,temperature
Tiruppur Weaving Plant,Compactor Press,253.83,3.0,5880.1,summer,38.8
Chennai Extrusion Center,Compactor Press,902.83,19.4,2808.0,monsoon,27.1
Chennai Extrusion Center,Shredder Mill,1745.12,20.0,3918.3,spring,26.2
Tiruppur Weaving Plant,Hydraulic Baler,520.58,9.0,9705.2,spring,32.3
Chennai Extrusion Center,Compactor Press,329.81,4.8,8504.3,summer,38.0
Coimbatore Sorting Hub,Pelletizer Extruder,1868.21,14.7,6605.0,summer,29.8
Chennai Extrusion Center,Shredder Mill,1706.05,18.5,8365.3,winter,18.6
Tiruppur Weaving Plant,Compactor Press,564.17,9.8,3594.2,summer,23.2
Chennai Extrusion Center,Shredder Mill,1078.57,12.4,1995.0,spring,38.1
Chennai Extrusion Center,Pelletizer Extruder,843.44,5.5,9014.7,monsoon,33.0
Chennai Extrusion Center,Pelletizer Extruder,1213.52,9.6,6404.3,monsoon,32.9
Chennai Extrusion Center,Shredder Mill,917.27,10.5,3788.0,monsoon,15.0
Salem Compressed Scrap,Pelletizer Extruder,887.2,6.6,2879.6,winter,19.5
Chennai Extrusion Center,Shredder Mill,407.78,2.8,9074.2,monsoon,24.6
Salem Compressed Scrap,Shredder Mill,1315.26,14.1,8259.5,monsoon,38.2
Chennai Extrusion Center,Hydraulic Baler,966.81,18.1,6360.4,spring,19.1
Salem Compressed Scrap,Shredder Mill,791.05,8.3,6064.9,summer,27.3
Tiruppur Weaving Plant,Shredder Mill,1161.24,13.1,670.9,winter,40.2
Tiruppur Weaving Plant,Hydraulic Baler,867.79,18.0,693.2,summer,18.7
Tiruppur Weaving Plant,Hydraulic Baler,600.74,12.3,3091.5,winter,18.2
Tiruppur Weaving Plant,Pelletizer Extruder,1098.46,7.4,9046.3,winter,27.4
Chennai Extrusion Center,Hydraulic Baler,466.57,9.4,4186.9,winter,19.2
Chennai Extrusion Center,Hydraulic Baler,556.35,10.0,4608.2,spring,41.3
Salem Compressed Scrap,Compactor Press,1130.41,22.3,8807.0,winter,34.9
Chennai Extrusion Center,Compactor Press,928.38,18.8,4611.3,spring,23.0
Chennai Extrusion Center,Hydraulic Baler,376.91,8.2,860.8,monsoon,17.5
Salem Compressed Scrap,Compactor Press,834.67,17.2,1707.5,spring,23.4
Chennai Extrusion Center,Pelletizer Extruder,1106.18,8.1,9693.5,spring,20.4
Salem Compressed Scrap,Hydraulic Baler,763.91,15.5,2985.9,monsoon,28.1
Tiruppur Weaving Plant,Hydraulic Baler,916.89,17.9,2514.4,monsoon,26.0
Chennai Extrusion Center,Shredder Mill,1291.54,13.4,9126.8,spring,23.8
Salem Compressed Scrap,Compactor Press,956.87,19.3,6047.3,winter,28.0
Salem Compressed Scrap,Pelletizer Extruder,1045.54,8.1,3582.8,monsoon,35.3
Coimbatore Sorting Hub,Hydraulic Baler,895.57,18.8,548.2,monsoon,38.4
Tiruppur Weaving Plant,Hydraulic Baler,867.25,16.7,1699.7,monsoon,32.7
Coimbatore Sorting Hub,Compactor Press,782.62,15.7,6447.9,spring,20.9
Tiruppur Weaving Plant,Shredder Mill,1475.99,15.6,7814.7,summer,21.5
Chennai Extrusion Center,Pelletizer Extruder,1627.75,13.2,3525.3,winter,23.5
Tiruppur Weaving Plant,Compactor Press,951.5,18.1,4403.9,spring,28.5
Tiruppur Weaving Plant,Compactor Press,310.55,4.9,7684.2,winter,21.5
Tiruppur Weaving Plant,Hydraulic Baler,1021.46,21.5,4094.3,monsoon,24.6
Salem Compressed Scrap,Pelletizer Extruder,1320.76,9.1,9823.8,summer,36.1
Tiruppur Weaving Plant,Compactor Press,449.55,7.0,9261.1,monsoon,19.7
Salem Compressed Scrap,Hydraulic Baler,306.31,4.5,7695.5,summer,19.8
Chennai Extrusion Center,Hydraulic Baler,690.68,13.9,1745.3,monsoon,27.6
Chennai Extrusion Center,Pelletizer Extruder,2558.14,21.2,1286.0,summer,40.2
Coimbatore Sorting Hub,Shredder Mill,730.45,7.6,4363.0,monsoon,26.3
Chennai Extrusion Center,Hydraulic Baler,248.94,4.4,1461.1,monsoon,39.6
Tiruppur Weaving Plant,Hydraulic Baler,393.6,7.4,1749.9,summer,41.1
Coimbatore Sorting Hub,Compactor Press,703.56,14.5,3760.2,monsoon,15.3
Tiruppur Weaving Plant,Hydraulic Baler,243.64,3.0,5666.8,monsoon,24.9
Coimbatore Sorting Hub,Pelletizer Extruder,2367.14,18.6,9697.1,winter,39.5
Chennai Extrusion Center,Compactor Press,754.14,13.7,3202.9,winter,16.5
Tiruppur Weaving Plant,Compactor Press,441.71,9.1,4682.1,monsoon,22.2
Coimbatore Sorting Hub,Hydraulic Baler,490.47,9.1,5747.2,spring,41.5
Tiruppur Weaving Plant,Pelletizer Extruder,1412.6,11.0,3604.3,monsoon,17.1
Chennai Extrusion Center,Hydraulic Baler,570.92,10.5,5106.2,monsoon,39.2
Tiruppur Weaving Plant,Compactor Press,990.24,18.8,9929.7,summer,30.4
Coimbatore Sorting Hub,Shredder Mill,546.13,5.1,6414.2,monsoon,37.3
Salem Compressed Scrap,Shredder Mill,2084.19,23.2,5700.4,summer,28.3
Salem Compressed Scrap,Pelletizer Extruder,2819.57,23.5,2005.9,spring,24.4
Tiruppur Weaving Plant,Shredder Mill,1482.63,16.7,1183.8,winter,37.5
Tiruppur Weaving Plant,Pelletizer Extruder,2323.76,19.4,796.5,winter,26.9
Salem Compressed Scrap,Pelletizer Extruder,2190.04,16.7,9740.0,spring,32.7
Tiruppur Weaving Plant,Compactor Press,1044.91,22.9,2837.0,summer,31.4
Chennai Extrusion Center,Hydraulic Baler,922.02,18.3,6785.1,monsoon,20.1
Coimbatore Sorting Hub,Hydraulic Baler,440.86,6.7,8685.4,summer,16.5
Coimbatore Sorting Hub,Pelletizer Extruder,1205.66,9.7,4535.9,monsoon,22.2
Tiruppur Weaving Plant,Pelletizer Extruder,1609.8,12.4,7213.1,monsoon,30.0
Tiruppur Weaving Plant,Shredder Mill,1616.04,17.8,7206.9,monsoon,34.0
Tiruppur Weaving Plant,Compactor Press,771.49,13.9,8571.2,summer,34.8
Chennai Extrusion Center,Shredder Mill,483.19,4.3,7093.7,winter,32.1
Chennai Extrusion Center,Pelletizer Extruder,1828.04,15.3,1649.1,monsoon,19.4
Chennai Extrusion Center,Shredder Mill,1522.76,17.0,5267.5,winter,41.7
Chennai Extrusion Center,Pelletizer Extruder,2123.69,17.1,3591.5,summer,39.2
Chennai Extrusion Center,Compactor Press,212.55,3.8,2240.1,winter,29.5
Salem Compressed Scrap,Shredder Mill,288.47,3.4,2043.7,monsoon,15.5
Tiruppur Weaving Plant,Hydraulic Baler,355.38,5.3,4955.9,winter,24.8
Salem Compressed Scrap,Hydraulic Baler,901.4,16.7,9721.3,monsoon,16.9
Tiruppur Weaving Plant,Compactor Press,638.34,13.4,3396.0,spring,29.7
Salem Compressed Scrap,Hydraulic Baler,262.52,6.0,1316.1,winter,31.6
Salem Compressed Scrap,Shredder Mill,534.06,5.3,5765.9,monsoon,17.7
Chennai Extrusion Center,Pelletizer Extruder,2094.62,16.6,6825.0,winter,20.8
Chennai Extrusion Center,Compactor Press,976.0,20.5,5444.3,monsoon,21.1
Tiruppur Weaving Plant,Compactor Press,342.79,4.8,6573.0,spring,27.2
Tiruppur Weaving Plant,Hydraulic Baler,408.27,5.7,8419.0,monsoon,29.5
Tiruppur Weaving Plant,Pelletizer Extruder,1045.47,7.9,6238.0,summer,17.5
Coimbatore Sorting Hub,Shredder Mill,1861.63,20.6,6304.1,monsoon,24.9
Salem Compressed Scrap,Shredder Mill,996.59,10.4,8447.9,monsoon,37.5
Tiruppur Weaving Plant,Pelletizer Extruder,1105.74,8.8,690.4,spring,25.8
Tiruppur Weaving Plant,Compactor Press,754.37,16.7,621.3,monsoon,15.2
Tiruppur Weaving Plant,Compactor Press,492.42,7.5,8838.3,spring,41.0
Chennai Extrusion Center,Shredder Mill,1700.52,19.8,1538.9,winter,33.7
Salem Compressed Scrap,Compactor Press,751.95,15.3,5284.4,summer,20.7
Salem Compressed Scrap,Hydraulic Baler,743.35,13.9,8412.5,summer,22.5
Tiruppur Weaving Plant,Compactor Press,511.07,7.6,8895.5,summer,40.1
Salem Compressed Scrap,Compactor Press,1037.15,23.9,714.4,monsoon,35.8
Coimbatore Sorting Hub,Compactor Press,955.51,18.5,7947.3,spring,25.0
Tiruppur Weaving Plant,Pelletizer Extruder,1816.44,14.3,7421.8,winter,36.3
Tiruppur Weaving Plant,Shredder Mill,1051.42,11.4,3086.3,summer,18.2
Chennai Extrusion Center,Pelletizer Extruder,1708.96,13.0,8484.2,spring,16.0
Tiruppur Weaving Plant,Shredder Mill,847.61,8.4,8811.5,monsoon,31.0
Coimbatore Sorting Hub,Shredder Mill,508.97,5.7,943.5,spring,21.4
Chennai Extrusion Center,Hydraulic Baler,764.99,14.6,5255.5,spring,27.6
Chennai Extrusion Center,Shredder Mill,1091.37,11.9,2292.0,summer,21.3
Coimbatore Sorting Hub,Hydraulic Baler,791.9,15.9,3821.1,monsoon,28.5
Salem Compressed Scrap,Hydraulic Baler,1074.16,22.2,1024.0,winter,34.8
Salem Compressed Scrap,Compactor Press,577.24,11.1,2625.9,spring,34.3
Salem Compressed Scrap,Hydraulic Baler,941.16,17.5,6881.9,summer,34.4
Salem Compressed Scrap,Shredder Mill,967.44,10.4,2609.8,summer,29.1
Tiruppur Weaving Plant,Compactor Press,408.22,6.2,8480.0,monsoon,38.0
Coimbatore Sorting Hub,Shredder Mill,1638.19,18.2,3393.5,monsoon,19.8
Tiruppur Weaving Plant,Hydraulic Baler,1065.88,21.9,3541.7,summer,37.9
Tiruppur Weaving Plant,Hydraulic Baler,760.87,15.3,3310.3,spring,39.4
Coimbatore Sorting Hub,Pelletizer Extruder,982.67,7.4,4759.9,spring,16.4
Salem Compressed Scrap,Shredder Mill,1573.95,18.0,3799.2,winter,32.6
Salem Compressed Scrap,Shredder Mill,1142.79,11.7,9061.2,monsoon,30.6
Coimbatore Sorting Hub,Hydraulic Baler,1044.99,20.4,8886.4,monsoon,23.8
Tiruppur Weaving Plant,Shredder Mill,298.75,3.2,726.9,summer,41.3
Tiruppur Weaving Plant,Shredder Mill,1677.89,18.6,6581.8,winter,20.4
Tiruppur Weaving Plant,Compactor Press,748.5,15.0,1186.2,summer,39.0
Tiruppur Weaving Plant,Shredder Mill,568.08,6.2,1546.6,monsoon,27.9
Chennai Extrusion Center,Pelletizer Extruder,480.56,2.8,6403.9,summer,23.1
Chennai Extrusion Center,Compactor Press,909.11,18.0,8439.9,summer,24.2
Tiruppur Weaving Plant,Compactor Press,818.18,14.3,8886.9,monsoon,41.6
Tiruppur Weaving Plant,Shredder Mill,777.58,8.4,3035.5,spring,40.3
Chennai Extrusion Center,Compactor Press,763.24,15.5,5083.0,summer,28.5
Salem Compressed Scrap,Pelletizer Extruder,2226.36,17.8,5910.5,spring,38.8
Chennai Extrusion Center,Hydraulic Baler,856.05,15.0,9391.9,summer,27.5
Tiruppur Weaving Plant,Shredder Mill,296.4,2.7,5823.8,spring,16.3
Salem Compressed Scrap,Hydraulic Baler,752.76,14.2,7739.3,monsoon,15.4
Chennai Extrusion Center,Compactor Press,454.24,8.1,6027.7,monsoon,40.8
Chennai Extrusion Center,Pelletizer Extruder,2713.26,22.3,4546.0,summer,16.5
Salem Compressed Scrap,Pelletizer Extruder,1873.34,14.5,9319.2,winter,17.6
Chennai Extrusion Center,Shredder Mill,2005.33,22.5,5652.7,spring,19.9
Coimbatore Sorting Hub,Compactor Press,1065.49,21.2,5856.7,winter,20.6
Salem Compressed Scrap,Compactor Press,240.64,3.7,6235.7,summer,18.6
Salem Compressed Scrap,Compactor Press,187.42,2.3,9253.5,spring,19.3
Tiruppur Weaving Plant,Compactor Press,304.45,4.8,4540.9,summer,30.3
Coimbatore Sorting Hub,Pelletizer Extruder,1736.23,14.3,638.1,spring,17.4
Chennai Extrusion Center,Hydraulic Baler,924.87,17.7,6764.5,summer,29.3
Tiruppur Weaving Plant,Hydraulic Baler,521.64,9.5,4964.8,winter,21.7
Salem Compressed Scrap,Shredder Mill,807.06,9.4,744.6,monsoon,32.0
Coimbatore Sorting Hub,Pelletizer Extruder,2011.88,15.9,3238.8,spring,15.4
Salem Compressed Scrap,Hydraulic Baler,612.98,12.8,3748.4,winter,28.5
Tiruppur Weaving Plant,Compactor Press,1190.43,23.0,6234.0,monsoon,34.6
Chennai Extrusion Center,Compactor Press,1081.51,22.6,2063.0,spring,20.0
Tiruppur Weaving Plant,Shredder Mill,1464.7,16.8,3524.3,summer,17.9
Salem Compressed Scrap,Compactor Press,1042.78,20.8,2941.0,monsoon,21.5
Coimbatore Sorting Hub,Shredder Mill,1057.34,12.1,3943.8,monsoon,21.8
Tiruppur Weaving Plant,Hydraulic Baler,1144.98,21.9,5884.7,spring,40.7
Coimbatore Sorting Hub,Shredder Mill,1928.15,20.8,9331.0,monsoon,24.1
Tiruppur Weaving Plant,Compactor Press,235.94,4.1,2404.5,winter,37.0
Chennai Extrusion Center,Shredder Mill,688.58,6.6,9105.6,spring,25.3
Coimbatore Sorting Hub,Shredder Mill,1337.18,14.5,4675.3,monsoon,18.6
Salem Compressed Scrap,Hydraulic Baler,980.3,21.1,816.6,summer,15.4
Coimbatore Sorting Hub,Pelletizer Extruder,2220.58,17.4,8007.5,spring,28.8
Chennai Extrusion Center,Shredder Mill,1514.59,16.6,8878.1,monsoon,16.5
Salem Compressed Scrap,Pelletizer Extruder,362.73,2.2,6459.0,winter,25.1
Salem Compressed Scrap,Hydraulic Baler,445.58,8.6,6197.2,spring,15.9
Tiruppur Weaving Plant,Compactor Press,1019.06,21.6,5587.5,winter,15.4
Tiruppur Weaving Plant,Compactor Press,617.39,11.2,7593.4,winter,29.8
Salem Compressed Scrap,Hydraulic Baler,327.65,4.3,8315.2,spring,25.4
Coimbatore Sorting Hub,Compactor Press,985.16,20.2,3114.7,monsoon,26.9
Coimbatore Sorting Hub,Hydraulic Baler,996.68,20.7,7207.6,summer,25.8
Tiruppur Weaving Plant,Hydraulic Baler,938.21,19.2,7710.5,monsoon,16.2
Chennai Extrusion Center,Shredder Mill,559.04,4.9,8062.7,monsoon,17.4
Chennai Extrusion Center,Hydraulic Baler,662.33,11.5,6957.4,summer,21.6
Tiruppur Weaving Plant,Pelletizer Extruder,604.14,4.7,1580.7,spring,17.9
Coimbatore Sorting Hub,Compactor Press,468.55,9.0,3484.0,monsoon,38.0
Chennai Extrusion Center,Shredder Mill,1658.16,19.0,2103.9,winter,34.7
Chennai Extrusion Center,Hydraulic Baler,582.91,9.7,9983.1,monsoon,27.8
Chennai Extrusion Center,Compactor Press,831.28,16.1,9062.0,summer,18.9
Chennai Extrusion Center,Hydraulic Baler,329.16,3.7,7086.3,winter,39.1
Chennai Extrusion Center,Compactor Press,901.67,16.7,8400.0,winter,21.6
Salem Compressed Scrap,Compactor Press,1247.66,23.6,9030.0,spring,15.8
Tiruppur Weaving Plant,Pelletizer Extruder,396.49,2.7,4493.2,winter,21.3
Chennai Extrusion Center,Hydraulic Baler,268.95,2.8,9191.1,summer,39.9
Tiruppur Weaving Plant,Shredder Mill,1649.59,18.1,7237.2,monsoon,31.6
Salem Compressed Scrap,Compactor Press,680.03,12.6,3569.2,summer,27.2
Coimbatore Sorting Hub,Compactor Press,1071.11,20.4,6720.4,winter,39.7
Coimbatore Sorting Hub,Pelletizer Extruder,2018.67,15.8,2965.7,monsoon,39.5
Salem Compressed Scrap,Shredder Mill,1632.79,17.8,7029.2,summer,41.8
Salem Compressed Scrap,Compactor Press,903.85,20.1,1377.3,monsoon,16.1
Tiruppur Weaving Plant,Pelletizer Extruder,1484.62,11.9,6548.6,monsoon,29.1
Coimbatore Sorting Hub,Hydraulic Baler,457.29,8.0,7368.0,winter,28.4
Chennai Extrusion Center,Compactor Press,981.83,19.6,4399.8,spring,35.1
Chennai Extrusion Center,Compactor Press,779.23,15.4,4093.0,summer,18.0
Chennai Extrusion Center,Shredder Mill,396.28,4.2,3078.1,monsoon,36.9
Tiruppur Weaving Plant,Compactor Press,1169.1,22.7,8934.7,monsoon,27.2
Coimbatore Sorting Hub,Shredder Mill,1489.45,17.6,796.2,spring,34.2
Tiruppur Weaving Plant,Compactor Press,1098.69,22.1,6698.6,spring,25.7
Coimbatore Sorting Hub,Compactor Press,408.05,7.2,5066.2,spring,38.2
Chennai Extrusion Center,Hydraulic Baler,1028.71,22.6,1954.8,winter,28.0
Tiruppur Weaving Plant,Compactor Press,620.49,11.9,5921.3,winter,18.5
Chennai Extrusion Center,Hydraulic Baler,473.79,8.2,5774.0,spring,30.8
Chennai Extrusion Center,Pelletizer Extruder,1604.64,12.7,3480.9,summer,36.0
Salem Compressed Scrap,Compactor Press,697.5,13.7,4449.9,winter,16.4
Salem Compressed Scrap,Pelletizer Extruder,2588.2,21.0,4711.5,winter,30.1
Chennai Extrusion Center,Compactor Press,597.2,11.0,7608.2,monsoon,30.8
Chennai Extrusion Center,Pelletizer Extruder,2888.01,23.7,4194.1,spring,40.8
Coimbatore Sorting Hub,Shredder Mill,1482.83,17.1,1691.7,winter,41.3
Tiruppur Weaving Plant,Pelletizer Extruder,1384.97,11.0,3164.4,monsoon,23.4
Salem Compressed Scrap,Pelletizer Extruder,3004.95,23.8,6952.0,monsoon,32.7
Tiruppur Weaving Plant,Hydraulic Baler,131.55,2.0,1705.9,winter,37.6
Salem Compressed Scrap,Pelletizer Extruder,1794.64,14.3,5015.3,spring,33.4
Tiruppur Weaving Plant,Hydraulic Baler,630.75,10.7,9656.3,winter,25.9
Tiruppur Weaving Plant,Hydraulic Baler,248.08,2.8,5735.8,summer,15.6
Chennai Extrusion Center,Hydraulic Baler,1032.38,22.3,3548.9,summer,21.5
Chennai Extrusion Center,Compactor Press,334.2,4.3,7212.2,monsoon,34.2
Salem Compressed Scrap,Pelletizer Extruder,1486.36,10.9,7941.3,summer,28.0
Tiruppur Weaving Plant,Hydraulic Baler,201.93,4.0,685.3,monsoon,33.5
Chennai Extrusion Center,Shredder Mill,688.28,6.3,8252.3,winter,20.4
Tiruppur Weaving Plant,Pelletizer Extruder,2839.67,23.6,2381.3,monsoon,16.1
Tiruppur Weaving Plant,Hydraulic Baler,91.16,2.1,1953.0,monsoon,21.0
Tiruppur Weaving Plant,Pelletizer Extruder,1136.04,9.3,687.4,winter,25.7
Tiruppur Weaving Plant,Pelletizer Extruder,914.51,6.6,4089.1,spring,35.5
Salem Compressed Scrap,Hydraulic Baler,813.35,17.0,527.0,summer,40.3
Tiruppur Weaving Plant,Pelletizer Extruder,2085.09,16.6,2923.3,spring,40.6
Salem Compressed Scrap,Compactor Press,1209.98,23.6,9302.2,summer,30.1
Tiruppur Weaving Plant,Compactor Press,705.04,13.1,5846.9,winter,41.4
Tiruppur Weaving Plant,Pelletizer Extruder,728.32,5.6,2867.4,monsoon,24.4
Chennai Extrusion Center,Shredder Mill,818.03,9.9,1695.1,winter,26.4
Salem Compressed Scrap,Pelletizer Extruder,1476.23,11.7,2905.9,winter,36.4
Salem Compressed Scrap,Pelletizer Extruder,754.49,5.4,7246.6,winter,32.8
Chennai Extrusion Center,Shredder Mill,1012.64,9.9,6844.2,monsoon,39.7
Salem Compressed Scrap,Hydraulic Baler,1145.97,22.3,9795.8,winter,20.5
Tiruppur Weaving Plant,Compactor Press,639.78,12.9,5022.2,spring,15.6
Salem Compressed Scrap,Hydraulic Baler,215.46,2.3,6742.6,spring,28.0
Tiruppur Weaving Plant,Pelletizer Extruder,2730.48,21.5,6667.7,winter,28.8
Chennai Extrusion Center,Shredder Mill,950.3,10.8,751.2,summer,21.1
Tiruppur Weaving Plant,Compactor Press,1115.99,21.9,6886.6,spring,28.8
Coimbatore Sorting Hub,Compactor Press,815.72,17.3,1173.7,summer,29.1
Tiruppur Weaving Plant,Compactor Press,843.31,17.4,2473.8,summer,36.3
Tiruppur Weaving Plant,Pelletizer Extruder,2183.69,17.6,2541.1,spring,30.8
Chennai Extrusion Center,Pelletizer Extruder,2973.71,23.7,6579.6,winter,31.3
Coimbatore Sorting Hub,Compactor Press,508.66,8.6,8735.9,monsoon,19.6
Tiruppur Weaving Plant,Pelletizer Extruder,2132.16,17.7,2503.8,summer,18.4
Salem Compressed Scrap,Shredder Mill,1836.86,21.0,4913.5,winter,19.8
Coimbatore Sorting Hub,Pelletizer Extruder,1345.19,10.8,3203.7,spring,28.1
Coimbatore Sorting Hub,Shredder Mill,1788.55,19.3,8305.0,spring,18.4
Coimbatore Sorting Hub,Compactor Press,693.3,11.6,9641.9,spring,38.0
Salem Compressed Scrap,Shredder Mill,672.52,6.3,3513.9,monsoon,39.1
Tiruppur Weaving Plant,Compactor Press,925.59,20.6,3936.8,spring,27.2
Tiruppur Weaving Plant,Compactor Press,911.26,18.8,4749.7,spring,38.3
Tiruppur Weaving Plant,Compactor Press,876.23,17.2,6273.2,winter,30.7
Coimbatore Sorting Hub,Pelletizer Extruder,699.97,5.8,2655.0,monsoon,19.3
Salem Compressed Scrap,Hydraulic Baler,258.3,3.5,8381.9,monsoon,28.3
Salem Compressed Scrap,Compactor Press,506.89,9.3,6152.9,monsoon,40.8
Salem Compressed Scrap,Hydraulic Baler,752.07,14.7,3899.2,summer,38.2
Chennai Extrusion Center,Shredder Mill,1289.86,13.0,9349.6,summer,37.8
Coimbatore Sorting Hub,Hydraulic Baler,523.26,11.3,1131.5,spring,25.3
Tiruppur Weaving Plant,Compactor Press,1104.91,23.6,3827.6,monsoon,35.6
Tiruppur Weaving Plant,Hydraulic Baler,532.87,10.3,4995.1,spring,21.2
Chennai Extrusion Center,Pelletizer Extruder,568.06,4.9,3438.0,monsoon,33.8
Tiruppur Weaving Plant,Hydraulic Baler,539.31,9.3,7413.2,spring,26.2
Coimbatore Sorting Hub,Hydraulic Baler,357.96,6.6,6713.2,summer,22.0
Coimbatore Sorting Hub,Compactor Press,468.9,8.8,2798.6,winter,33.2
Salem Compressed Scrap,Shredder Mill,1531.55,17.3,4694.7,summer,39.6
Salem Compressed Scrap,Shredder Mill,699.16,6.5,7557.5,summer,39.3
Tiruppur Weaving Plant,Pelletizer Extruder,2545.09,19.7,9958.2,winter,17.7
Chennai Extrusion Center,Pelletizer Extruder,467.0,4.1,714.2,spring,27.0
Tiruppur Weaving Plant,Compactor Press,1058.28,21.2,7196.7,winter,29.1
Tiruppur Weaving Plant,Pelletizer Extruder,1585.88,12.8,1548.9,spring,40.2
Tiruppur Weaving Plant,Hydraulic Baler,877.52,18.8,1369.1,summer,15.5
Tiruppur Weaving Plant,Shredder Mill,1859.41,21.1,3231.7,winter,41.8
Tiruppur Weaving Plant,Shredder Mill,573.37,5.7,3503.0,spring,30.0
Coimbatore Sorting Hub,Shredder Mill,1599.24,17.2,7976.2,summer,31.1
Coimbatore Sorting Hub,Compactor Press,411.76,8.3,2262.5,winter,27.2
Tiruppur Weaving Plant,Pelletizer Extruder,971.7,7.8,3886.5,summer,27.2
Coimbatore Sorting Hub,Hydraulic Baler,333.32,5.4,4550.9,winter,28.2
Tiruppur Weaving Plant,Hydraulic Baler,914.23,15.7,9702.1,monsoon,15.5
Tiruppur Weaving Plant,Hydraulic Baler,987.63,19.3,5642.7,monsoon,19.8
Salem Compressed Scrap,Shredder Mill,585.89,4.8,8663.7,spring,25.7
Coimbatore Sorting Hub,Compactor Press,935.89,19.7,4049.7,spring,18.1
Chennai Extrusion Center,Pelletizer Extruder,2955.6,23.8,5848.6,winter,31.0
Chennai Extrusion Center,Hydraulic Baler,989.08,20.2,2120.0,monsoon,41.1
Chennai Extrusion Center,Hydraulic Baler,275.71,3.7,5134.3,summer,27.1
Tiruppur Weaving Plant,Compactor Press,523.71,10.6,4183.8,spring,20.4
Salem Compressed Scrap,Shredder Mill,736.44,8.5,2550.1,winter,35.7
Tiruppur Weaving Plant,Compactor Press,410.45,6.9,4903.7,monsoon,18.7
Chennai Extrusion Center,Hydraulic Baler,453.74,8.8,1877.8,winter,25.9
Chennai Extrusion Center,Shredder Mill,1608.69,18.3,5657.0,summer,16.8
Chennai Extrusion Center,Pelletizer Extruder,1623.74,12.9,7651.7,winter,19.2
Salem Compressed Scrap,Shredder Mill,1038.05,11.0,7030.9,summer,28.2
Chennai Extrusion Center,Shredder Mill,1028.55,11.3,5930.5,monsoon,21.3
Salem Compressed Scrap,Pelletizer Extruder,2811.39,23.1,1428.2,monsoon,32.4
Coimbatore Sorting Hub,Compactor Press,1053.74,20.4,8097.7,summer,38.3
Chennai Extrusion Center,Compactor Press,901.1,17.1,6905.1,winter,39.2
Chennai Extrusion Center,Hydraulic Baler,796.22,14.2,9496.9,monsoon,31.4
Chennai Extrusion Center,Pelletizer Extruder,2497.64,20.2,4537.5,summer,29.8
Salem Compressed Scrap,Shredder Mill,2093.01,22.4,6091.6,winter,20.8
Chennai Extrusion Center,Compactor Press,516.89,11.1,2663.9,winter,18.0
Salem Compressed Scrap,Hydraulic Baler,553.46,10.7,9556.6,winter,26.7
Coimbatore Sorting Hub,Hydraulic Baler,217.32,2.8,5230.8,spring,40.9
Chennai Extrusion Center,Compactor Press,398.6,6.9,5368.2,monsoon,20.8
Chennai Extrusion Center,Hydraulic Baler,472.65,9.2,1865.0,spring,19.0
Tiruppur Weaving Plant,Shredder Mill,2152.66,23.7,8875.9,summer,24.1
Salem Compressed Scrap,Hydraulic Baler,421.67,8.9,1325.9,summer,31.4
Tiruppur Weaving Plant,Compactor Press,164.26,2.3,3285.0,winter,31.4
Chennai Extrusion Center,Hydraulic Baler,796.66,15.0,4976.1,monsoon,27.4
Coimbatore Sorting Hub,Shredder Mill,1466.05,16.3,7608.0,summer,35.1
Chennai Extrusion Center,Pelletizer Extruder,565.12,3.5,7374.0,winter,28.7
Chennai Extrusion Center,Pelletizer Extruder,2520.69,20.6,1106.7,spring,33.7
Tiruppur Weaving Plant,Compactor Press,650.42,12.9,3475.9,summer,33.9
Salem Compressed Scrap,Compactor Press,821.39,15.7,6824.3,spring,24.6
Salem Compressed Scrap,Hydraulic Baler,305.87,5.9,7561.7,spring,28.8
Chennai Extrusion Center,Compactor Press,539.86,11.4,3231.8,monsoon,26.3
Coimbatore Sorting Hub,Hydraulic Baler,233.61,3.2,5407.2,spring,31.7
Tiruppur Weaving Plant,Hydraulic Baler,961.79,17.6,7605.3,spring,21.8
Coimbatore Sorting Hub,Compactor Press,1161.62,23.1,8618.9,spring,25.4
Chennai Extrusion Center,Hydraulic Baler,387.27,4.5,8157.1,monsoon,39.3
Coimbatore Sorting Hub,Hydraulic Baler,1041.95,19.7,8023.6,summer,22.0
Chennai Extrusion Center,Hydraulic Baler,607.05,12.8,852.0,spring,40.6
Tiruppur Weaving Plant,Compactor Press,1141.56,23.4,2691.1,spring,35.8
Salem Compressed Scrap,Pelletizer Extruder,736.8,5.6,4640.6,monsoon,27.7
Tiruppur Weaving Plant,Pelletizer Extruder,2203.13,18.1,1333.8,spring,24.2
Coimbatore Sorting Hub,Compactor Press,520.13,9.8,3573.1,spring,18.7
Chennai Extrusion Center,Pelletizer Extruder,633.34,4.8,5027.9,monsoon,28.3
Coimbatore Sorting Hub,Pelletizer Extruder,2276.88,18.6,3179.0,winter,35.7
Salem Compressed Scrap,Pelletizer Extruder,611.0,4.7,2429.2,spring,17.4
Tiruppur Weaving Plant,Compactor Press,291.45,3.9,7714.6,monsoon,30.6
Chennai Extrusion Center,Hydraulic Baler,316.02,3.8,9931.6,spring,41.1
Salem Compressed Scrap,Hydraulic Baler,576.57,10.5,5575.3,spring,22.1
Salem Compressed Scrap,Hydraulic Baler,583.91,11.0,7344.0,winter,36.1
Tiruppur Weaving Plant,Shredder Mill,1826.57,19.6,7941.7,summer,30.5
