plant,workers,shift,attendance_rate,overtime_hours,downtime_hours,productivity
Chennai Extrusion Center,104,Night,0.84,7.1,1.8,67.3
Chennai Extrusion Center,21,Night,0.94,4.0,1.3,71.6
Salem Compressed Scrap,142,Morning,0.8,8.6,0.5,58.9
Tiruppur Weaving Plant,114,Afternoon,0.84,3.3,1.8,57.7
Coimbatore Sorting Hub,96,Afternoon,0.74,7.2,0.3,58.2
Coimbatore Sorting Hub,107,Night,0.86,9.3,3.8,53.0
Chennai Extrusion Center,26,Morning,0.92,8.9,1.8,60.6
Coimbatore Sorting Hub,83,Afternoon,0.96,4.4,2.3,76.0
Coimbatore Sorting Hub,84,Morning,0.97,4.1,3.0,67.9
Coimbatore Sorting Hub,85,Afternoon,0.82,9.5,3.6,52.6
Coimbatore Sorting Hub,124,Morning,0.85,7.4,3.1,50.0
Chennai Extrusion Center,51,Morning,0.84,3.3,3.0,58.3
Tiruppur Weaving Plant,63,Morning,0.94,9.9,2.7,66.4
Chennai Extrusion Center,130,Morning,0.71,5.2,2.3,49.5
Coimbatore Sorting Hub,14,Afternoon,0.81,6.8,0.3,72.7
Coimbatore Sorting Hub,147,Afternoon,0.82,4.0,0.1,70.5
Coimbatore Sorting Hub,122,Morning,0.71,3.0,3.7,37.2
Chennai Extrusion Center,141,Night,0.98,8.0,0.7,79.0
Coimbatore Sorting Hub,43,Afternoon,0.82,7.8,3.9,52.6
Tiruppur Weaving Plant,90,Night,0.73,0.2,3.2,40.7
Coimbatore Sorting Hub,108,Morning,0.76,8.2,3.2,42.2
Salem Compressed Scrap,143,Morning,0.77,7.3,0.2,67.0
Tiruppur Weaving Plant,92,Morning,1.0,2.9,0.6,71.8
Salem Compressed Scrap,79,Morning,0.91,1.2,0.9,74.8
Coimbatore Sorting Hub,89,Night,0.91,0.0,3.7,57.2
Coimbatore Sorting Hub,119,Morning,0.74,0.6,1.2,52.3
Coimbatore Sorting Hub,137,Night,0.93,0.2,2.2,68.5
Salem Compressed Scrap,131,Night,0.79,7.3,3.5,40.6
Coimbatore Sorting Hub,43,Night,0.77,3.4,0.7,65.7
Chennai Extrusion Center,95,Night,0.86,2.0,1.8,65.0
Tiruppur Weaving Plant,102,Afternoon,0.83,2.5,3.6,59.9
Coimbatore Sorting Hub,63,Night,0.9,2.2,2.4,70.0
Chennai Extrusion Center,44,Night,0.98,9.8,0.0,80.4
Coimbatore Sorting Hub,57,Morning,0.99,6.1,3.2,80.0
Salem Compressed Scrap,135,Night,0.84,9.0,0.1,79.0
Salem Compressed Scrap,110,Morning,0.91,3.4,0.4,68.1
Chennai Extrusion Center,38,Afternoon,0.97,6.5,0.7,75.5
Salem Compressed Scrap,18,Night,0.96,3.3,2.4,73.3
Chennai Extrusion Center,134,Morning,0.71,0.7,2.0,52.9
Chennai Extrusion Center,134,Afternoon,0.71,8.3,3.2,50.1
Tiruppur Weaving Plant,137,Afternoon,0.76,0.4,0.8,58.5
Chennai Extrusion Center,124,Night,0.88,9.9,2.6,61.2
Coimbatore Sorting Hub,76,Afternoon,0.98,3.8,0.3,85.9
Tiruppur Weaving Plant,103,Morning,0.95,1.3,3.6,52.8
Salem Compressed Scrap,49,Night,0.73,1.8,1.7,55.4
Tiruppur Weaving Plant,13,Night,0.8,6.1,2.3,53.8
Salem Compressed Scrap,126,Morning,0.93,8.1,0.1,92.0
Coimbatore Sorting Hub,25,Night,0.95,4.9,3.1,65.1
Salem Compressed Scrap,79,Night,0.78,5.3,0.2,69.7
Tiruppur Weaving Plant,89,Afternoon,0.89,7.0,2.6,63.2
Tiruppur Weaving Plant,101,Morning,0.89,1.1,0.6,62.4
Chennai Extrusion Center,108,Afternoon,0.82,1.7,0.9,59.3
Chennai Extrusion Center,81,Night,0.85,1.7,2.7,57.8
Salem Compressed Scrap,31,Morning,0.88,0.9,2.4,66.2
Coimbatore Sorting Hub,33,Night,0.92,1.8,0.3,68.6
Tiruppur Weaving Plant,57,Night,0.81,3.2,3.4,58.2
Tiruppur Weaving Plant,23,Night,0.95,8.5,1.7,65.0
Salem Compressed Scrap,56,Night,0.84,1.3,0.2,72.2
Salem Compressed Scrap,17,Night,0.93,1.5,2.3,63.9
Chennai Extrusion Center,132,Afternoon,0.79,1.2,3.9,44.4
Salem Compressed Scrap,10,Morning,0.76,5.9,0.3,64.1
Salem Compressed Scrap,71,Night,0.76,6.5,1.7,51.1
Tiruppur Weaving Plant,53,Afternoon,0.78,9.8,1.2,59.9
Chennai Extrusion Center,97,Morning,0.91,4.4,3.8,55.4
Salem Compressed Scrap,24,Morning,0.76,8.4,0.8,68.1
Salem Compressed Scrap,23,Night,0.99,1.0,1.2,83.6
Chennai Extrusion Center,89,Night,0.7,2.2,1.1,48.9
Salem Compressed Scrap,102,Afternoon,0.73,6.5,2.6,50.1
Chennai Extrusion Center,38,Afternoon,0.85,1.1,1.7,63.7
Tiruppur Weaving Plant,80,Morning,0.71,9.3,0.3,61.8
Tiruppur Weaving Plant,135,Night,0.79,3.3,1.7,60.4
Chennai Extrusion Center,132,Night,0.94,1.2,1.4,78.2
Salem Compressed Scrap,134,Morning,0.76,6.5,2.9,47.0
Salem Compressed Scrap,134,Morning,0.85,2.6,1.4,71.6
Tiruppur Weaving Plant,85,Afternoon,0.94,6.6,0.4,89.8
Chennai Extrusion Center,13,Morning,0.9,6.4,3.6,60.6
Tiruppur Weaving Plant,52,Morning,0.87,1.5,0.7,75.6
Salem Compressed Scrap,39,Night,0.88,3.4,3.3,65.9
Chennai Extrusion Center,149,Morning,0.73,9.1,0.4,58.6
Coimbatore Sorting Hub,51,Night,0.81,2.9,1.0,73.5
Tiruppur Weaving Plant,62,Night,0.99,6.8,3.2,68.7
Salem Compressed Scrap,142,Night,0.76,9.5,1.8,58.5
Coimbatore Sorting Hub,141,Night,0.78,8.6,0.3,63.6
Tiruppur Weaving Plant,146,Afternoon,0.75,3.1,0.4,65.3
Chennai Extrusion Center,58,Morning,0.84,8.7,3.1,70.1
Chennai Extrusion Center,12,Afternoon,0.82,9.1,3.0,59.4
Chennai Extrusion Center,84,Morning,0.72,3.7,1.6,54.6
Coimbatore Sorting Hub,32,Afternoon,0.75,4.5,1.6,56.6
Chennai Extrusion Center,132,Morning,0.85,1.5,1.5,61.1
Coimbatore Sorting Hub,67,Night,0.77,9.5,3.8,41.0
Chennai Extrusion Center,38,Night,0.89,1.0,3.4,60.6
Coimbatore Sorting Hub,61,Afternoon,0.94,3.5,1.0,76.3
Salem Compressed Scrap,28,Afternoon,0.9,2.2,0.1,68.8
Chennai Extrusion Center,137,Night,0.98,5.0,3.5,64.4
Coimbatore Sorting Hub,33,Morning,0.83,5.5,2.2,51.6
Salem Compressed Scrap,10,Afternoon,0.76,2.0,1.7,57.3
Salem Compressed Scrap,53,Afternoon,0.73,4.4,1.9,53.4
Coimbatore Sorting Hub,118,Afternoon,0.83,4.1,0.1,75.8
Salem Compressed Scrap,17,Afternoon,0.87,7.1,0.7,76.8
Salem Compressed Scrap,35,Afternoon,0.85,5.5,0.1,71.1
Chennai Extrusion Center,40,Afternoon,0.88,1.5,1.6,75.3
Chennai Extrusion Center,13,Afternoon,0.73,2.2,0.8,54.3
Salem Compressed Scrap,49,Morning,0.78,0.1,2.1,58.1
Salem Compressed Scrap,85,Night,0.84,3.5,2.5,60.6
Coimbatore Sorting Hub,117,Morning,0.97,8.6,2.7,75.5
Salem Compressed Scrap,69,Afternoon,0.9,4.3,3.6,54.3
Salem Compressed Scrap,42,Morning,0.78,9.0,3.3,59.0
Salem Compressed Scrap,39,Night,0.82,2.1,1.4,68.8
Salem Compressed Scrap,148,Morning,0.75,8.1,2.0,42.5
Chennai Extrusion Center,17,Morning,0.88,6.0,1.7,63.4
Coimbatore Sorting Hub,24,Afternoon,0.92,0.3,2.5,65.4
Tiruppur Weaving Plant,92,Afternoon,0.92,2.0,3.1,71.8
Salem Compressed Scrap,63,Afternoon,0.76,3.9,3.0,59.5
Coimbatore Sorting Hub,30,Afternoon,0.86,9.0,0.7,70.4
Coimbatore Sorting Hub,10,Morning,0.74,4.0,0.7,56.6
Coimbatore Sorting Hub,95,Night,0.91,3.4,0.4,72.2
Coimbatore Sorting Hub,23,Night,0.74,8.6,1.2,64.4
Salem Compressed Scrap,32,Morning,0.74,1.8,0.5,70.5
Coimbatore Sorting Hub,14,Morning,0.85,6.3,1.4,49.4
Coimbatore Sorting Hub,102,Morning,0.93,2.6,1.9,70.8
Coimbatore Sorting Hub,127,Afternoon,0.93,2.8,0.9,69.4
Salem Compressed Scrap,54,Night,0.82,8.5,1.4,66.6
Tiruppur Weaving Plant,42,Morning,0.93,3.1,1.8,74.1
Coimbatore Sorting Hub,121,Night,0.96,3.0,2.6,63.5
Tiruppur Weaving Plant,70,Afternoon,0.95,5.8,0.2,85.4
Salem Compressed Scrap,86,Morning,0.94,7.8,1.4,81.6
Tiruppur Weaving Plant,109,Afternoon,0.7,0.8,0.5,57.8
Coimbatore Sorting Hub,130,Morning,0.72,5.3,2.0,46.4
Tiruppur Weaving Plant,18,Afternoon,0.74,2.1,0.3,71.8
Chennai Extrusion Center,35,Afternoon,0.88,0.1,2.8,67.2
Chennai Extrusion Center,81,Night,0.84,6.9,2.5,56.4
Coimbatore Sorting Hub,142,Night,0.98,1.1,0.4,85.3
Coimbatore Sorting Hub,56,Night,0.75,8.2,3.7,38.0
Salem Compressed Scrap,143,Morning,0.79,1.0,1.1,65.7
Coimbatore Sorting Hub,104,Night,0.88,5.0,0.2,76.0
Salem Compressed Scrap,139,Morning,0.8,0.2,1.5,64.4
Salem Compressed Scrap,132,Afternoon,0.89,6.3,2.2,69.4
Coimbatore Sorting Hub,137,Afternoon,0.84,5.1,3.3,58.9
Tiruppur Weaving Plant,22,Night,0.73,8.6,3.4,49.1
Chennai Extrusion Center,96,Afternoon,0.75,1.2,3.9,55.5
Salem Compressed Scrap,109,Night,0.75,6.7,2.4,50.9
Tiruppur Weaving Plant,17,Morning,0.79,4.6,1.6,62.8
Chennai Extrusion Center,31,Night,0.79,8.6,3.1,46.9
Tiruppur Weaving Plant,96,Afternoon,0.87,3.4,1.3,71.6
Coimbatore Sorting Hub,95,Morning,0.76,3.4,3.1,53.2
Chennai Extrusion Center,98,Morning,0.94,5.3,0.7,72.7
Coimbatore Sorting Hub,116,Night,0.73,6.0,1.1,58.7
Tiruppur Weaving Plant,109,Afternoon,0.91,3.7,1.0,69.3
Tiruppur Weaving Plant,129,Afternoon,0.87,0.1,2.8,62.5
Coimbatore Sorting Hub,126,Morning,0.84,6.4,2.7,59.4
Salem Compressed Scrap,96,Night,0.85,1.7,3.9,54.0
Tiruppur Weaving Plant,122,Morning,0.96,5.6,2.1,77.2
Tiruppur Weaving Plant,29,Morning,0.85,5.8,1.1,65.3
Tiruppur Weaving Plant,138,Morning,0.73,7.7,2.5,51.4
Coimbatore Sorting Hub,119,Night,0.9,2.7,3.5,50.3
Coimbatore Sorting Hub,66,Afternoon,0.87,1.1,4.0,53.7
Tiruppur Weaving Plant,35,Afternoon,0.81,8.3,1.8,60.2
Tiruppur Weaving Plant,149,Afternoon,1.0,1.4,1.7,78.2
Coimbatore Sorting Hub,18,Night,0.85,5.2,1.7,62.0
Coimbatore Sorting Hub,128,Night,0.99,8.6,0.9,80.9
Coimbatore Sorting Hub,55,Night,0.87,9.4,3.2,66.2
Salem Compressed Scrap,79,Afternoon,0.78,9.3,1.5,67.4
Chennai Extrusion Center,43,Morning,0.93,4.2,2.1,76.8
Salem Compressed Scrap,21,Night,0.71,9.3,2.8,46.6
Coimbatore Sorting Hub,105,Morning,0.8,7.5,1.3,62.9
Tiruppur Weaving Plant,105,Night,0.88,4.3,0.3,70.3
Coimbatore Sorting Hub,147,Night,0.74,4.5,3.6,46.6
Coimbatore Sorting Hub,129,Afternoon,0.94,3.2,2.9,73.5
Coimbatore Sorting Hub,11,Morning,0.94,4.3,2.0,76.3
Salem Compressed Scrap,112,Night,0.84,3.3,1.9,57.9
Coimbatore Sorting Hub,53,Night,0.89,5.5,1.0,66.3
Chennai Extrusion Center,20,Afternoon,0.88,6.9,3.8,48.8
Tiruppur Weaving Plant,26,Morning,0.91,6.8,1.0,81.4
Chennai Extrusion Center,57,Morning,0.81,9.4,2.1,63.7
Coimbatore Sorting Hub,78,Afternoon,0.85,7.3,1.6,61.7
Tiruppur Weaving Plant,11,Afternoon,0.94,1.9,2.5,58.9
Salem Compressed Scrap,106,Morning,0.79,6.6,0.8,60.3
Coimbatore Sorting Hub,28,Afternoon,0.81,9.6,3.3,52.5
Tiruppur Weaving Plant,132,Night,0.8,1.3,1.1,61.3
Coimbatore Sorting Hub,26,Morning,0.88,5.5,2.4,64.9
Salem Compressed Scrap,145,Morning,0.7,4.3,1.6,54.9
Coimbatore Sorting Hub,146,Afternoon,1.0,2.3,1.2,75.8
Tiruppur Weaving Plant,98,Night,0.84,5.5,3.4,49.6
Salem Compressed Scrap,149,Afternoon,0.99,6.8,2.3,74.8
Chennai Extrusion Center,45,Afternoon,0.96,5.1,1.6,78.3
Coimbatore Sorting Hub,28,Night,0.87,9.1,3.8,54.9
Tiruppur Weaving Plant,137,Night,0.89,6.0,1.3,63.6
Coimbatore Sorting Hub,118,Afternoon,0.86,3.9,1.2,67.3
Salem Compressed Scrap,21,Night,0.97,3.8,2.9,63.7
Salem Compressed Scrap,116,Afternoon,0.89,3.4,0.5,73.9
Salem Compressed Scrap,123,Morning,0.95,5.1,0.6,78.7
Tiruppur Weaving Plant,119,Morning,0.76,3.1,0.2,57.2
Salem Compressed Scrap,32,Night,0.96,2.2,3.2,63.0
Chennai Extrusion Center,113,Afternoon,0.78,7.7,1.7,66.8
Coimbatore Sorting Hub,129,Morning,0.71,3.0,1.1,54.0
Coimbatore Sorting Hub,81,Morning,0.93,2.2,0.3,74.4
Salem Compressed Scrap,114,Morning,0.71,0.8,1.7,52.5
Tiruppur Weaving Plant,57,Afternoon,0.95,6.4,2.4,72.2
Salem Compressed Scrap,51,Night,0.77,5.1,2.2,68.1
Chennai Extrusion Center,78,Morning,0.71,5.4,0.4,67.3
Tiruppur Weaving Plant,45,Morning,0.85,8.5,2.0,62.4
Coimbatore Sorting Hub,75,Afternoon,0.75,3.5,1.1,61.9
Coimbatore Sorting Hub,105,Night,0.87,9.0,2.4,72.7
Salem Compressed Scrap,36,Afternoon,0.88,5.0,4.0,57.2
Chennai Extrusion Center,127,Morning,0.99,8.4,0.7,82.9
Chennai Extrusion Center,121,Morning,0.83,7.2,1.5,69.4
Tiruppur Weaving Plant,105,Morning,0.88,7.0,1.4,73.9
Tiruppur Weaving Plant,140,Afternoon,0.78,6.0,3.5,52.5
Tiruppur Weaving Plant,60,Night,0.8,8.8,0.8,66.3
Salem Compressed Scrap,51,Night,0.73,5.5,2.8,52.0
Salem Compressed Scrap,69,Night,0.94,8.1,1.0,73.1
Chennai Extrusion Center,51,Night,0.72,7.8,2.0,65.2
Salem Compressed Scrap,52,Night,0.82,8.8,1.2,58.1
Coimbatore Sorting Hub,80,Night,0.97,2.7,1.8,80.5
Chennai Extrusion Center,110,Night,0.77,7.3,1.5,56.4
Salem Compressed Scrap,12,Night,0.95,0.1,1.2,59.6
Tiruppur Weaving Plant,103,Afternoon,0.79,0.5,2.4,56.6
Salem Compressed Scrap,122,Morning,0.73,4.7,0.3,60.2
Chennai Extrusion Center,11,Afternoon,0.86,5.2,3.7,67.6
Tiruppur Weaving Plant,22,Afternoon,0.71,10.0,2.5,58.3
Salem Compressed Scrap,67,Afternoon,0.78,9.2,1.4,65.6
Salem Compressed Scrap,57,Afternoon,0.74,4.6,1.5,49.4
Chennai Extrusion Center,87,Night,0.99,0.1,2.4,66.9
Coimbatore Sorting Hub,130,Afternoon,0.74,1.9,3.4,47.7
Salem Compressed Scrap,19,Morning,0.95,3.0,4.0,63.1
Salem Compressed Scrap,141,Afternoon,0.94,9.5,3.7,62.6
Salem Compressed Scrap,78,Morning,0.95,3.2,2.9,71.8
Tiruppur Weaving Plant,16,Night,0.72,3.7,2.8,40.8
Chennai Extrusion Center,19,Morning,0.94,9.0,2.5,69.8
Chennai Extrusion Center,29,Night,0.8,1.8,2.6,52.3
Tiruppur Weaving Plant,48,Afternoon,0.83,9.6,0.9,78.6
Salem Compressed Scrap,119,Morning,0.81,4.6,0.4,69.8
Coimbatore Sorting Hub,74,Afternoon,0.88,0.6,3.8,53.4
Tiruppur Weaving Plant,93,Afternoon,0.89,2.8,0.9,68.7
Salem Compressed Scrap,22,Night,0.98,6.7,0.3,89.5
Salem Compressed Scrap,11,Morning,0.81,7.3,3.9,51.8
Salem Compressed Scrap,44,Night,0.83,4.4,2.5,53.0
Salem Compressed Scrap,128,Afternoon,0.8,1.1,0.6,67.4
Coimbatore Sorting Hub,115,Night,0.73,9.5,2.9,58.5
Tiruppur Weaving Plant,106,Afternoon,0.78,5.1,3.1,59.4
Coimbatore Sorting Hub,88,Morning,0.91,5.3,1.5,77.4
Coimbatore Sorting Hub,109,Morning,0.95,4.0,0.4,72.5
Coimbatore Sorting Hub,74,Night,0.91,3.5,2.9,61.8
Chennai Extrusion Center,71,Morning,0.82,3.4,0.1,67.6
Tiruppur Weaving Plant,27,Afternoon,0.94,1.8,1.6,78.5
Coimbatore Sorting Hub,75,Afternoon,0.92,4.0,1.1,71.8
Coimbatore Sorting Hub,39,Afternoon,0.72,0.6,0.7,57.8
Salem Compressed Scrap,134,Afternoon,0.71,6.5,3.1,52.2
Coimbatore Sorting Hub,141,Night,0.77,1.5,3.4,37.2
Chennai Extrusion Center,116,Night,0.99,8.6,2.8,70.2
Coimbatore Sorting Hub,35,Morning,0.98,4.2,1.1,83.3
Tiruppur Weaving Plant,140,Night,0.94,4.3,0.9,76.7
Salem Compressed Scrap,28,Morning,0.91,2.9,3.7,64.3
Coimbatore Sorting Hub,33,Morning,0.9,0.9,2.0,63.5
Coimbatore Sorting Hub,128,Night,0.86,5.9,0.8,67.4
Coimbatore Sorting Hub,19,Night,0.86,5.6,3.8,53.6
Salem Compressed Scrap,48,Afternoon,0.98,2.7,1.6,74.6
Salem Compressed Scrap,53,Night,0.87,3.9,2.3,68.8
Coimbatore Sorting Hub,92,Morning,0.89,4.2,1.7,69.5
Chennai Extrusion Center,80,Afternoon,0.8,7.2,0.3,63.5
Coimbatore Sorting Hub,29,Morning,0.99,4.6,1.7,74.8
Chennai Extrusion Center,59,Afternoon,0.83,5.5,0.9,66.4
Salem Compressed Scrap,60,Night,0.82,2.1,0.8,76.9
Chennai Extrusion Center,95,Afternoon,0.98,8.7,2.0,77.4
Coimbatore Sorting Hub,27,Afternoon,0.96,2.6,0.9,76.9
Tiruppur Weaving Plant,60,Night,0.75,7.2,3.1,33.3
Tiruppur Weaving Plant,83,Afternoon,0.93,2.6,0.7,80.4
Coimbatore Sorting Hub,15,Night,0.92,4.7,3.1,55.0
Coimbatore Sorting Hub,28,Afternoon,0.92,5.1,2.5,74.6
Coimbatore Sorting Hub,77,Night,0.91,2.7,2.8,61.5
Coimbatore Sorting Hub,87,Night,0.89,9.3,3.4,56.1
Coimbatore Sorting Hub,53,Night,0.77,2.7,1.0,67.6
Tiruppur Weaving Plant,26,Morning,0.87,9.3,0.6,73.7
Chennai Extrusion Center,143,Morning,1.0,1.8,3.1,71.7
Chennai Extrusion Center,43,Morning,0.76,6.8,2.1,47.8
Salem Compressed Scrap,132,Morning,0.97,0.4,1.7,74.6
Tiruppur Weaving Plant,101,Afternoon,0.93,0.9,0.8,73.2
Tiruppur Weaving Plant,93,Morning,0.88,0.4,2.0,64.8
Salem Compressed Scrap,69,Morning,0.98,3.3,0.5,85.7
Salem Compressed Scrap,141,Afternoon,0.9,5.6,3.2,59.6
Chennai Extrusion Center,144,Afternoon,0.88,0.2,1.0,68.6
Salem Compressed Scrap,36,Afternoon,0.96,7.6,0.1,84.8
Coimbatore Sorting Hub,13,Afternoon,0.81,6.4,3.0,50.9
Chennai Extrusion Center,125,Night,0.84,5.4,3.1,61.4
Salem Compressed Scrap,139,Night,0.97,1.6,4.0,61.6
Coimbatore Sorting Hub,73,Night,0.94,4.1,3.3,67.0
Chennai Extrusion Center,85,Morning,0.94,0.8,2.5,68.5
Salem Compressed Scrap,80,Afternoon,0.96,4.8,0.3,86.4
Salem Compressed Scrap,136,Morning,0.75,4.0,1.5,67.3
Coimbatore Sorting Hub,135,Night,0.7,4.3,0.8,60.9
Tiruppur Weaving Plant,49,Night,0.79,5.2,1.1,65.9
Tiruppur Weaving Plant,34,Afternoon,0.93,7.3,2.3,64.2
Salem Compressed Scrap,43,Afternoon,0.81,9.4,0.2,75.1
Salem Compressed Scrap,72,Night,0.76,2.0,4.0,47.6
Chennai Extrusion Center,37,Afternoon,0.92,1.0,2.9,68.8
Tiruppur Weaving Plant,18,Night,0.84,4.1,3.7,57.2
Salem Compressed Scrap,66,Afternoon,0.89,5.8,1.5,69.6
Coimbatore Sorting Hub,87,Afternoon,0.98,3.7,3.6,75.1
Salem Compressed Scrap,122,Morning,0.88,5.3,0.4,72.2
Coimbatore Sorting Hub,54,Night,0.95,6.8,0.8,77.6
Salem Compressed Scrap,33,Morning,0.79,2.5,1.3,61.7
Coimbatore Sorting Hub,120,Afternoon,0.9,3.9,1.0,64.4
Salem Compressed Scrap,129,Night,0.92,7.6,2.7,70.5
Tiruppur Weaving Plant,143,Afternoon,0.86,4.9,2.3,57.0
Tiruppur Weaving Plant,123,Night,0.75,3.0,1.3,64.6
Chennai Extrusion Center,114,Morning,0.95,4.7,1.6,76.3
Coimbatore Sorting Hub,40,Night,0.89,3.5,2.4,67.9
Chennai Extrusion Center,127,Night,0.8,2.9,0.1,66.9
Coimbatore Sorting Hub,112,Morning,0.88,9.5,1.9,70.7
Tiruppur Weaving Plant,113,Night,0.81,3.3,0.7,63.0
Coimbatore Sorting Hub,132,Night,0.96,0.3,2.6,72.7
Chennai Extrusion Center,31,Morning,0.98,3.3,2.0,78.3
Chennai Extrusion Center,129,Afternoon,0.87,4.3,3.9,63.4
Chennai Extrusion Center,17,Night,0.92,1.5,3.6,63.7
Chennai Extrusion Center,73,Afternoon,0.97,6.6,1.4,76.5
Coimbatore Sorting Hub,17,Afternoon,0.98,1.4,0.9,82.1
Coimbatore Sorting Hub,104,Night,0.89,2.3,0.0,75.3
Tiruppur Weaving Plant,64,Morning,0.85,1.4,1.4,73.1
Coimbatore Sorting Hub,63,Afternoon,0.97,5.4,2.9,71.8
Chennai Extrusion Center,25,Afternoon,0.96,7.4,3.6,62.2
Chennai Extrusion Center,131,Afternoon,0.73,3.4,0.5,71.8
Chennai Extrusion Center,140,Night,0.99,5.9,2.2,77.6
Chennai Extrusion Center,33,Night,0.93,4.2,0.1,77.3
Coimbatore Sorting Hub,49,Night,0.75,3.7,3.4,49.0
Coimbatore Sorting Hub,106,Night,0.88,7.2,1.0,73.5
Tiruppur Weaving Plant,95,Night,0.78,5.1,1.3,62.0
Tiruppur Weaving Plant,55,Morning,0.87,2.8,0.1,67.5
Tiruppur Weaving Plant,27,Afternoon,0.97,9.6,0.0,89.9
Coimbatore Sorting Hub,106,Night,0.89,0.2,3.4,59.8
Salem Compressed Scrap,37,Night,0.76,1.1,1.8,55.2
Tiruppur Weaving Plant,13,Morning,0.74,6.5,2.3,51.4
Coimbatore Sorting Hub,145,Night,0.96,3.7,0.3,82.0
Salem Compressed Scrap,36,Morning,0.95,4.8,0.7,75.3
Salem Compressed Scrap,81,Morning,0.78,3.7,1.7,41.8
Tiruppur Weaving Plant,108,Morning,0.88,4.7,1.6,60.2
Salem Compressed Scrap,17,Afternoon,0.84,0.2,0.9,62.1
Tiruppur Weaving Plant,103,Night,0.96,5.4,2.8,57.2
Coimbatore Sorting Hub,124,Night,0.86,2.5,3.6,50.0
Chennai Extrusion Center,44,Night,0.73,0.1,1.7,63.6
Salem Compressed Scrap,57,Morning,0.98,7.2,3.1,71.9
Chennai Extrusion Center,32,Night,0.91,6.0,0.8,74.8
Salem Compressed Scrap,81,Night,0.89,7.3,1.9,74.9
Salem Compressed Scrap,58,Afternoon,0.9,9.0,3.6,56.3
Tiruppur Weaving Plant,123,Night,0.9,7.3,3.9,60.5
Tiruppur Weaving Plant,17,Afternoon,0.89,4.7,2.7,57.0
Salem Compressed Scrap,46,Night,0.89,4.5,3.9,67.4
Salem Compressed Scrap,92,Morning,0.8,8.3,1.1,58.5
Salem Compressed Scrap,116,Night,0.78,9.7,0.6,68.1
Tiruppur Weaving Plant,22,Morning,0.71,7.0,1.0,57.2
Salem Compressed Scrap,18,Afternoon,0.77,8.9,0.7,63.0
Chennai Extrusion Center,90,Morning,0.9,6.7,3.8,48.7
Coimbatore Sorting Hub,149,Afternoon,0.94,6.1,3.1,63.7
Coimbatore Sorting Hub,142,Morning,0.98,4.8,2.5,70.2
Salem Compressed Scrap,67,Night,0.84,7.5,2.7,66.1
Tiruppur Weaving Plant,81,Morning,0.75,9.6,2.7,55.0
Chennai Extrusion Center,86,Night,0.9,4.8,3.9,56.7
Salem Compressed Scrap,37,Afternoon,0.78,7.4,3.2,48.5
Coimbatore Sorting Hub,75,Morning,0.92,9.1,0.9,69.9
Chennai Extrusion Center,22,Afternoon,0.83,3.0,3.7,50.9
Salem Compressed Scrap,116,Afternoon,0.87,0.8,3.2,52.0
Tiruppur Weaving Plant,63,Morning,0.78,9.6,0.1,66.1
Coimbatore Sorting Hub,130,Night,0.87,2.9,2.5,58.8
Tiruppur Weaving Plant,39,Afternoon,0.71,1.5,3.7,39.1
Coimbatore Sorting Hub,103,Morning,0.74,7.0,3.6,39.9
Coimbatore Sorting Hub,25,Afternoon,0.98,5.2,2.0,84.2
Chennai Extrusion Center,34,Night,0.89,6.5,3.1,66.2
Coimbatore Sorting Hub,16,Afternoon,0.88,0.6,3.1,51.7
Coimbatore Sorting Hub,37,Afternoon,0.8,8.1,0.5,63.5
Chennai Extrusion Center,106,Afternoon,0.85,4.6,4.0,47.6
Tiruppur Weaving Plant,141,Afternoon,0.94,0.5,3.4,62.7
Coimbatore Sorting Hub,121,Afternoon,0.96,8.9,0.8,81.7
Coimbatore Sorting Hub,81,Afternoon,0.92,5.1,2.6,72.6
Salem Compressed Scrap,47,Morning,0.75,2.0,3.9,42.5
Coimbatore Sorting Hub,52,Afternoon,0.75,8.6,2.3,52.7
Tiruppur Weaving Plant,118,Morning,0.79,9.4,3.3,51.6
Chennai Extrusion Center,100,Afternoon,0.76,4.5,2.4,55.3
Coimbatore Sorting Hub,62,Morning,0.79,3.5,3.0,51.6
Salem Compressed Scrap,132,Morning,1.0,6.7,4.0,73.1
Coimbatore Sorting Hub,129,Night,0.85,4.6,1.4,72.5
Salem Compressed Scrap,15,Afternoon,0.75,2.7,1.0,63.3
Tiruppur Weaving Plant,129,Afternoon,0.84,9.9,2.9,52.9
Tiruppur Weaving Plant,111,Morning,0.75,4.2,1.8,54.9
Tiruppur Weaving Plant,82,Night,0.86,7.0,3.8,56.3
Coimbatore Sorting Hub,55,Morning,0.74,7.1,1.7,53.9
Tiruppur Weaving Plant,127,Night,0.85,3.6,1.0,73.5
Chennai Extrusion Center,78,Afternoon,0.88,1.0,3.3,62.4
Salem Compressed Scrap,51,Morning,0.8,2.5,0.0,65.9
Coimbatore Sorting Hub,88,Afternoon,0.86,5.9,1.2,67.4
Chennai Extrusion Center,122,Night,0.72,5.3,0.2,65.9
Coimbatore Sorting Hub,64,Morning,0.91,2.7,0.5,81.0
Coimbatore Sorting Hub,72,Morning,0.83,6.5,2.0,67.5
Salem Compressed Scrap,35,Night,0.9,8.7,1.7,82.6
Salem Compressed Scrap,39,Afternoon,0.96,4.5,2.9,74.6
Coimbatore Sorting Hub,38,Afternoon,0.83,3.3,0.4,71.1
