material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Rice Husk,Agriculture,Biofuel,76.63,90,329,128.25,19.33,1.04,9827.8,1481.26,342.16,1823.42,8004.38,438.98,Excellent
Used Oil,Automotive,Authorized Oil Recycler,5.29,88,40,603.0,117.6,1.65,3189.87,622.1,66.0,688.1,2501.77,363.58,Excellent
Bagasse,Sugar,Paper,98.27,93,278,150.15,17.04,0.97,14755.24,1674.52,269.66,1944.18,12811.06,658.94,Excellent
Rice Husk,Agriculture,Biofuel,17.99,85,164,125.88,20.0,1.24,2264.58,359.8,203.36,563.16,1701.42,302.12,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,28.36,85,23,1192.5,300.0,1.74,33819.3,8508.0,40.02,8548.02,25271.28,295.64,Excellent
Plastic Scrap,Packaging,Plastic Recycling,33.58,77,63,282.7,42.13,1.44,9493.07,1414.73,90.72,1505.45,7987.62,530.58,Excellent
Used Oil,Automotive,Authorized Oil Recycler,10.22,87,177,600.75,118.4,1.6,6139.66,1210.05,283.2,1493.25,4646.41,311.16,Excellent
Rice Husk,Agriculture,Biofuel,56.68,80,70,123.5,20.67,1.55,6999.98,1171.58,108.5,1280.08,5719.9,446.84,Excellent
Rice Husk,Agriculture,Biofuel,92.03,73,275,120.18,21.6,1.14,11060.17,1987.85,313.5,2301.35,8758.82,380.59,Excellent
Plastic Scrap,Packaging,Plastic Recycling,80.36,92,389,299.2,38.13,1.28,24043.71,3064.13,497.92,3562.05,20481.66,575.0,Excellent
Plastic Scrap,Packaging,Plastic Recycling,40.5,82,333,288.2,40.8,2.13,11672.1,1652.4,709.29,2361.69,9310.41,394.23,Excellent
Used Oil,Automotive,Authorized Oil Recycler,32.66,82,320,589.5,122.4,2.04,19253.07,3997.58,652.8,4650.38,14602.69,314.01,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,41.85,99,105,725.4,163.2,1.46,30357.99,6829.92,153.3,6983.22,23374.77,334.73,Excellent
Food Waste,Food,Biogas,33.3,76,241,76.8,10.6,0.88,2557.44,352.98,212.08,565.06,1992.38,352.6,Excellent
Fly Ash,Thermal Power,Cement,36.14,76,24,89.6,12.72,1.58,3238.14,459.7,37.92,497.62,2740.52,550.73,Excellent
Paper Sludge,Paper,Brick Manufacturing,46.33,85,81,99.38,14.0,1.62,4604.28,648.62,131.22,779.84,3824.44,490.41,Excellent
Plastic Scrap,Packaging,Plastic Recycling,81.11,94,280,301.4,37.6,1.1,24446.55,3049.74,308.0,3357.74,21088.81,628.07,Excellent
Food Waste,Food,Biogas,55.84,94,308,82.2,9.4,2.15,4590.05,524.9,662.2,1187.1,3402.95,286.66,Excellent
Plastic Scrap,Packaging,Plastic Recycling,85.48,86,264,292.6,39.73,2.41,25011.45,3396.12,636.24,4032.36,20979.09,520.27,Excellent
Used Oil,Automotive,Authorized Oil Recycler,31.24,94,288,616.5,112.8,2.01,19259.46,3523.87,578.88,4102.75,15156.71,369.43,Excellent
Bagasse,Sugar,Paper,38.64,95,66,151.25,16.8,2.49,5844.3,649.15,164.34,813.49,5030.81,618.42,Excellent
Steel Slag,Steel,Construction,93.35,90,19,114.75,14.5,1.16,10711.91,1353.57,22.04,1375.61,9336.3,678.7,Excellent
Rice Husk,Agriculture,Biofuel,61.84,91,348,128.72,19.2,1.54,7960.04,1187.33,535.92,1723.25,6236.79,361.92,Excellent
Used Oil,Automotive,Authorized Oil Recycler,63.14,70,251,562.5,132.0,2.33,35516.25,8334.48,584.83,8919.31,26596.94,298.2,Excellent
Rice Husk,Agriculture,Biofuel,13.3,77,149,122.08,21.07,2.23,1623.66,280.23,332.27,612.5,1011.16,165.09,Excellent
Steel Slag,Steel,Construction,29.02,84,445,112.2,15.1,0.89,3256.04,438.2,396.05,834.25,2421.79,290.3,Excellent
Plastic Scrap,Packaging,Plastic Recycling,48.89,97,256,304.7,36.8,1.95,14896.78,1799.15,499.2,2298.35,12598.43,548.15,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,95.09,92,60,1224.0,286.0,0.96,116390.16,27195.74,57.6,27253.34,89136.82,327.07,Excellent
Cotton Scrap,Textile,Paper,89.21,96,317,248.4,32.43,2.31,22159.76,2893.08,732.27,3625.35,18534.41,511.24,Excellent
Paper Sludge,Paper,Brick Manufacturing,21.1,90,470,101.25,13.53,2.38,2136.38,285.48,1118.6,1404.08,732.3,52.16,High Profit
Paper Sludge,Paper,Brick Manufacturing,1.09,95,141,103.12,13.07,1.5,112.4,14.25,211.5,225.75,-113.35,-50.21,Loss
Plastic Scrap,Packaging,Plastic Recycling,79.59,76,221,281.6,42.4,1.5,22412.54,3374.62,331.5,3706.12,18706.42,504.74,Excellent
Cotton Scrap,Textile,Paper,7.04,87,84,240.3,34.53,1.87,1691.71,243.09,157.08,400.17,1291.54,322.75,Excellent
Bagasse,Sugar,Paper,27.51,73,267,139.15,19.44,1.05,3828.02,534.79,280.35,815.14,3012.88,369.62,Excellent
Plastic Scrap,Packaging,Plastic Recycling,5.85,91,136,298.1,38.4,2.12,1743.88,224.64,288.32,512.96,1230.92,239.96,Excellent
Glass Waste,Glass,Glass Recycling,50.77,86,245,133.0,21.85,2.31,6752.41,1109.32,565.95,1675.27,5077.14,303.06,Excellent
Paper Sludge,Paper,Brick Manufacturing,29.5,85,410,99.38,14.0,1.79,2931.71,413.0,733.9,1146.9,1784.81,155.62,Excellent
Cotton Scrap,Textile,Paper,74.15,72,478,226.8,38.03,1.03,16817.22,2819.92,492.34,3312.26,13504.96,407.73,Excellent
Fly Ash,Thermal Power,Cement,92.81,93,171,95.55,11.36,1.79,8868.0,1054.32,306.09,1360.41,7507.59,551.86,Excellent
Used Oil,Automotive,Authorized Oil Recycler,86.47,99,217,627.75,108.8,0.98,54281.54,9407.94,212.66,9620.6,44660.94,464.22,Excellent
Bagasse,Sugar,Paper,21.83,87,274,146.85,17.76,0.94,3205.74,387.7,257.56,645.26,2560.48,396.81,Excellent
Fly Ash,Thermal Power,Cement,49.56,71,436,87.85,13.12,2.25,4353.85,650.23,981.0,1631.23,2722.62,166.91,Excellent
Steel Slag,Steel,Construction,17.12,93,137,116.03,14.2,0.92,1986.43,243.1,126.04,369.14,1617.29,438.12,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,94.04,83,89,1183.5,304.0,2.07,111296.34,28588.16,184.23,28772.39,82523.95,286.82,Excellent
Used Oil,Automotive,Authorized Oil Recycler,53.96,88,278,603.0,117.6,1.33,32537.88,6345.7,369.74,6715.44,25822.44,384.52,Excellent
Food Waste,Food,Biogas,41.96,81,193,78.3,10.27,1.62,3285.47,430.93,312.66,743.59,2541.88,341.84,Excellent
Paper Sludge,Paper,Brick Manufacturing,35.72,81,381,97.88,14.37,1.86,3496.27,513.3,708.66,1221.96,2274.31,186.12,Excellent
Cotton Scrap,Textile,Paper,1.9,70,205,225.0,38.5,2.34,427.5,73.15,479.7,552.85,-125.35,-22.67,Loss
Glass Waste,Glass,Glass Recycling,29.25,73,500,126.5,23.76,1.45,3700.12,694.98,725.0,1419.98,2280.14,160.58,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,32.79,94,77,1233.0,282.0,1.77,40430.07,9246.78,136.29,9383.07,31047.0,330.88,Excellent
Fly Ash,Thermal Power,Cement,73.57,91,489,94.85,11.52,1.12,6978.11,847.53,547.68,1395.21,5582.9,400.15,Excellent
Plastic Scrap,Packaging,Plastic Recycling,72.03,70,132,275.0,44.0,2.15,19808.25,3169.32,283.8,3453.12,16355.13,473.63,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,15.25,77,203,668.2,189.6,1.22,10190.05,2891.4,247.66,3139.06,7050.99,224.62,Excellent
Food Waste,Food,Biogas,6.84,75,483,76.5,10.67,1.42,523.26,72.98,685.86,758.84,-235.58,-31.04,Loss
Bagasse,Sugar,Paper,1.5,88,200,147.4,17.64,1.55,221.1,26.46,310.0,336.46,-115.36,-34.29,Loss
E-Waste,Electronics,Authorized E-Waste Recycler,14.54,99,237,1255.5,272.0,1.06,18254.97,3954.88,251.22,4206.1,14048.87,334.01,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,12.21,93,18,1228.5,284.0,1.79,14999.99,3467.64,32.22,3499.86,11500.13,328.59,Excellent
Fly Ash,Thermal Power,Cement,52.8,84,328,92.4,12.08,1.82,4878.72,637.82,596.96,1234.78,3643.94,295.11,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,6.73,96,176,1242.0,278.0,1.76,8358.66,1870.94,309.76,2180.7,6177.96,283.3,Excellent
Rice Husk,Agriculture,Biofuel,16.23,97,210,131.57,18.4,2.25,2135.38,298.63,472.5,771.13,1364.25,176.92,Excellent
Steel Slag,Steel,Construction,66.83,73,336,107.53,16.2,1.95,7186.23,1082.65,655.2,1737.85,5448.38,313.51,Excellent
Used Oil,Automotive,Authorized Oil Recycler,81.79,82,256,589.5,122.4,0.86,48215.21,10011.1,220.16,10231.26,37983.95,371.25,Excellent
Fly Ash,Thermal Power,Cement,33.48,94,468,95.9,11.28,2.08,3210.73,377.65,973.44,1351.09,1859.64,137.64,Excellent
Food Waste,Food,Biogas,87.34,75,416,76.5,10.67,0.8,6681.51,931.92,332.8,1264.72,5416.79,428.3,Excellent
Food Waste,Food,Biogas,53.51,84,295,79.2,10.07,2.38,4237.99,538.85,702.1,1240.95,2997.04,241.51,Excellent
Rice Husk,Agriculture,Biofuel,14.69,89,54,127.77,19.47,1.05,1876.94,286.01,56.7,342.71,1534.23,447.68,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,59.1,98,27,722.8,164.4,1.79,42717.48,9716.04,48.33,9764.37,32953.11,337.48,Excellent
Rice Husk,Agriculture,Biofuel,95.84,78,474,122.55,20.93,1.72,11745.19,2005.93,815.28,2821.21,8923.98,316.32,Excellent
Paper Sludge,Paper,Brick Manufacturing,74.95,82,310,98.25,14.28,2.16,7363.84,1070.29,669.6,1739.89,5623.95,323.24,Excellent
Used Oil,Automotive,Authorized Oil Recycler,35.57,76,21,576.0,127.2,1.9,20488.32,4524.5,39.9,4564.4,15923.92,348.87,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,78.06,92,113,707.2,171.6,1.96,55204.03,13395.1,221.48,13616.58,41587.45,305.42,Excellent
Steel Slag,Steel,Construction,5.27,76,326,108.8,15.9,0.95,573.38,83.79,309.7,393.49,179.89,45.72,High Profit
Glass Waste,Glass,Glass Recycling,54.77,73,452,126.5,23.76,1.23,6928.41,1301.34,555.96,1857.3,5071.11,273.04,Excellent
Cotton Scrap,Textile,Paper,84.54,77,310,231.3,36.87,1.71,19554.1,3116.99,530.1,3647.09,15907.01,436.16,Excellent
Rice Husk,Agriculture,Biofuel,28.5,83,268,124.92,20.27,1.96,3560.22,577.69,525.28,1102.97,2457.25,222.78,Excellent
Glass Waste,Glass,Glass Recycling,2.83,75,361,127.5,23.47,1.89,360.82,66.42,682.29,748.71,-387.89,-51.81,Loss
Used Oil,Automotive,Authorized Oil Recycler,55.9,76,88,576.0,127.2,1.61,32198.4,7110.48,141.68,7252.16,24946.24,343.98,Excellent
Paper Sludge,Paper,Brick Manufacturing,83.54,97,474,103.88,12.88,1.27,8678.14,1076.0,601.98,1677.98,7000.16,417.18,Excellent
Rice Husk,Agriculture,Biofuel,89.56,93,86,129.68,18.93,2.42,11614.14,1695.37,208.12,1903.49,9710.65,510.15,Excellent
Used Oil,Automotive,Authorized Oil Recycler,26.99,98,400,625.5,109.6,1.29,16882.24,2958.1,516.0,3474.1,13408.14,385.95,Excellent
Plastic Scrap,Packaging,Plastic Recycling,26.38,82,84,288.2,40.8,1.34,7602.72,1076.3,112.56,1188.86,6413.86,539.5,Excellent
Bagasse,Sugar,Paper,5.35,94,302,150.7,16.92,2.33,806.24,90.52,703.66,794.18,12.06,1.52,Low Profit
Chemical Sludge,Chemical,Hazardous Treatment Facility,7.29,70,79,650.0,198.0,0.85,4738.5,1443.42,67.15,1510.57,3227.93,213.69,Excellent
Plastic Scrap,Packaging,Plastic Recycling,8.64,90,235,297.0,38.67,1.75,2566.08,334.11,411.25,745.36,1820.72,244.27,Excellent
Fly Ash,Thermal Power,Cement,61.51,75,112,89.25,12.8,1.44,5489.77,787.33,161.28,948.61,4541.16,478.72,Excellent
Paper Sludge,Paper,Brick Manufacturing,45.83,77,17,96.38,14.75,2.2,4417.1,675.99,37.4,713.39,3703.71,519.17,Excellent
Cotton Scrap,Textile,Paper,3.69,81,45,234.9,35.93,1.67,866.78,132.58,75.15,207.73,659.05,317.26,Excellent
Plastic Scrap,Packaging,Plastic Recycling,82.31,98,434,305.8,36.53,2.49,25170.4,3006.78,1080.66,4087.44,21082.96,515.8,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,16.1,71,250,1129.5,328.0,0.94,18184.95,5280.8,235.0,5515.8,12669.15,229.69,Excellent
Fly Ash,Thermal Power,Cement,40.45,93,264,95.55,11.36,2.43,3865.0,459.51,641.52,1101.03,2763.97,251.03,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,68.3,75,265,1147.5,320.0,1.4,78374.25,21856.0,371.0,22227.0,56147.25,252.61,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,23.27,96,148,1242.0,278.0,0.91,28901.34,6469.06,134.68,6603.74,22297.6,337.65,Excellent
Used Oil,Automotive,Authorized Oil Recycler,80.42,70,243,562.5,132.0,1.82,45236.25,10615.44,442.26,11057.7,34178.55,309.09,Excellent
Rice Husk,Agriculture,Biofuel,30.43,94,363,130.15,18.8,2.32,3960.46,572.08,842.16,1414.24,2546.22,180.04,Excellent
Plastic Scrap,Packaging,Plastic Recycling,11.31,89,14,295.9,38.93,2.45,3346.63,440.3,34.3,474.6,2872.03,605.15,Excellent
Rice Husk,Agriculture,Biofuel,23.75,72,168,119.7,21.73,2.43,2842.88,516.09,408.24,924.33,1918.55,207.56,Excellent
Glass Waste,Glass,Glass Recycling,15.03,71,352,125.5,24.05,2.1,1886.26,361.47,739.2,1100.67,785.59,71.37,High Profit
Plastic Scrap,Packaging,Plastic Recycling,60.83,75,330,280.5,42.67,2.27,17062.81,2595.62,749.1,3344.72,13718.09,410.14,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,7.43,96,422,1242.0,278.0,1.17,9228.06,2065.54,493.74,2559.28,6668.78,260.57,Excellent
Plastic Scrap,Packaging,Plastic Recycling,31.39,73,206,278.3,43.2,2.17,8735.84,1356.05,447.02,1803.07,6932.77,384.5,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,16.58,91,378,1219.5,288.0,1.65,20219.31,4775.04,623.7,5398.74,14820.57,274.52,Excellent
Cotton Scrap,Textile,Paper,39.33,95,494,247.5,32.67,1.59,9734.17,1284.91,785.46,2070.37,7663.8,370.17,Excellent
Used Oil,Automotive,Authorized Oil Recycler,48.9,86,322,598.5,119.2,2.21,29266.65,5828.88,711.62,6540.5,22726.15,347.47,Excellent
Plastic Scrap,Packaging,Plastic Recycling,68.36,95,364,302.5,37.33,2.37,20678.9,2551.88,862.68,3414.56,17264.34,505.61,Excellent
Food Waste,Food,Biogas,1.8,71,399,75.3,10.93,2.1,135.54,19.67,837.9,857.57,-722.03,-84.19,Loss
Cotton Scrap,Textile,Paper,52.79,88,268,241.2,34.3,2.04,12732.95,1810.7,546.72,2357.42,10375.53,440.12,Excellent
Plastic Scrap,Packaging,Plastic Recycling,64.11,85,117,291.5,40.0,1.46,18688.06,2564.4,170.82,2735.22,15952.84,583.24,Excellent
Glass Waste,Glass,Glass Recycling,63.79,89,189,134.5,21.41,2.38,8579.75,1365.74,449.82,1815.56,6764.19,372.57,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,36.52,75,53,1147.5,320.0,0.9,41906.7,11686.4,47.7,11734.1,30172.6,257.14,Excellent
Steel Slag,Steel,Construction,29.17,93,306,116.03,14.2,0.97,3384.6,414.21,296.82,711.03,2673.57,376.01,Excellent
Glass Waste,Glass,Glass Recycling,37.36,93,35,136.5,20.83,1.26,5099.64,778.21,44.1,822.31,4277.33,520.16,Excellent
Fly Ash,Thermal Power,Cement,28.26,89,43,94.15,11.68,2.35,2660.68,330.08,101.05,431.13,2229.55,517.14,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,70.09,94,360,1233.0,282.0,0.97,86420.97,19765.38,349.2,20114.58,66306.39,329.64,Excellent
Rice Husk,Agriculture,Biofuel,94.91,70,72,118.75,22.0,2.43,11270.56,2088.02,174.96,2262.98,9007.58,398.04,Excellent
Plastic Scrap,Packaging,Plastic Recycling,28.09,76,183,281.6,42.4,1.43,7910.14,1191.02,261.69,1452.71,6457.43,444.51,Excellent
Rice Husk,Agriculture,Biofuel,46.09,95,348,130.62,18.67,2.1,6020.28,860.5,730.8,1591.3,4428.98,278.32,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,18.33,89,232,1210.5,292.0,2.11,22188.46,5352.36,489.52,5841.88,16346.58,279.82,Excellent
Used Oil,Automotive,Authorized Oil Recycler,58.92,87,65,600.75,118.4,2.09,35396.19,6976.13,135.85,7111.98,28284.21,397.7,Excellent
Plastic Scrap,Packaging,Plastic Recycling,15.33,74,115,279.4,42.93,1.51,4283.2,658.12,173.65,831.77,3451.43,414.95,Excellent
Rice Husk,Agriculture,Biofuel,99.68,97,70,131.57,18.4,1.12,13114.9,1834.11,78.4,1912.51,11202.39,585.74,Excellent
Glass Waste,Glass,Glass Recycling,28.16,95,130,137.5,20.53,1.71,3872.0,578.12,222.3,800.42,3071.58,383.75,Excellent
Bagasse,Sugar,Paper,71.39,84,497,145.2,18.12,1.64,10365.83,1293.59,815.08,2108.67,8257.16,391.58,Excellent
Cotton Scrap,Textile,Paper,40.28,87,137,240.3,34.53,1.22,9679.28,1390.87,167.14,1558.01,8121.27,521.26,Excellent
Cotton Scrap,Textile,Paper,77.84,94,358,246.6,32.9,1.89,19195.34,2560.94,676.62,3237.56,15957.78,492.9,Excellent
Rice Husk,Agriculture,Biofuel,57.25,99,180,132.53,18.13,2.34,7587.34,1037.94,421.2,1459.14,6128.2,419.99,Excellent
Bagasse,Sugar,Paper,21.09,88,131,147.4,17.64,1.66,3108.67,372.03,217.46,589.49,2519.18,427.35,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,55.25,90,337,1215.0,290.0,2.3,67128.75,16022.5,775.1,16797.6,50331.15,299.63,Excellent
Fly Ash,Thermal Power,Cement,78.43,76,432,89.6,12.72,1.5,7027.33,997.63,648.0,1645.63,5381.7,327.03,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,39.02,79,359,673.4,187.2,1.12,26276.07,7304.54,402.08,7706.62,18569.45,240.95,Excellent
Used Oil,Automotive,Authorized Oil Recycler,59.22,85,199,596.25,120.0,2.02,35309.93,7106.4,401.98,7508.38,27801.55,370.27,Excellent
Food Waste,Food,Biogas,1.82,77,48,77.1,10.53,1.09,140.32,19.16,52.32,71.48,68.84,96.31,Excellent
Used Oil,Automotive,Authorized Oil Recycler,22.46,82,381,589.5,122.4,0.88,13240.17,2749.1,335.28,3084.38,10155.79,329.27,Excellent
Fly Ash,Thermal Power,Cement,77.81,76,471,89.6,12.72,1.97,6971.78,989.74,927.87,1917.61,5054.17,263.57,Excellent
Cotton Scrap,Textile,Paper,70.07,73,113,227.7,37.8,1.95,15954.94,2648.65,220.35,2869.0,13085.94,456.12,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,51.63,81,70,678.6,184.8,2.49,35036.12,9541.22,174.3,9715.52,25320.6,260.62,Excellent
Steel Slag,Steel,Construction,39.33,70,436,106.25,16.5,2.12,4178.81,648.94,924.32,1573.26,2605.55,165.61,Excellent
Bagasse,Sugar,Paper,88.21,71,200,138.05,19.68,1.73,12177.39,1735.97,346.0,2081.97,10095.42,484.9,Excellent
Food Waste,Food,Biogas,9.44,83,304,78.9,10.13,1.24,744.82,95.63,376.96,472.59,272.23,57.6,High Profit
Rice Husk,Agriculture,Biofuel,45.05,94,112,130.15,18.8,2.05,5863.26,846.94,229.6,1076.54,4786.72,444.64,Excellent
Paper Sludge,Paper,Brick Manufacturing,33.09,71,363,94.12,15.31,1.25,3114.43,506.61,453.75,960.36,2154.07,224.3,Excellent
Steel Slag,Steel,Construction,57.22,99,315,118.58,13.6,1.61,6785.15,778.19,507.15,1285.34,5499.81,427.89,Excellent
Paper Sludge,Paper,Brick Manufacturing,78.58,71,187,94.12,15.31,2.17,7395.95,1203.06,405.79,1608.85,5787.1,359.7,Excellent
Used Oil,Automotive,Authorized Oil Recycler,13.19,72,400,567.0,130.4,2.35,7478.73,1719.98,940.0,2659.98,4818.75,181.16,Excellent
Fly Ash,Thermal Power,Cement,44.67,81,428,91.35,12.32,2.23,4080.6,550.33,954.44,1504.77,2575.83,171.18,Excellent
Paper Sludge,Paper,Brick Manufacturing,93.01,98,412,104.25,12.79,1.59,9696.29,1189.6,655.08,1844.68,7851.61,425.64,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,65.44,88,189,1206.0,294.0,1.8,78920.64,19239.36,340.2,19579.56,59341.08,303.08,Excellent
Rice Husk,Agriculture,Biofuel,3.45,81,104,123.98,20.53,1.81,427.73,70.83,188.24,259.07,168.66,65.1,High Profit
Bagasse,Sugar,Paper,86.33,83,317,144.65,18.24,1.31,12487.63,1574.66,415.27,1989.93,10497.7,527.54,Excellent
Food Waste,Food,Biogas,22.07,83,11,78.9,10.13,1.24,1741.32,223.57,13.64,237.21,1504.11,634.08,Excellent
Cotton Scrap,Textile,Paper,3.74,97,176,249.3,32.2,1.83,932.38,120.43,322.08,442.51,489.87,110.7,Excellent
Plastic Scrap,Packaging,Plastic Recycling,5.24,98,476,305.8,36.53,1.08,1602.39,191.42,514.08,705.5,896.89,127.13,Excellent
Fly Ash,Thermal Power,Cement,4.33,76,99,89.6,12.72,1.38,387.97,55.08,136.62,191.7,196.27,102.38,Excellent
Paper Sludge,Paper,Brick Manufacturing,86.5,86,143,99.75,13.91,2.49,8628.38,1203.21,356.07,1559.28,7069.1,453.36,Excellent
Fly Ash,Thermal Power,Cement,65.54,96,89,96.6,11.12,1.48,6331.16,728.8,131.72,860.52,5470.64,635.74,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,83.73,88,482,696.8,176.4,2.25,58343.06,14769.97,1084.5,15854.47,42488.59,267.99,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,55.47,83,108,1183.5,304.0,2.12,65648.74,16862.88,228.96,17091.84,48556.9,284.09,Excellent
Cotton Scrap,Textile,Paper,68.77,76,249,230.4,37.1,2.27,15844.61,2551.37,565.23,3116.6,12728.01,408.39,Excellent
Rice Husk,Agriculture,Biofuel,24.01,70,453,118.75,22.0,1.81,2851.19,528.22,819.93,1348.15,1503.04,111.49,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,73.56,88,472,1206.0,294.0,2.06,88713.36,21626.64,972.32,22598.96,66114.4,292.56,Excellent
Used Oil,Automotive,Authorized Oil Recycler,69.91,98,340,625.5,109.6,1.75,43728.7,7662.14,595.0,8257.14,35471.56,429.59,Excellent
Steel Slag,Steel,Construction,48.94,90,250,114.75,14.5,1.92,5615.86,709.63,480.0,1189.63,4426.23,372.07,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,97.01,97,241,720.2,165.6,2.26,69866.6,16064.86,544.66,16609.52,53257.08,320.64,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,1.38,95,444,1237.5,280.0,1.61,1707.75,386.4,714.84,1101.24,606.51,55.08,High Profit
E-Waste,Electronics,Authorized E-Waste Recycler,90.1,76,10,1152.0,318.0,1.9,103795.2,28651.8,19.0,28670.8,75124.4,262.02,Excellent
Glass Waste,Glass,Glass Recycling,67.95,72,77,126.0,23.91,2.42,8561.7,1624.68,186.34,1811.02,6750.68,372.76,Excellent
Plastic Scrap,Packaging,Plastic Recycling,37.3,78,202,283.8,41.87,1.27,10585.74,1561.75,256.54,1818.29,8767.45,482.18,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,7.07,75,219,1147.5,320.0,2.37,8112.83,2262.4,519.03,2781.43,5331.4,191.68,Excellent
Steel Slag,Steel,Construction,71.22,75,301,108.37,16.0,1.08,7718.11,1139.52,325.08,1464.6,6253.51,426.98,Excellent
Glass Waste,Glass,Glass Recycling,61.62,90,262,135.0,21.27,2.09,8318.7,1310.66,547.58,1858.24,6460.46,347.67,Excellent
Used Oil,Automotive,Authorized Oil Recycler,52.26,92,72,612.0,114.4,2.38,31983.12,5978.54,171.36,6149.9,25833.22,420.06,Excellent
Rice Husk,Agriculture,Biofuel,66.91,78,210,122.55,20.93,1.47,8199.82,1400.43,308.7,1709.13,6490.69,379.77,Excellent
Paper Sludge,Paper,Brick Manufacturing,34.65,99,171,104.62,12.69,0.93,3625.08,439.71,159.03,598.74,3026.34,505.45,Excellent
Rice Husk,Agriculture,Biofuel,94.34,79,316,123.02,20.8,1.61,11605.71,1962.27,508.76,2471.03,9134.68,369.67,Excellent
Bagasse,Sugar,Paper,92.4,90,73,148.5,17.4,2.04,13721.4,1607.76,148.92,1756.68,11964.72,681.1,Excellent
Glass Waste,Glass,Glass Recycling,35.8,82,497,131.0,22.44,1.59,4689.8,803.35,790.23,1593.58,3096.22,194.29,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,42.31,88,133,1206.0,294.0,1.06,51025.86,12439.14,140.98,12580.12,38445.74,305.61,Excellent
Fly Ash,Thermal Power,Cement,41.86,84,122,92.4,12.08,0.87,3867.86,505.67,106.14,611.81,3256.05,532.2,Excellent
Fly Ash,Thermal Power,Cement,38.53,99,178,97.65,10.88,0.83,3762.45,419.21,147.74,566.95,3195.5,563.63,Excellent
Paper Sludge,Paper,Brick Manufacturing,72.02,80,349,97.5,14.47,1.35,7021.95,1042.13,471.15,1513.28,5508.67,364.02,Excellent
Fly Ash,Thermal Power,Cement,40.47,79,444,90.65,12.48,2.16,3668.61,505.07,959.04,1464.11,2204.5,150.57,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,23.45,93,450,1228.5,284.0,1.86,28808.33,6659.8,837.0,7496.8,21311.53,284.28,Excellent
Used Oil,Automotive,Authorized Oil Recycler,54.33,73,70,569.25,129.6,0.96,30927.35,7041.17,67.2,7108.37,23818.98,335.08,Excellent
Fly Ash,Thermal Power,Cement,59.2,98,255,97.3,10.96,1.39,5760.16,648.83,354.45,1003.28,4756.88,474.13,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,62.15,92,224,1224.0,286.0,2.35,76071.6,17774.9,526.4,18301.3,57770.3,315.66,Excellent
Glass Waste,Glass,Glass Recycling,4.55,94,31,137.0,20.68,1.11,623.35,94.09,34.41,128.5,494.85,385.1,Excellent
Used Oil,Automotive,Authorized Oil Recycler,54.06,91,488,609.75,115.2,1.93,32963.08,6227.71,941.84,7169.55,25793.53,359.76,Excellent
Food Waste,Food,Biogas,32.17,70,97,75.0,11.0,0.82,2412.75,353.87,79.54,433.41,1979.34,456.69,Excellent
Cotton Scrap,Textile,Paper,64.26,76,245,230.4,37.1,1.93,14805.5,2384.05,472.85,2856.9,11948.6,418.24,Excellent
Plastic Scrap,Packaging,Plastic Recycling,11.66,81,180,287.1,41.07,1.49,3347.59,478.88,268.2,747.08,2600.51,348.09,Excellent
Plastic Scrap,Packaging,Plastic Recycling,10.78,70,98,275.0,44.0,2.19,2964.5,474.32,214.62,688.94,2275.56,330.3,Excellent
Cotton Scrap,Textile,Paper,62.08,83,211,236.7,35.47,1.7,14694.34,2201.98,358.7,2560.68,12133.66,473.85,Excellent
