material,source_industry,destination_industry,quantity_tons,purity,hazard_level,hazardous,permit_required,authorized_destination,transport_authorized,transport_distance_km,missing_documents,pollution_category,required_documents,compliance_score,verdict
Used Oil,Automotive,Authorized Oil Recycler,183.22,73,High,Yes,Yes,Yes,Yes,48,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Cotton Scrap,Textile,Paper,84.42,86,Low,No,No,Yes,Yes,236,0,Non-Hazardous,Waste Transfer Record,100,Pass
Cotton Scrap,Textile,Paper,59.15,95,Low,No,No,Yes,Yes,167,0,Non-Hazardous,Waste Transfer Record,100,Pass
Steel Slag,Steel,Construction,130.6,96,Medium,No,No,Yes,Yes,95,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,99.05,80,Low,No,No,Yes,Yes,125,0,Plastic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,143.0,74,Low,No,No,Yes,Yes,9,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,99.66,83,High,Yes,Yes,Yes,Yes,137,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Bagasse,Sugar,Paper,40.16,79,Low,No,No,Yes,Yes,17,0,Organic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,199.13,95,Low,No,No,Yes,Yes,15,0,Non-Hazardous,Waste Transfer Record,100,Pass
E-Waste,Electronics,Unauthorized Facility,99.22,94,High,Yes,Yes,No,Yes,186,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,96.34,96,High,Yes,Yes,Yes,Yes,233,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Food Waste,Food,Unauthorized Facility,71.47,99,Low,No,No,No,Yes,90,0,Organic,Organic Waste Record,75,Pass
Cotton Scrap,Textile,Paper,55.75,71,Low,No,No,Yes,Yes,244,0,Non-Hazardous,Waste Transfer Record,100,Pass
Paper Sludge,Paper,Unauthorized Facility,124.08,85,Low,No,No,No,Yes,91,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,157.83,74,High,Yes,Yes,Yes,No,178,1,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
Steel Slag,Steel,Construction,133.63,77,Medium,No,No,Yes,Yes,13,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,6.96,89,Low,No,No,Yes,Yes,108,0,Plastic,Invoice,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,4.52,78,High,Yes,Yes,Yes,No,5,0,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Rice Husk,Agriculture,Biofuel,97.09,71,Low,No,No,Yes,Yes,254,0,Organic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,54.4,93,High,Yes,Yes,Yes,No,240,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Fly Ash,Thermal Power,Unauthorized Facility,30.58,85,Low,No,No,No,Yes,56,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,33.26,82,High,Yes,Yes,Yes,No,112,0,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Chemical Sludge,Chemical,Unauthorized Facility,186.43,71,High,Yes,Yes,No,Yes,77,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Plastic Scrap,Packaging,Plastic Recycling,70.33,76,Low,No,No,Yes,Yes,225,0,Plastic,Invoice,100,Pass
Food Waste,Food,Unauthorized Facility,40.72,98,Low,No,No,No,Yes,269,0,Organic,Organic Waste Record,75,Pass
E-Waste,Electronics,Unauthorized Facility,133.41,90,High,Yes,Yes,No,Yes,226,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Fly Ash,Thermal Power,Cement,119.93,78,Low,No,No,Yes,Yes,110,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,12.39,82,Low,No,No,Yes,Yes,264,0,Plastic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,179.37,92,Low,No,No,Yes,Yes,187,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Unauthorized Facility,92.99,91,High,Yes,Yes,No,Yes,97,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Fly Ash,Thermal Power,Cement,181.66,92,Low,No,No,Yes,Yes,229,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,164.2,91,High,Yes,Yes,Yes,No,67,3,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,35,Fail
Plastic Scrap,Packaging,Unauthorized Facility,29.76,72,Low,No,No,No,Yes,52,0,Plastic,Invoice,75,Pass
Polyester Scrap,Textile,Plastic Recycling,54.57,70,Low,No,No,Yes,Yes,225,1,Plastic,Invoice,90,Pass
Bagasse,Sugar,Unauthorized Facility,37.61,77,Low,No,No,No,Yes,76,0,Organic,Invoice,75,Pass
Bagasse,Sugar,Paper,35.11,83,Low,No,No,Yes,Yes,186,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Unauthorized Facility,164.69,86,Medium,No,No,No,Yes,171,0,Industrial,Transfer Record,75,Pass
Food Waste,Food,Biogas,102.34,75,Low,No,No,Yes,Yes,59,0,Organic,Organic Waste Record,100,Pass
Rice Husk,Agriculture,Biofuel,161.7,87,Low,No,No,Yes,Yes,18,1,Organic,Invoice,90,Pass
Used Oil,Automotive,Unauthorized Facility,194.21,89,High,Yes,Yes,No,Yes,164,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Paper Sludge,Paper,Brick Manufacturing,119.28,78,Low,No,No,Yes,Yes,160,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,147.54,99,Low,No,No,Yes,Yes,112,0,Plastic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,181.58,75,Low,No,No,Yes,Yes,147,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,161.02,71,High,Yes,Yes,Yes,Yes,80,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Polyester Scrap,Textile,Unauthorized Facility,150.63,70,Low,No,No,No,Yes,56,0,Plastic,Invoice,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,112.33,90,High,Yes,Yes,Yes,Yes,141,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,125.09,95,High,Yes,Yes,Yes,Yes,180,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Polyester Scrap,Textile,Plastic Recycling,92.93,70,Low,No,No,Yes,Yes,157,0,Plastic,Invoice,100,Pass
Paper Sludge,Paper,Unauthorized Facility,4.63,88,Low,No,No,No,Yes,172,0,Industrial,Transfer Record,75,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,173.81,92,High,Yes,Yes,Yes,Yes,189,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Cotton Scrap,Textile,Paper,154.32,76,Low,No,No,Yes,Yes,67,0,Non-Hazardous,Waste Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,175.39,77,Low,No,No,Yes,Yes,253,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,15.57,88,Low,No,No,Yes,Yes,251,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,77.05,75,High,Yes,Yes,Yes,Yes,208,1,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,75,Pass
Cotton Scrap,Textile,Paper,73.46,94,Low,No,No,Yes,Yes,16,0,Non-Hazardous,Waste Transfer Record,100,Pass
Cotton Scrap,Textile,Unauthorized Facility,48.11,71,Low,No,No,No,Yes,251,0,Non-Hazardous,Waste Transfer Record,75,Pass
Fly Ash,Thermal Power,Cement,54.06,92,Low,No,No,Yes,Yes,111,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Unauthorized Facility,185.02,95,Low,No,No,No,Yes,252,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,87.68,82,High,Yes,Yes,Yes,Yes,102,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Paper Sludge,Paper,Brick Manufacturing,55.9,83,Low,No,No,Yes,Yes,148,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,16.53,85,High,Yes,Yes,Yes,Yes,130,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Fly Ash,Thermal Power,Cement,106.74,85,Low,No,No,Yes,Yes,222,0,Industrial,Transfer Record,100,Pass
Food Waste,Food,Biogas,131.35,97,Low,No,No,Yes,Yes,291,0,Organic,Organic Waste Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,21.09,89,High,Yes,Yes,Yes,Yes,209,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Rice Husk,Agriculture,Unauthorized Facility,75.89,90,Low,No,No,No,Yes,67,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Brick Manufacturing,41.14,82,Low,No,No,Yes,Yes,77,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,179.99,92,Low,No,No,Yes,Yes,49,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,139.95,72,Low,No,No,Yes,Yes,28,0,Organic,Invoice,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,194.93,83,Low,No,No,No,Yes,5,0,Organic,Invoice,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,88.76,77,High,Yes,Yes,Yes,Yes,45,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Bagasse,Sugar,Unauthorized Facility,139.61,93,Low,No,No,No,Yes,126,0,Organic,Invoice,75,Pass
Bagasse,Sugar,Unauthorized Facility,149.95,89,Low,No,No,No,Yes,265,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Unauthorized Facility,177.78,70,Low,No,No,No,Yes,279,0,Industrial,Transfer Record,75,Pass
Cotton Scrap,Textile,Paper,30.83,96,Low,No,No,Yes,Yes,250,0,Non-Hazardous,Waste Transfer Record,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,148.9,85,Low,No,No,No,Yes,190,0,Organic,Invoice,75,Pass
Plastic Scrap,Packaging,Unauthorized Facility,102.08,93,Low,No,No,No,Yes,139,0,Plastic,Invoice,75,Pass
Steel Slag,Steel,Construction,38.02,74,Medium,No,No,Yes,Yes,261,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,16.53,88,Low,No,No,No,Yes,15,1,Organic,Invoice,65,Fail
Used Oil,Automotive,Authorized Oil Recycler,12.66,83,High,Yes,Yes,Yes,Yes,148,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Polyester Scrap,Textile,Unauthorized Facility,30.96,73,Low,No,No,No,Yes,19,0,Plastic,Invoice,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,69.07,88,High,Yes,Yes,Yes,Yes,121,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,12.93,89,High,Yes,Yes,Yes,Yes,154,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Paper Sludge,Paper,Brick Manufacturing,70.95,89,Low,No,No,Yes,Yes,54,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,9.78,94,Low,No,No,Yes,Yes,232,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,70.59,86,High,Yes,Yes,Yes,Yes,77,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,17.6,95,High,Yes,Yes,Yes,Yes,236,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Fly Ash,Thermal Power,Cement,17.96,71,Low,No,No,Yes,Yes,124,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,180.93,77,High,Yes,Yes,Yes,No,43,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
E-Waste,Electronics,Authorized E-Waste Recycler,122.9,80,High,Yes,Yes,Yes,Yes,266,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,101.33,81,High,Yes,Yes,Yes,Yes,52,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Chemical Sludge,Chemical,Unauthorized Facility,198.57,87,High,Yes,Yes,No,Yes,21,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Cotton Scrap,Textile,Paper,24.7,78,Low,No,No,Yes,Yes,226,0,Non-Hazardous,Waste Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,101.43,71,Low,No,No,Yes,Yes,164,1,Industrial,Transfer Record,90,Pass
Paper Sludge,Paper,Brick Manufacturing,174.39,90,Low,No,No,Yes,Yes,141,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,114.25,83,High,Yes,Yes,Yes,Yes,68,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Used Oil,Automotive,Unauthorized Facility,14.41,76,High,Yes,Yes,No,Yes,125,3,Hazardous,Hazardous Waste Manifest; Transport Permit,30,Fail
Bagasse,Sugar,Unauthorized Facility,15.07,74,Low,No,No,No,Yes,130,0,Organic,Invoice,75,Pass
Bagasse,Sugar,Unauthorized Facility,6.73,76,Low,No,No,No,Yes,10,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Brick Manufacturing,91.27,96,Low,No,No,Yes,Yes,103,1,Industrial,Transfer Record,90,Pass
Fly Ash,Thermal Power,Unauthorized Facility,109.88,84,Low,No,No,No,Yes,176,1,Industrial,Transfer Record,65,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,12.82,90,High,Yes,Yes,Yes,No,57,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Fly Ash,Thermal Power,Cement,5.38,92,Low,No,No,Yes,Yes,222,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,4.57,71,High,Yes,Yes,Yes,Yes,63,3,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,55,Fail
Polyester Scrap,Textile,Unauthorized Facility,172.83,83,Low,No,No,No,Yes,232,0,Plastic,Invoice,75,Pass
Food Waste,Food,Biogas,145.2,91,Low,No,No,Yes,Yes,260,0,Organic,Organic Waste Record,100,Pass
Paper Sludge,Paper,Unauthorized Facility,1.84,78,Low,No,No,No,Yes,172,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Unauthorized Facility,25.61,88,High,Yes,Yes,No,No,112,1,Hazardous,E-Waste Manifest; Transport Permit,30,Fail
Fly Ash,Thermal Power,Cement,25.5,73,Low,No,No,Yes,Yes,159,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,35.38,79,Low,No,No,Yes,Yes,98,0,Plastic,Invoice,100,Pass
Paper Sludge,Paper,Unauthorized Facility,39.19,76,Low,No,No,No,Yes,248,0,Industrial,Transfer Record,75,Pass
Rice Husk,Agriculture,Biofuel,177.25,96,Low,No,No,Yes,Yes,247,0,Organic,Invoice,100,Pass
Plastic Scrap,Packaging,Unauthorized Facility,108.14,93,Low,No,No,No,Yes,254,0,Plastic,Invoice,75,Pass
Plastic Scrap,Packaging,Plastic Recycling,172.03,72,Low,No,No,Yes,Yes,113,0,Plastic,Invoice,100,Pass
Polyester Scrap,Textile,Plastic Recycling,34.76,83,Low,No,No,Yes,Yes,75,0,Plastic,Invoice,100,Pass
Steel Slag,Steel,Construction,179.03,82,Medium,No,No,Yes,Yes,33,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,68.49,91,Low,No,No,Yes,Yes,278,1,Industrial,Transfer Record,90,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,29.84,74,High,Yes,Yes,Yes,Yes,184,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Used Oil,Automotive,Authorized Oil Recycler,152.12,79,High,Yes,Yes,Yes,No,109,0,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Fly Ash,Thermal Power,Cement,180.12,93,Low,No,No,Yes,Yes,240,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,97.15,87,High,Yes,Yes,Yes,Yes,294,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
E-Waste,Electronics,Unauthorized Facility,28.4,78,High,Yes,Yes,No,No,108,0,Hazardous,E-Waste Manifest; Transport Permit,40,Fail
Bagasse,Sugar,Paper,20.33,74,Low,No,No,Yes,Yes,15,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Unauthorized Facility,58.5,70,Medium,No,No,No,Yes,163,0,Industrial,Transfer Record,75,Pass
Cotton Scrap,Textile,Unauthorized Facility,133.79,80,Low,No,No,No,Yes,88,0,Non-Hazardous,Waste Transfer Record,75,Pass
Paper Sludge,Paper,Brick Manufacturing,35.09,78,Low,No,No,Yes,Yes,230,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,40.55,92,High,Yes,Yes,Yes,Yes,294,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Cotton Scrap,Textile,Paper,127.67,84,Low,No,No,Yes,Yes,52,0,Non-Hazardous,Waste Transfer Record,100,Pass
Plastic Scrap,Packaging,Unauthorized Facility,166.41,87,Low,No,No,No,Yes,200,0,Plastic,Invoice,75,Pass
Cotton Scrap,Textile,Unauthorized Facility,45.44,85,Low,No,No,No,Yes,300,0,Non-Hazardous,Waste Transfer Record,75,Pass
Bagasse,Sugar,Unauthorized Facility,17.59,90,Low,No,No,No,Yes,32,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Unauthorized Facility,75.42,76,Low,No,No,No,Yes,126,0,Industrial,Transfer Record,75,Pass
Cotton Scrap,Textile,Paper,188.3,98,Low,No,No,Yes,Yes,10,0,Non-Hazardous,Waste Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,184.91,98,Low,No,No,Yes,Yes,107,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,63.94,71,Low,No,No,Yes,Yes,296,1,Industrial,Transfer Record,90,Pass
Plastic Scrap,Packaging,Plastic Recycling,104.66,88,Low,No,No,Yes,Yes,224,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,32.3,77,Low,No,No,Yes,Yes,226,0,Plastic,Invoice,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,24.88,71,High,Yes,Yes,Yes,Yes,224,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Used Oil,Automotive,Unauthorized Facility,114.75,99,High,Yes,Yes,No,No,126,0,Hazardous,Hazardous Waste Manifest; Transport Permit,40,Fail
Used Oil,Automotive,Authorized Oil Recycler,177.15,91,High,Yes,Yes,Yes,Yes,156,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Polyester Scrap,Textile,Plastic Recycling,163.13,95,Low,No,No,Yes,Yes,235,0,Plastic,Invoice,100,Pass
Steel Slag,Steel,Construction,66.71,75,Medium,No,No,Yes,Yes,211,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,166.58,75,Low,No,No,Yes,Yes,254,0,Plastic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,3.72,83,Low,No,No,Yes,Yes,64,0,Non-Hazardous,Waste Transfer Record,100,Pass
Bagasse,Sugar,Paper,102.08,90,Low,No,No,Yes,Yes,170,0,Organic,Invoice,100,Pass
Food Waste,Food,Biogas,5.36,88,Low,No,No,Yes,Yes,85,0,Organic,Organic Waste Record,100,Pass
Cotton Scrap,Textile,Paper,153.91,74,Low,No,No,Yes,Yes,8,1,Non-Hazardous,Waste Transfer Record,90,Pass
Paper Sludge,Paper,Unauthorized Facility,7.15,88,Low,No,No,No,Yes,108,0,Industrial,Transfer Record,75,Pass
Fly Ash,Thermal Power,Unauthorized Facility,14.83,87,Low,No,No,No,Yes,214,0,Industrial,Transfer Record,75,Pass
Rice Husk,Agriculture,Biofuel,97.19,90,Low,No,No,Yes,Yes,141,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Construction,131.25,91,Medium,No,No,Yes,Yes,209,1,Industrial,Transfer Record,90,Pass
Plastic Scrap,Packaging,Plastic Recycling,32.01,88,Low,No,No,Yes,Yes,187,0,Plastic,Invoice,100,Pass
Polyester Scrap,Textile,Plastic Recycling,83.81,84,Low,No,No,Yes,Yes,244,0,Plastic,Invoice,100,Pass
Polyester Scrap,Textile,Unauthorized Facility,35.01,99,Low,No,No,No,Yes,113,1,Plastic,Invoice,65,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,172.24,81,High,Yes,Yes,Yes,No,146,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Paper Sludge,Paper,Unauthorized Facility,160.4,82,Low,No,No,No,Yes,181,0,Industrial,Transfer Record,75,Pass
Food Waste,Food,Biogas,83.32,98,Low,No,No,Yes,Yes,189,0,Organic,Organic Waste Record,100,Pass
Steel Slag,Steel,Unauthorized Facility,39.87,84,Medium,No,No,No,Yes,215,0,Industrial,Transfer Record,75,Pass
Used Oil,Automotive,Unauthorized Facility,60.24,70,High,Yes,Yes,No,Yes,79,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Food Waste,Food,Biogas,47.9,91,Low,No,No,Yes,Yes,50,0,Organic,Organic Waste Record,100,Pass
Rice Husk,Agriculture,Biofuel,32.96,71,Low,No,No,Yes,Yes,98,0,Organic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,92.9,82,Low,No,No,Yes,Yes,61,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Unauthorized Facility,112.1,77,High,Yes,Yes,No,Yes,214,1,Hazardous,Hazardous Waste Manifest; Transport Permit,50,Fail
Rice Husk,Agriculture,Biofuel,123.63,86,Low,No,No,Yes,Yes,92,0,Organic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,102.48,97,High,Yes,Yes,Yes,No,9,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Chemical Sludge,Chemical,Unauthorized Facility,62.89,79,High,Yes,Yes,No,Yes,51,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Bagasse,Sugar,Paper,162.14,87,Low,No,No,Yes,Yes,256,0,Organic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,42.57,71,Low,No,No,Yes,Yes,115,0,Plastic,Invoice,100,Pass
Steel Slag,Steel,Construction,105.42,72,Medium,No,No,Yes,Yes,180,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Unauthorized Facility,14.99,79,High,Yes,Yes,No,Yes,140,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Rice Husk,Agriculture,Unauthorized Facility,63.29,84,Low,No,No,No,Yes,87,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Brick Manufacturing,74.02,70,Low,No,No,Yes,Yes,173,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,101.75,92,High,Yes,Yes,Yes,Yes,143,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Fly Ash,Thermal Power,Unauthorized Facility,41.76,70,Low,No,No,No,Yes,231,1,Industrial,Transfer Record,65,Fail
Steel Slag,Steel,Construction,98.42,76,Medium,No,No,Yes,Yes,34,1,Industrial,Transfer Record,90,Pass
Steel Slag,Steel,Unauthorized Facility,26.25,96,Medium,No,No,No,Yes,93,1,Industrial,Transfer Record,65,Fail
Food Waste,Food,Biogas,170.51,74,Low,No,No,Yes,Yes,217,0,Organic,Organic Waste Record,100,Pass
E-Waste,Electronics,Unauthorized Facility,50.13,70,High,Yes,Yes,No,No,269,0,Hazardous,E-Waste Manifest; Transport Permit,40,Fail
Rice Husk,Agriculture,Unauthorized Facility,135.01,70,Low,No,No,No,Yes,279,0,Organic,Invoice,75,Pass
Steel Slag,Steel,Construction,63.57,94,Medium,No,No,Yes,Yes,134,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,132.1,86,Low,No,No,Yes,Yes,248,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Unauthorized Facility,177.94,73,High,Yes,Yes,No,No,13,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,40,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,10.92,93,High,Yes,Yes,Yes,Yes,77,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Steel Slag,Steel,Construction,184.56,80,Medium,No,No,Yes,Yes,79,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,155.17,78,Low,No,No,Yes,Yes,133,0,Industrial,Transfer Record,100,Pass
Steel Slag,Steel,Construction,121.95,92,Medium,No,No,Yes,Yes,90,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,31.82,80,Low,No,No,Yes,Yes,141,0,Plastic,Invoice,100,Pass
Paper Sludge,Paper,Brick Manufacturing,105.53,74,Low,No,No,Yes,Yes,52,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,134.34,87,Low,No,No,Yes,Yes,210,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Unauthorized Facility,84.18,81,Medium,No,No,No,Yes,232,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,182.6,94,High,Yes,Yes,Yes,Yes,177,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Polyester Scrap,Textile,Plastic Recycling,141.31,82,Low,No,No,Yes,Yes,112,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Unauthorized Facility,79.91,99,High,Yes,Yes,No,Yes,293,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Paper Sludge,Paper,Unauthorized Facility,46.66,99,Low,No,No,No,Yes,121,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,96.69,86,High,Yes,Yes,Yes,Yes,228,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Paper Sludge,Paper,Brick Manufacturing,37.69,71,Low,No,No,Yes,Yes,148,1,Industrial,Transfer Record,90,Pass
Bagasse,Sugar,Unauthorized Facility,23.25,74,Low,No,No,No,Yes,19,0,Organic,Invoice,75,Pass
Plastic Scrap,Packaging,Plastic Recycling,188.17,98,Low,No,No,Yes,Yes,217,0,Plastic,Invoice,100,Pass
Paper Sludge,Paper,Brick Manufacturing,126.83,76,Low,No,No,Yes,Yes,17,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,30.26,99,High,Yes,Yes,Yes,No,218,0,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Food Waste,Food,Biogas,127.22,88,Low,No,No,Yes,Yes,189,1,Organic,Organic Waste Record,90,Pass
Plastic Scrap,Packaging,Plastic Recycling,125.6,81,Low,No,No,Yes,Yes,174,0,Plastic,Invoice,100,Pass
